round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.4,11.600452900000164,3,0,0,3,9,3,1.0,0.889
1,0.661,10.072643900000003,3,0,0,2,6,2,1.0,0.722
2,0.667,10.009294800000134,3,0,0,3,4,3,1.0,0.593
3,0.7159,10.027986299999611,3,0,0,3,5,3,1.0,0.556
4,0.7465,10.092440200000055,3,3,6,3,5,3,1.0,0.533
5,0.7603,8.147933599999305,3,3,6,0,1,0,1.0,0.495
6,0.7848,7.585084100000131,3,3,6,0,1,0,1.0,0.468
7,0.7891,8.452704199999971,3,3,6,0,1,0,1.0,0.447
8,0.7943,7.748745100000633,3,3,6,0,1,0,1.0,0.431
9,0.8019,8.123017599999912,3,3,6,0,1,0,1.0,0.419
10,0.8099,8.24398149999979,3,3,6,0,0,0,1.0,0.398
11,0.8057,7.876066699999683,3,3,6,0,0,0,1.0,0.381
12,0.8214,8.120911699999851,3,3,6,0,0,0,1.0,0.366
13,0.8099,7.746340700000474,3,3,6,0,1,0,1.0,0.362
14,0.8266,7.744138799999746,3,3,6,0,1,0,1.0,0.358
15,0.8292,7.834723300000405,3,3,6,0,0,0,1.0,0.348
16,0.8354,7.768948400000227,3,3,6,0,0,0,1.0,0.339
17,0.8363,7.764827199999672,3,3,6,0,0,0,1.0,0.33
18,0.8445,7.71697099999983,3,3,6,0,0,0,1.0,0.323
19,0.8381,7.6335274000002755,3,3,6,0,0,0,1.0,0.317
20,0.8367,7.465297799999462,3,3,6,0,1,0,1.0,0.316
21,0.8514,7.602750400000332,3,3,6,0,0,0,1.0,0.31
22,0.852,7.63004809999984,3,3,6,0,0,0,1.0,0.305
23,0.8562,7.58127179999974,3,3,6,0,0,0,1.0,0.301
24,0.8527,7.666320299999825,3,3,6,0,0,0,1.0,0.296
25,0.8595,7.680947300000298,3,3,6,0,0,0,1.0,0.292
26,0.8561,7.6768753000005745,3,3,6,0,0,0,1.0,0.289
27,0.8644,7.621955099999468,3,3,6,0,0,0,1.0,0.285
28,0.8632,7.794860099999823,3,3,6,0,0,0,1.0,0.282
29,0.8635,7.757876800000304,3,3,6,0,0,0,1.0,0.279
30,0.8627,7.822010199999568,3,3,6,0,0,0,1.0,0.276
31,0.8668,7.745745799999895,3,3,6,0,0,0,1.0,0.274
32,0.8672,7.612876400000459,3,3,6,0,0,0,1.0,0.271
33,0.8674,7.554082599999674,3,3,6,0,0,0,1.0,0.269
34,0.8708,7.541238200000407,3,3,6,0,0,0,1.0,0.267
35,0.8718,7.629114800000025,3,3,6,0,0,0,1.0,0.265
36,0.8725,7.749691500000154,3,3,6,0,0,0,1.0,0.263
37,0.871,7.884751500000675,3,3,6,0,1,0,1.0,0.264
38,0.8697,7.664826799999901,3,3,6,0,0,0,1.0,0.262
39,0.8708,7.733108299999913,3,3,6,0,0,0,1.0,0.26
40,0.8732,7.858730100000685,3,3,6,0,0,0,1.0,0.259
41,0.8732,7.615086699999665,3,3,6,0,0,0,1.0,0.257
42,0.8775,7.749083400000018,3,3,6,0,0,0,1.0,0.255
43,0.8766,7.881234899999981,3,3,6,0,0,0,1.0,0.254
44,0.8768,7.672150500000498,3,3,6,0,0,0,1.0,0.253
45,0.8788,7.793256799999654,3,3,6,0,0,0,1.0,0.251
46,0.8781,7.905829199999971,3,3,6,0,0,0,1.0,0.25
47,0.8779,7.450818499999514,3,3,6,0,0,0,1.0,0.249
48,0.8801,8.092014399999243,3,3,6,0,0,0,1.0,0.248
49,0.8818,7.762364600000183,3,3,6,0,0,0,1.0,0.247
