round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.403,10.285166000001482,6,0,0,5,7,5,0.0,0.0
1,0.4806,9.93462830000135,6,0,0,6,9,6,0.0,0.0
2,0.6315,10.816540100000566,6,0,0,5,8,5,0.0,0.0
3,0.7214,9.76080450000154,6,0,0,6,7,6,0.25,0.073
4,0.758,10.653467600001022,6,0,0,5,6,5,0.4,0.075
5,0.7672,10.1900839000009,6,6,0,4,5,4,0.5,0.062
6,0.7868,8.167168500000116,6,6,0,0,1,0,0.5,0.054
7,0.8003,8.374465600001713,6,6,0,0,0,0,0.5,0.047
8,0.8061,8.03466539999863,6,6,0,0,1,0,0.5,0.042
9,0.809,8.299769299999753,6,6,0,0,2,0,0.5,0.037
10,0.8059,7.991710600002989,6,6,0,0,2,0,0.5,0.034
11,0.8175,8.524529599999369,6,6,0,0,2,0,0.5,0.031
12,0.8206,7.786477000001469,6,6,0,0,2,0,0.5,0.029
13,0.83,8.534313299998757,6,6,0,0,1,0,0.5,0.03
14,0.8359,8.09630449999895,6,6,0,0,0,0,0.5,0.028
15,0.8359,8.209499099997629,6,6,0,0,1,0,0.5,0.026
16,0.8356,8.393922700000985,6,6,0,0,1,0,0.5,0.025
17,0.8436,7.802217299999029,6,6,0,0,0,0,0.5,0.023
18,0.8468,8.626603499997145,6,6,0,0,0,0,0.5,0.022
19,0.8509,7.724349699998129,6,6,0,0,0,0,0.5,0.021
20,0.8457,8.724678500002483,6,6,0,0,1,0,0.5,0.02
21,0.852,8.018830799999705,6,6,0,0,1,0,0.5,0.019
22,0.8552,8.181203700001788,6,6,0,0,0,0,0.5,0.018
23,0.8616,8.20359230000031,6,6,0,0,0,0,0.5,0.017
24,0.8583,8.352932499998133,6,6,0,0,1,0,0.5,0.017
25,0.8602,8.2202933999979,6,6,0,0,0,0,0.5,0.016
26,0.8641,8.085646499999712,6,6,0,0,0,0,0.5,0.015
27,0.862,8.142579299998033,6,6,0,0,1,0,0.5,0.015
28,0.8661,8.221658399997978,6,6,0,0,0,0,0.5,0.014
29,0.8712,8.021930099999736,6,6,0,0,0,0,0.5,0.014
30,0.8697,8.6252616999991,6,6,0,0,0,0,0.5,0.013
31,0.872,8.247924700001022,6,6,0,0,0,0,0.5,0.013
32,0.8711,8.609649799996987,6,6,0,0,1,0,0.5,0.013
33,0.8744,8.197707499999524,6,6,0,0,0,0,0.5,0.012
34,0.8748,8.107015199999296,6,6,0,0,0,0,0.5,0.012
35,0.8707,8.50642710000102,6,6,0,0,1,0,0.5,0.012
36,0.8786,8.258960799998022,6,6,0,0,1,0,0.5,0.011
37,0.8759,8.534533699999884,6,6,0,0,0,0,0.5,0.011
38,0.8769,8.134436000000278,6,6,0,0,0,0,0.5,0.011
39,0.8781,8.447618400001375,6,6,0,0,0,0,0.5,0.01
40,0.8795,8.551935600000434,6,6,0,0,0,0,0.5,0.01
41,0.8791,8.289656999997533,6,6,0,0,1,0,0.5,0.01
42,0.8812,8.507352000000537,6,6,0,0,0,0,0.5,0.01
43,0.8824,7.941203099999257,6,6,0,0,0,0,0.5,0.009
44,0.8818,8.405564500000764,6,6,0,0,1,0,0.5,0.009
45,0.8805,8.279006700002356,6,6,0,0,1,0,0.5,0.009
46,0.8851,7.995084600002883,6,6,0,0,0,0,0.5,0.009
47,0.8861,8.472640100000717,6,6,0,0,0,0,0.5,0.009
48,0.8857,8.24878499999977,6,6,0,0,0,0,0.5,0.009
49,0.8869,8.45481590000054,6,6,0,0,0,0,0.5,0.008
