round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.3472,42.253572699999495,6,0,0,5,2,2,0.5,0.125
1,0.1,40.26462639999954,6,0,0,6,4,0,0.25,0.312
2,0.1,39.61627679999947,6,0,0,5,2,0,0.167,0.292
3,0.1,39.54073640000206,6,0,0,6,4,0,0.125,0.344
4,0.1,38.57455250000203,6,0,2,5,5,0,0.1,0.4
5,0.1,36.114547299999685,6,0,2,5,0,0,0.083,0.346
6,0.1,36.555719400003,6,0,2,5,0,0,0.071,0.307
7,0.1,35.77448050000021,6,0,2,4,0,0,0.062,0.278
8,0.1,35.22126490000301,6,0,2,5,0,0,0.056,0.256
9,0.1,35.93192579999959,6,0,2,6,0,0,0.05,0.238
10,0.1,35.956105400000524,6,0,2,5,0,0,0.045,0.223
11,0.1,35.15479929999856,6,0,2,5,0,0,0.042,0.21
12,0.1,34.72165999999925,6,0,2,4,0,0,0.038,0.2
13,0.1,35.01211229999899,6,0,2,6,0,0,0.036,0.191
14,0.1,35.494551100000535,6,0,2,5,0,0,0.033,0.183
15,0.1,34.63562649999949,6,0,2,6,0,0,0.031,0.177
16,0.1,35.68134150000333,6,0,2,4,0,0,0.029,0.171
17,0.1,35.52668429999903,6,0,2,6,0,0,0.028,0.165
18,0.1,35.43757040000128,6,0,2,5,0,0,0.026,0.161
19,0.1,34.27671349999946,6,0,2,6,0,0,0.025,0.156
20,0.1,34.706904500002565,6,0,2,4,0,0,0.024,0.152
21,0.1,34.43516829999862,6,0,2,5,0,0,0.023,0.149
22,0.1,34.54167299999972,6,0,2,4,0,0,0.022,0.146
23,0.1,34.394426900002145,6,0,2,5,0,0,0.021,0.143
24,0.1,35.0303070000009,6,0,2,4,0,0,0.02,0.14
25,0.1,35.018534399998316,6,0,2,4,0,0,0.019,0.137
26,0.1,34.6964009000003,6,0,2,5,0,0,0.019,0.135
27,0.1,34.66445290000047,6,0,2,4,0,0,0.018,0.133
28,0.1,34.67511899999954,6,0,2,6,0,0,0.017,0.131
29,0.1,34.93895039999916,6,0,2,5,0,0,0.017,0.129
