round,acc,t_round_s,n_malicious
0,0.1937,8.745526799999425,6
1,0.1985,8.716190300001472,6
2,0.2028,8.727566999999908,6
3,0.1995,8.742266299999756,6
4,0.1997,8.806665799998882,6
5,0.1885,8.790735700000369,6
6,0.1,8.55195249999997,6
7,0.1,8.616509900000892,6
8,0.1,8.614304500000799,6
9,0.1,8.678354499999841,6
10,0.1,8.769433900000877,6
11,0.1,8.671313199998622,6
12,0.1,8.866398300000583,6
13,0.1,8.61996149999868,6
14,0.1,8.563163100001475,6
15,0.1,8.581220300000496,6
16,0.1,8.619045699999333,6
17,0.1,8.692279700000654,6
18,0.1,8.604166399998576,6
19,0.1,8.911511899999823,6
20,0.1,8.630971099999442,6
21,0.1,8.690226700000494,6
22,0.1,8.51075260000107,6
23,0.1,8.549110899999505,6
24,0.1,8.607107800000449,6
25,0.1,8.730620899999849,6
26,0.1,8.667884499998763,6
27,0.1,8.68897090000064,6
28,0.1,8.627332800000659,6
29,0.1,8.678128800000195,6
30,0.1,8.506791600000724,6
31,0.1,8.633025500001168,6
32,0.1,8.757320700000491,6
33,0.1,8.8645448999996,6
34,0.1,8.662890799998422,6
35,0.1,8.650237600000764,6
36,0.1,8.636333899999954,6
37,0.1,8.652383200000259,6
38,0.1,8.579765799999223,6
39,0.1,8.601832000000286,6
40,0.1,8.903578800000105,6
41,0.1,8.612457600000198,6
42,0.1,8.683073399999557,6
43,0.1,8.618273000000045,6
44,0.1,8.535470099999657,6
45,0.1,8.646794500000397,6
46,0.1,8.73819839999851,6
47,0.1,8.814585599999191,6
48,0.1,8.851255100000344,6
49,0.1,8.635980900000504,6
