round,acc,t_round_s,n_malicious
0,0.139,9.4430532999977,6
1,0.1153,8.655006099987077,6
2,0.1986,7.552292100008344,6
3,0.2345,7.7376198999991175,6
4,0.2597,8.797129599988693,6
5,0.2608,8.99011340001016,6
6,0.2778,9.030492599995341,6
7,0.3022,8.9888370000117,6
8,0.3034,9.020993699989049,6
9,0.3285,9.019344100001035,6
10,0.3365,8.957055800012313,6
11,0.3495,9.042998799995985,6
12,0.3736,8.847095199977048,6
13,0.366,7.848539099999471,6
14,0.3846,8.601247000013245,6
15,0.3843,8.482356399996206,6
16,0.3948,8.015304200001992,6
17,0.4036,8.92881889999262,6
18,0.4073,8.977768100012327,6
19,0.4192,8.957289200014202,6
20,0.4213,7.931615299981786,6
21,0.4306,8.68203589998302,6
22,0.429,8.990111599996453,6
23,0.4431,8.942817200004356,6
24,0.4368,9.014190499990946,6
25,0.4492,8.963447299989639,6
26,0.446,8.931596899987198,6
27,0.4834,8.981881600018824,6
28,0.4884,8.988643299991963,6
29,0.4925,8.963864399993327,6
30,0.4942,8.981815899984213,6
31,0.5056,8.997888299985789,6
32,0.5038,8.954285700019682,6
33,0.5116,8.97142650000751,6
34,0.5214,9.01590950001264,6
35,0.5213,9.060709500015946,6
36,0.5139,9.012376800004859,6
37,0.5304,8.941784700000426,6
38,0.5339,9.022607499995502,6
39,0.5378,9.033507399988594,6
40,0.5416,9.019185799988918,6
41,0.5286,9.061032500001602,6
42,0.5445,9.022881399985636,6
43,0.5398,8.159468999976525,6
44,0.5581,8.283097199979238,6
45,0.5573,8.62646390000009,6
46,0.5594,7.897488299990073,6
47,0.568,8.879397300013807,6
48,0.5686,9.010569300007774,6
49,0.5641,8.981104200007394,6
