round,acc,t_round_s,n_malicious
0,0.1615,5.874704300018493,6
1,0.1071,9.03509610000765,6
2,0.1561,9.063646199996583,6
3,0.2011,9.052942200010875,6
4,0.2112,9.112252999999328,6
5,0.2314,9.024584299972048,6
6,0.2588,9.043093900021631,6
7,0.2691,9.156801600009203,6
8,0.2637,8.980199199984781,6
9,0.285,9.039251899986994,6
10,0.2847,8.985737699986203,6
11,0.3066,9.079089899983956,6
12,0.3152,9.101880100002745,6
13,0.3086,9.098098199989181,6
14,0.3232,9.07735330000287,6
15,0.3187,9.082571800012374,6
16,0.3259,9.075296099996194,6
17,0.3187,9.110640400002012,6
18,0.3454,9.09403890001704,6
19,0.3307,9.14524509999319,6
20,0.3319,9.199575600010576,6
21,0.3579,9.179745900008129,6
22,0.3572,9.185665400000289,6
23,0.3564,9.104154900007416,6
24,0.366,9.117417499976,6
25,0.3766,9.147942700015847,6
26,0.3779,9.044340499996906,6
27,0.3847,9.098035300004994,6
28,0.3925,9.052702999993926,6
29,0.3879,9.03328689999762,6
30,0.392,9.016174899996258,6
31,0.4095,9.115303699974902,6
32,0.404,9.085799199994653,6
33,0.3995,9.157716799993068,6
34,0.4152,9.163493300002301,6
35,0.4196,9.022277899988694,6
36,0.4165,9.00508639999316,6
37,0.4166,9.150483899982646,6
38,0.4207,9.093998700001976,6
39,0.419,9.123709100007545,6
40,0.429,9.096563900006004,6
41,0.4309,9.11822440000833,6
42,0.4238,9.176619700010633,6
43,0.4346,9.111059000017121,6
44,0.4286,9.092104800016386,6
45,0.4252,9.168193599994993,6
46,0.4188,9.09834320002119,6
47,0.436,9.065057899977546,6
48,0.4404,9.127941099985037,6
49,0.4447,7.637004500022158,6
