round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1,28.915928400005214,6,0,0,21,3,0,0.0,0.0
1,0.1046,28.446924900024896,6,0,0,22,10,8,0.083,0.0
2,0.1982,28.292449300002772,6,0,0,19,24,18,0.333,0.042
3,0.2018,28.573834400012856,6,0,0,21,21,18,0.458,0.031
4,0.2328,28.449393700022483,6,5,0,18,25,17,0.533,0.042
5,0.2747,23.20003999999608,6,5,0,4,21,4,0.561,0.069
6,0.3125,23.945373800001107,6,5,0,4,21,4,0.581,0.101
7,0.3346,23.67228620001697,6,5,0,4,17,4,0.596,0.104
8,0.3634,24.274336599977687,6,5,0,4,20,4,0.607,0.12
9,0.3805,26.285821600002237,6,5,0,4,22,4,0.617,0.133
10,0.3824,24.530095699999947,6,5,0,4,20,3,0.609,0.133
11,0.4003,24.845435800001724,6,5,0,4,15,4,0.617,0.128
12,0.4124,23.480808099993737,6,5,0,4,13,4,0.623,0.122
13,0.4278,23.31579199997941,6,5,0,4,17,3,0.617,0.125
14,0.447,23.20092649999424,6,5,0,4,18,4,0.622,0.128
15,0.44,23.096343199984403,6,5,0,4,14,4,0.627,0.12
16,0.4667,22.823619900009362,6,5,0,4,17,4,0.631,0.12
17,0.4503,23.21753609998268,6,5,0,4,18,3,0.626,0.127
18,0.4566,23.076799200003734,6,5,0,4,16,4,0.63,0.123
19,0.4927,23.308743700006744,6,5,0,4,21,4,0.633,0.121
20,0.4773,23.355102300003637,6,5,0,4,16,4,0.637,0.117
21,0.4878,23.672185100003844,6,5,0,4,13,3,0.632,0.114
22,0.4935,23.427957100007916,6,5,0,4,15,4,0.635,0.112
23,0.504,23.517591899988474,6,5,0,4,13,4,0.638,0.108
24,0.501,23.35477420000825,6,5,0,4,13,4,0.64,0.103
25,0.5124,23.032491199992364,6,5,0,4,10,4,0.642,0.101
26,0.5252,23.14348530001007,6,5,0,4,15,3,0.638,0.099
27,0.5228,23.080257800000254,6,6,0,4,20,4,0.64,0.098
28,0.5191,22.550059399974998,6,6,0,0,15,0,0.64,0.101
29,0.5352,23.645928099984303,6,6,0,0,16,0,0.64,0.101
