round,acc,t_round_s,n_malicious
0,0.1228,24.41008299999521,6
1,0.1867,24.460206399991876,6
2,0.2857,24.51201829998172,6
3,0.2819,24.518805400002748,6
4,0.314,24.877163900004234,6
5,0.3311,24.359739300009096,6
6,0.3324,24.830043800000567,6
7,0.3561,24.38825600000564,6
8,0.3584,24.842906999983825,6
9,0.367,24.078992599999765,6
10,0.3791,24.3845633000019,6
11,0.4071,24.12268609998864,6
12,0.4033,24.354564299981575,6
13,0.4212,24.349840000009863,6
14,0.4151,24.060292800015304,6
15,0.4356,24.186035599996103,6
16,0.4324,24.176404400001047,6
17,0.4377,24.41759369999636,6
18,0.447,24.747132799995597,6
19,0.4454,24.485590199998114,6
20,0.4515,24.275675300013972,6
21,0.4731,24.559036699996796,6
22,0.4611,24.32329880000907,6
23,0.4685,24.401874599978328,6
24,0.477,23.943090000015218,6
25,0.4864,24.44024230001378,6
26,0.4896,24.35121190000791,6
27,0.4949,24.481402100005653,6
28,0.4969,24.49228900001617,6
29,0.5034,24.12383699999191,6
