round,acc,t_round_s,n_malicious
0,0.166,59.13489000001573,6
1,0.1,54.01730559999123,6
2,0.1,59.139396300015505,6
3,0.1,55.626623099989956,6
4,0.1,57.856936800002586,6
5,0.1,53.06821840000339,6
6,0.1,54.98533969998243,6
7,0.1,52.41630789998453,6
8,0.1,52.32326639999519,6
9,0.1,53.07256439997582,6
10,0.1,51.98952299999655,6
11,0.1,52.05353939998895,6
12,0.1,49.94659049998154,6
13,0.1,55.68558800002211,6
14,0.1,51.733955100004096,6
15,0.1,57.45717449998483,6
16,0.1,51.54210869999952,6
17,0.1,55.750840900000185,6
18,0.1,52.64890930001275,6
19,0.1,55.480481899983715,6
20,0.1,54.536095899995416,6
21,0.1,52.45195290000993,6
22,0.1,58.696151700016344,6
23,0.1,54.77007800000138,6
24,0.1,64.51313570002094,6
25,0.1,61.354060799989384,6
26,0.1,60.72443930001464,6
27,0.1,56.137870399979874,6
28,0.1,61.66493330002413,6
29,0.1,73.19308490000549,6
