round,acc,t_round_s,n_malicious
0,0.1426,8.514485199993942,6
1,0.1237,8.977186000003712,6
2,0.1306,9.002561400004197,6
3,0.1,9.014372000005096,6
4,0.1,8.980526900006225,6
5,0.1,8.92056150001008,6
6,0.1,9.008157700009178,6
7,0.1,8.997216899995692,6
8,0.1,9.022953200008487,6
9,0.1,8.993787300016265,6
10,0.1,9.077992800011998,6
11,0.1,8.960224700014805,6
12,0.1,8.98396149999462,6
13,0.1,9.00676960000419,6
14,0.1,8.96662190000643,6
15,0.1,9.080430999980308,6
16,0.1,9.002772200008621,6
17,0.1,9.028147699980764,6
18,0.1,8.999326899996959,6
19,0.1,8.92416399999638,6
20,0.1,8.942107100010617,6
21,0.1,9.037392400001409,6
22,0.1,8.969155099999625,6
23,0.1,9.001075599982869,6
24,0.1,8.984462299995357,6
25,0.1,8.996819299994968,6
26,0.1,9.0500267999887,6
27,0.1,8.993848100013565,6
28,0.1,8.979566900001373,6
29,0.1,9.021481000003405,6
30,0.1,9.06297599998652,6
31,0.1,9.024256800010335,6
32,0.1,8.975390399980824,6
33,0.1,8.979703999997582,6
34,0.1,8.996484400006011,6
35,0.1,9.037452100019436,6
36,0.1,8.98144480001065,6
37,0.1,9.00924600000144,6
38,0.1,8.97902780000004,6
39,0.1,9.032869299990125,6
40,0.1,9.026966600009473,6
41,0.1,8.979188299999805,6
42,0.1,8.959150000009686,6
43,0.1,9.0324241000053,6
44,0.1,8.958588399982546,6
45,0.1,8.962182699993718,6
46,0.1,9.011995300010312,6
47,0.1,8.991911999997683,6
48,0.1,9.057108000008157,6
49,0.1,7.284672200010391,6
