round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.18843854446170502,2.418444899998576,9,0,0,7,0,0,0.0,0.0
1,0.2227086569693546,2.3036723000004713,9,0,0,8,0,0,0.0,0.0
2,0.28762415854634465,2.3075386000018625,9,0,0,6,0,0,0.0,0.0
3,0.3791366567810573,2.397594300000492,9,0,0,7,3,3,0.0,0.0
4,0.4359082992044438,2.162234700001136,9,0,0,7,2,2,0.0,0.0
5,0.5057195311396695,2.263484099999914,9,0,0,7,5,5,0.0,0.0
6,0.5745892764675422,2.1353803999991214,9,0,0,7,1,1,0.016,0.0
7,0.5150402485524643,2.3012275000000955,9,0,0,5,8,5,0.042,0.0
8,0.5681400932071742,2.168837400000484,9,0,0,7,4,4,0.049,0.0
9,0.5633385115096737,2.246667100000195,9,0,0,8,3,3,0.056,0.0
10,0.5741185331638657,2.19723150000209,9,1,0,5,5,5,0.091,0.004
11,0.5921480016946759,2.013903400002164,9,1,0,8,6,6,0.105,0.008
12,0.6141317139763687,2.13141750000068,9,1,0,5,3,3,0.1,0.007
13,0.5928541166501906,2.0152718999997887,9,1,0,6,2,2,0.104,0.007
14,0.6078237537071035,2.148565800001961,9,1,0,6,2,2,0.1,0.006
15,0.5855575954432048,2.0538147000006575,9,1,0,7,2,2,0.096,0.006
16,0.5714352963329097,1.9808850999979768,9,1,0,6,3,3,0.093,0.006
17,0.6001977121875441,2.1668812000025355,9,1,0,6,6,5,0.096,0.005
18,0.620016005272325,2.068103900001006,9,1,0,7,2,2,0.093,0.01
19,0.6190274443346043,2.1298978999984683,9,1,0,6,1,1,0.096,0.01
20,0.5850397778091606,2.120610999998462,9,1,0,6,5,4,0.099,0.009
21,0.5999152662053382,2.1631879000015033,9,1,0,5,2,2,0.101,0.009
22,0.5896530621851904,2.32745750000322,9,1,0,6,4,4,0.108,0.008
23,0.6113543284846773,2.076770100000431,9,1,0,6,5,5,0.119,0.01
24,0.6074471590641624,2.2041172000026563,9,1,0,5,5,5,0.129,0.01
25,0.6175681400932072,2.0601846000026853,9,1,0,7,3,3,0.139,0.009
26,0.6434119474650473,2.124499999998079,9,1,0,6,4,4,0.147,0.009
27,0.6380925481335028,2.099157799999375,9,1,0,6,5,4,0.155,0.01
28,0.6364920209010027,2.0144074999989243,9,1,0,6,5,5,0.163,0.011
29,0.632679000141223,2.2120948000010685,9,1,0,6,3,3,0.174,0.011
30,0.6116838487972509,2.239178100000572,9,1,0,7,5,5,0.184,0.011
31,0.6418584945629149,2.442849600000045,9,1,0,5,2,2,0.183,0.01
32,0.6174269171021042,2.2321222000027774,9,1,0,7,5,5,0.182,0.01
33,0.647224968224827,2.0457392999996955,9,1,0,6,5,5,0.181,0.01
34,0.6489667184484301,2.3928675999995903,9,1,0,5,3,3,0.18,0.01
35,0.6077296050463682,2.0923595999993267,9,1,0,7,6,6,0.189,0.012
36,0.6335734124182083,2.235048499998811,9,1,0,5,3,3,0.2,0.012
37,0.6539095231370333,2.1233861000000616,9,1,0,7,4,3,0.207,0.011
38,0.6293367226851198,2.219520899998315,9,1,0,6,5,4,0.214,0.011
39,0.6313138445605612,2.058286400002544,9,1,0,6,6,5,0.221,0.011
40,0.6248175869698254,2.053313000000344,9,1,0,7,3,2,0.222,0.012
41,0.592807042319823,2.1884272000024794,9,1,0,6,6,5,0.22,0.015
42,0.6330555947841642,2.012911099998746,9,1,0,6,5,5,0.219,0.016
43,0.6177093630843101,2.19534620000195,9,1,0,7,4,4,0.217,0.015
44,0.6353622369721791,2.0588462999985495,9,1,0,7,4,4,0.216,0.016
45,0.6108835851810008,2.021799199999805,9,1,0,6,5,5,0.217,0.017
46,0.6259473708986489,2.1159829999996873,9,1,0,7,3,3,0.218,0.017
47,0.6306548039354141,2.128253399998357,9,1,0,7,5,5,0.221,0.018
48,0.6178976604057808,2.157478799999808,9,1,0,7,6,5,0.224,0.018
49,0.6220872758085016,2.1639658999993117,9,1,0,6,5,5,0.227,0.019
