round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.18744998352398437,6.804662200000166,9,0,0,7,0,0,0.0,0.0
1,0.22044908911170738,7.386803199999122,9,0,0,8,0,0,0.0,0.0
2,0.28517629336722683,6.7705701000013505,9,0,0,6,0,0,0.0,0.0
3,0.37254625052958623,6.876735599998938,9,0,0,7,0,0,0.0,0.0
4,0.42418679094289885,7.350201600002038,9,0,0,7,0,0,0.0,0.0
5,0.4786517911782705,6.6771327999995265,9,0,0,7,0,0,0.0,0.0
6,0.524643411947465,7.307306799997605,9,0,0,7,0,0,0.0,0.0
7,0.5389069340488631,6.79951500000243,9,0,0,5,0,0,0.0,0.0
8,0.5510050369533493,6.822825800001738,9,0,0,7,0,0,0.0,0.0
9,0.5596667137409971,6.879059599999891,9,0,0,8,0,0,0.0,0.0
10,0.5682342418679094,6.884804599998461,9,0,0,5,0,0,0.0,0.0
11,0.573553641199454,6.919938499999262,9,0,0,9,0,0,0.0,0.0
12,0.5940780492397496,6.86387829999876,9,0,0,7,0,0,0.0,0.0
13,0.598597184955044,7.12124070000209,9,0,0,7,0,0,0.0,0.0
14,0.5961493197759262,7.2331355000023905,9,0,0,7,0,0,0.0,0.0
15,0.5955844278115143,7.256801300001825,9,0,0,7,3,3,0.0,0.0
16,0.6136609706726922,6.862817699999141,9,0,0,8,0,0,0.0,0.0
17,0.5895589135244551,7.199980399997003,9,0,0,5,3,3,0.0,0.0
18,0.59346608294497,6.866335000002437,9,0,0,7,2,0,0.0,0.0
19,0.6132843760297509,7.2015176999993855,9,0,0,6,1,1,0.0,0.0
20,0.618933295673869,6.779010300000664,9,0,0,7,1,0,0.0,0.0
21,0.5975144753565881,6.855992900000274,9,0,0,6,2,1,0.0,0.0
22,0.6151202749140894,6.744892399998207,9,0,0,5,3,3,0.0,0.0
23,0.6321141081768112,6.75860079999984,9,0,0,5,4,0,0.0,0.0
24,0.6041519559384267,6.802786300002481,9,0,0,8,1,1,0.0,0.0
25,0.6351739396507085,6.856148699996993,9,0,0,8,2,0,0.0,0.0
26,0.6122958150920303,7.338482099999965,9,0,0,7,3,3,0.0,0.0
27,0.6608765240314457,6.780559999999241,9,0,0,6,3,3,0.0,0.0
28,0.631596290542767,7.337979500000074,9,0,0,8,1,0,0.0,0.0
29,0.6401638186696794,7.419833399999334,9,0,0,8,3,1,0.0,0.0
30,0.5988796309372499,6.859520399997564,9,0,0,7,2,2,0.0,0.0
31,0.6476015628677682,6.90526730000056,9,0,0,6,4,0,0.0,0.0
32,0.6211457892011486,6.890747500001453,9,0,0,8,2,2,0.0,0.0
33,0.6356917572847526,7.181739100000414,9,0,0,7,1,1,0.0,0.0
34,0.6428941298310031,7.227674300000217,9,0,0,5,3,3,0.0,0.0
35,0.6120604434401921,7.320131099997525,9,0,0,7,3,0,0.0,0.0
36,0.5983147389728382,6.908994900000835,9,0,0,7,1,1,0.0,0.0
37,0.6289601280421786,7.376161899999715,9,0,0,7,3,3,0.0,0.0
38,0.6320199595160759,7.321168799997395,9,0,0,6,2,1,0.0,0.0
39,0.6171444711198983,6.836526699997194,9,0,0,7,2,1,0.0,0.0
40,0.616250058842913,7.388316200002009,9,0,0,7,4,4,0.0,0.0
41,0.6524502188956363,6.710425000001123,9,0,0,7,2,0,0.0,0.0
42,0.616250058842913,7.280509399999573,9,0,0,7,3,2,0.0,0.0
43,0.6395989267052676,7.03062200000204,9,0,0,6,2,0,0.0,0.0
44,0.5949724615167349,6.985866999999416,9,0,0,8,3,3,0.0,0.0
45,0.6397872240267383,7.294464099999459,9,0,0,7,1,1,0.0,0.0
46,0.5893235418726168,7.529403399999865,9,0,0,9,3,2,0.0,0.0
47,0.656922280280563,6.941791799999919,9,0,0,7,1,1,0.0,0.0
48,0.5865461563809254,7.399427399999695,9,0,0,8,3,3,0.0,0.0
49,0.6177564374146778,6.873271000000386,9,0,0,6,2,2,0.0,0.0
