round,acc,t_round_s,n_malicious
0,0.08445134867956504,3.673813169999903,6
1,0.14706020806854023,3.145894172999988,6
2,0.24779927505531235,4.0177806990000136,6
3,0.3063126677023019,3.458039211000141,6
4,0.3989078755354705,3.380668675999914,6
5,0.4963988137268747,3.2653904670000884,6
6,0.5793908581650427,3.4644578109998747,6
7,0.5911594407569553,3.3879222579998896,6
8,0.5929011909805583,3.3949492720000762,6
9,0.5976086240173234,4.019893434999858,6
10,0.6150732005837217,3.0396196650001457,6
11,0.6196394106293838,3.3111331729999165,6
12,0.6234053570587959,3.4099203859998397,6
13,0.6241585463446783,3.2187533720000374,6
14,0.627830344113355,3.1044020850001743,6
15,0.6252412559431342,3.1801627180000196,6
16,0.6276420467918844,3.6135943019999104,6
17,0.6275478981311491,3.388656863000051,6
18,0.6273125264793108,3.992527422999956,6
19,0.6263239655415902,3.5482510360000106,6
20,0.6290072023725463,3.8090461790000063,6
21,0.6290072023725463,3.3111056359998656,6
22,0.6312196958998259,3.1493074489999344,6
23,0.6351268653203408,3.1206853869998668,6
24,0.6352680883114438,3.6681041800000003,6
25,0.639693075366003,3.3878445549999014,6
26,0.6401638186696794,3.5356094050000593,6
27,0.6445417313938709,3.4347099250001065,6
28,0.6447771030457091,3.6996682940000483,6
29,0.646942522242621,3.323098853000147,6
30,0.6466130019300476,3.8067806599999585,6
31,0.6459068869745328,3.4103022050001073,6
32,0.6442122110812973,3.160581672000035,6
33,0.6464717789389446,3.416584418999946,6
34,0.6508967659935038,3.3545910400000594,6
35,0.6476486371981358,3.926213536999967,6
36,0.6478369345196064,3.623487553000132,6
37,0.6480723061714447,3.647683352000058,6
38,0.6525914418867391,3.816879953999887,6
39,0.6508026173327685,3.9719849800001157,6
40,0.6508496916631361,3.183002776999956,6
41,0.6520265499223273,3.4416422219999276,6
42,0.6529680365296804,3.3062985740000386,6
43,0.64736619121593,3.380624578999914,6
44,0.6504730970201948,3.3184022310001637,6
45,0.6549922327354893,4.315263662999769,6
46,0.6540507461281363,3.921460064999792,6
47,0.6536741514851951,3.2613716640003076,6
48,0.6534858541637245,3.266366572000152,6
49,0.6482606034929154,3.5355689890002395,6
