round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.30979616814950806,3.4330649579997043,3,0,0,3,1,0,0.0,0.111
1,0.344960692934143,3.416556364999451,3,0,0,3,2,1,0.167,0.148
2,0.40982912018076545,3.388083257999824,3,0,0,3,0,0,0.111,0.099
3,0.507414207032905,4.362041214999408,3,0,0,3,1,1,0.167,0.093
4,0.5285035070376124,3.3472648639999534,3,0,0,3,1,0,0.133,0.096
5,0.5247375606082003,3.543686613999853,3,0,0,3,4,2,0.222,0.142
6,0.5893235418726168,3.6476221689999875,3,0,0,3,0,0,0.19,0.122
7,0.5828743586122488,3.514936953999495,3,0,0,3,2,2,0.25,0.125
8,0.5971378807136468,3.4527885589996004,3,0,0,3,3,2,0.296,0.14
9,0.6041990302687944,3.873005760000524,3,0,0,3,0,0,0.267,0.126
10,0.6175681400932072,3.4117843530002574,3,0,0,3,3,2,0.303,0.138
11,0.5997269688838677,3.7501877189997685,3,0,0,3,2,2,0.333,0.139
12,0.6019865367415148,3.58632737500011,3,0,0,3,3,2,0.359,0.148
13,0.6085769429929859,3.8345586530003857,3,0,0,3,4,2,0.381,0.164
14,0.6098479499129125,4.027142066999659,3,0,0,3,1,1,0.378,0.158
15,0.6143200112978393,3.7189823920007257,3,0,0,3,4,3,0.417,0.169
16,0.6117779974579861,4.278409085000021,3,0,0,2,5,2,0.451,0.185
17,0.6191686673257073,3.6159651660000236,3,0,0,3,1,0,0.426,0.181
18,0.624064397683943,3.3295842090001315,3,0,0,3,1,1,0.421,0.175
19,0.6165325048251189,4.036766820999219,3,0,0,3,4,3,0.45,0.183
20,0.6185567010309279,4.033252416999858,3,0,0,2,2,2,0.476,0.18
21,0.6202513769241632,3.7999865649999265,3,1,0,3,1,1,0.47,0.175
22,0.6241585463446783,3.9907367949999752,3,1,0,2,3,2,0.488,0.179
23,0.6281127900955609,3.409081341000274,3,1,0,2,2,2,0.505,0.177
24,0.6307489525961493,4.227276010999958,3,1,0,2,2,0,0.494,0.179
25,0.6238290260321047,3.588933456999257,3,1,0,1,1,1,0.509,0.177
26,0.6395989267052676,2.9733851719993254,3,1,0,2,2,1,0.511,0.177
27,0.637386433177988,3.6569047430002684,3,1,0,2,1,0,0.501,0.175
28,0.6410111566162972,3.6241814550003255,3,1,0,2,1,1,0.503,0.171
29,0.6445417313938709,4.468826782000178,3,1,0,2,1,1,0.505,0.168
30,0.6478840088499741,3.2171473879998302,3,1,0,2,3,2,0.518,0.171
31,0.6331968177752672,3.77667437800028,3,1,0,2,2,1,0.519,0.171
32,0.628771830720708,3.887597543999618,3,1,0,2,2,0,0.51,0.173
33,0.6444946570635033,4.011406688000534,3,1,0,1,2,1,0.521,0.172
34,0.6441651367509297,3.573633078000057,3,1,0,2,1,1,0.523,0.169
35,0.6415760485807089,4.312848788999872,3,1,0,2,1,1,0.524,0.167
36,0.6479310831803418,3.6170207120003397,3,1,0,2,2,1,0.525,0.167
37,0.6438356164383562,3.672617195999919,3,1,0,2,2,1,0.526,0.168
38,0.6475544885374006,3.8579909290001524,3,1,0,2,3,2,0.535,0.17
39,0.6464717789389446,3.6884806469997784,3,1,0,2,2,2,0.544,0.169
40,0.6397872240267383,3.340441522999754,3,1,0,2,3,2,0.552,0.172
41,0.6413877512592383,3.9388700200006497,3,1,0,2,2,1,0.553,0.172
42,0.6328202231323259,3.6685936789999687,3,1,0,2,3,2,0.561,0.174
43,0.6460951842960034,3.3985539980003523,3,1,0,2,3,2,0.568,0.176
44,0.6491550157699006,3.6307173010000042,3,1,0,2,3,1,0.568,0.179
45,0.6359742032669585,2.936651265000364,3,1,0,2,2,1,0.568,0.179
46,0.6518382526008567,3.3795520869998654,3,1,0,2,3,1,0.568,0.181
47,0.63173751353387,2.929754538000452,3,1,0,2,1,0,0.561,0.18
48,0.6511792119757096,3.2740655919997153,3,1,0,2,3,1,0.561,0.182
49,0.6395989267052676,3.410129629000039,3,1,0,2,2,1,0.561,0.182
