round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.18843854446170502,2.67462660000092,9,0,0,7,0,0,0.0,0.0
1,0.2227086569693546,2.684774800000014,9,0,0,8,0,0,0.0,0.0
2,0.28762415854634465,2.551114799996867,9,0,0,6,0,0,0.0,0.0
3,0.3791366567810573,2.6519900999992387,9,0,0,7,3,3,0.0,0.0
4,0.4359082992044438,2.318295900000521,9,0,0,7,2,2,0.0,0.0
5,0.5057195311396695,2.3801309000009496,9,0,0,7,5,5,0.0,0.0
6,0.5745892764675422,2.2786085000007006,9,0,0,7,1,1,0.016,0.0
7,0.5150402485524643,2.3863204999979644,9,0,0,5,8,5,0.042,0.0
8,0.5681400932071742,2.4225757000021986,9,0,0,7,4,4,0.049,0.0
9,0.5633385115096737,2.4335824999980105,9,0,0,8,3,3,0.056,0.0
10,0.5741185331638657,2.237183500001265,9,1,0,5,5,5,0.091,0.004
11,0.5921480016946759,2.200690999998187,9,1,0,8,6,6,0.105,0.008
12,0.6141317139763687,2.2794672999989416,9,1,0,5,3,3,0.1,0.007
13,0.5928541166501906,2.1563041000008525,9,1,0,6,2,2,0.104,0.007
14,0.6078237537071035,2.3453475999995135,9,1,0,6,2,2,0.1,0.006
15,0.5855575954432048,2.152681899999152,9,1,0,7,2,2,0.096,0.006
16,0.5714352963329097,2.3200263000035193,9,1,0,6,3,3,0.093,0.006
17,0.6001977121875441,2.149942699998064,9,1,0,6,6,5,0.096,0.005
18,0.620016005272325,2.268671200003155,9,1,0,7,2,2,0.093,0.01
19,0.6190274443346043,2.6780655999973533,9,1,0,6,1,1,0.096,0.01
20,0.5850397778091606,2.164344100001472,9,1,0,6,5,4,0.099,0.009
21,0.5999152662053382,2.337112099998194,9,1,0,5,2,2,0.101,0.009
22,0.5896530621851904,2.0994294000010996,9,1,0,6,4,4,0.108,0.008
23,0.6113543284846773,2.2453896999977587,9,1,0,6,5,5,0.119,0.01
24,0.6074471590641624,2.4728379000007408,9,1,0,5,5,5,0.129,0.01
25,0.6175681400932072,2.6848518999977387,9,1,0,7,3,3,0.139,0.009
26,0.6434119474650473,2.827613500001462,9,1,0,6,4,4,0.147,0.009
27,0.6380925481335028,3.133505599998898,9,1,0,6,5,4,0.155,0.01
28,0.6364920209010027,2.9008949999988545,9,1,0,6,5,5,0.163,0.011
29,0.632679000141223,3.1922079999967536,9,1,0,6,3,3,0.174,0.011
30,0.6116838487972509,3.2125701000004483,9,1,0,7,5,5,0.184,0.011
31,0.6418584945629149,2.8069343000024674,9,1,0,5,2,2,0.183,0.01
32,0.6174269171021042,3.1003111000027275,9,1,0,7,5,5,0.182,0.01
33,0.647224968224827,3.732866300000751,9,1,0,6,5,5,0.181,0.01
34,0.6489667184484301,3.350462800000969,9,1,0,5,3,3,0.18,0.01
35,0.6077296050463682,4.418380400002206,9,1,0,7,6,6,0.189,0.012
36,0.6335734124182083,4.225166500000341,9,1,0,5,3,3,0.2,0.012
37,0.6539095231370333,5.202925099998538,9,1,0,7,4,3,0.207,0.011
38,0.6293367226851198,5.596043300000019,9,1,0,6,5,4,0.214,0.011
39,0.6313138445605612,5.674039500001527,9,1,0,6,6,5,0.221,0.011
40,0.6248175869698254,5.547240199997759,9,1,0,7,3,2,0.222,0.012
41,0.592807042319823,5.712922999999137,9,1,0,6,6,5,0.22,0.015
42,0.6330555947841642,5.987473600001977,9,1,0,6,5,5,0.219,0.016
43,0.6177093630843101,6.1295579000034195,9,1,0,7,4,4,0.217,0.015
44,0.6353622369721791,5.820275199999742,9,1,0,7,4,4,0.216,0.016
45,0.6108835851810008,6.143056700002489,9,1,0,6,5,5,0.217,0.017
46,0.6259473708986489,6.628250699999626,9,1,0,7,3,3,0.218,0.017
47,0.6306548039354141,6.411440500000026,9,1,0,7,5,5,0.221,0.018
48,0.6178976604057808,6.188986500001192,9,1,0,7,6,5,0.224,0.018
49,0.6220872758085016,6.432567100000597,9,1,0,6,5,5,0.227,0.019
