round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.19206326790001413,3.9810310919992844,6,0,0,5,0,0,0.0,0.0
1,0.38506802240738125,4.050806351000574,6,0,0,5,0,0,0.0,0.0
2,0.4394388739820176,4.000408990000324,6,0,0,5,0,0,0.0,0.0
3,0.45699759920915123,4.254519095000433,6,0,0,6,0,0,0.0,0.0
4,0.4646707150590783,3.7716087509998033,6,0,0,6,0,0,0.0,0.0
5,0.49089111707385963,3.4141381240006012,6,0,0,5,0,0,0.0,0.0
6,0.5039777809160665,3.5406759699999384,6,0,0,5,0,0,0.0,0.0
7,0.5134397213199642,3.2424700980000125,6,0,0,4,0,0,0.0,0.0
8,0.5277032434213623,4.135682901000109,6,0,0,5,0,0,0.0,0.0
9,0.54417925905004,3.854578393999873,6,0,0,6,0,0,0.0,0.0
10,0.5658334510191593,3.390214506999655,6,0,0,6,0,0,0.0,0.0
11,0.5832980275855576,3.5311505390000093,6,0,0,6,0,0,0.0,0.0
12,0.6027868003577649,3.37667095300003,6,0,0,5,2,2,0.038,0.01
13,0.6196864849597514,3.60164604000056,6,0,0,5,1,1,0.06,0.012
14,0.6185567010309279,3.4251249589997315,6,0,0,4,3,3,0.111,0.022
15,0.6296191686673257,3.317336733999582,6,0,0,5,0,0,0.104,0.021
16,0.6237348773713693,3.5601184600000124,6,0,0,5,0,0,0.098,0.02
17,0.6109777338417361,3.541714953999872,6,0,0,6,1,1,0.102,0.023
18,0.5916772583909994,3.8392653680002695,6,0,0,5,2,0,0.096,0.035
19,0.6183684037094572,3.3412553510006546,6,0,0,4,1,1,0.117,0.033
20,0.5399425693169515,3.278266884000004,6,0,0,5,3,0,0.111,0.05
21,0.6015157934378383,3.2622042489992964,6,0,0,6,0,0,0.106,0.047
22,0.543237772442687,3.684357146000366,6,0,0,6,2,0,0.101,0.056
23,0.6036341383043826,3.522975444000622,6,0,0,6,2,2,0.111,0.061
24,0.5840041425410724,3.8053402280002047,6,0,0,5,1,0,0.107,0.063
25,0.6069764157604858,3.7645724180001707,6,0,0,5,3,3,0.128,0.069
26,0.5409782045850398,3.4439652420005586,6,0,0,5,3,0,0.123,0.08
27,0.6030692463399708,3.4999371320000137,6,0,0,5,3,3,0.143,0.085
28,0.624064397683943,3.5625300379997498,6,0,0,5,0,0,0.138,0.082
29,0.6026455773666619,3.7363169039999775,6,0,0,6,3,1,0.139,0.09
30,0.6126724097349715,3.510504738999771,6,0,0,6,1,1,0.14,0.09
31,0.628630607729605,3.35793589900004,6,0,0,6,3,3,0.151,0.095
32,0.617050322459163,3.790136259999599,6,0,0,5,1,0,0.146,0.096
33,0.6452478463493857,3.6461021630002506,6,0,0,4,2,2,0.162,0.096
34,0.63173751353387,4.651345463000325,6,0,0,5,4,2,0.171,0.104
35,0.6391281834015912,3.49519244899966,6,0,0,6,1,0,0.167,0.104
36,0.5803794191027632,4.0329820410006505,6,0,0,5,5,4,0.185,0.113
37,0.6208633432189428,3.085808172000725,6,0,0,5,2,0,0.18,0.116
38,0.6024102057148237,3.1997162920006303,6,0,0,5,2,2,0.188,0.116
39,0.6448241773760768,3.8518341549997785,6,0,0,5,1,0,0.183,0.117
40,0.6026926516970296,3.212666339999487,6,0,0,5,2,2,0.187,0.118
41,0.6497199077343124,3.44813530600004,6,0,0,5,2,2,0.194,0.118
42,0.6218048298262957,3.6895542130005197,6,0,0,5,1,0,0.19,0.118
43,0.6300899119710022,3.598686037000334,6,0,0,5,4,4,0.205,0.122
44,0.47874593983900576,3.2589836220004145,6,0,0,5,5,0,0.2,0.133
45,0.6286776820599727,3.64562259000013,6,0,0,3,2,2,0.214,0.131
46,0.649249164430636,4.248998231999394,6,0,0,4,1,0,0.209,0.131
47,0.6154497952266629,3.425878506999652,6,0,0,4,4,4,0.226,0.134
48,0.5860283387468813,3.5975695199995243,6,0,0,5,3,0,0.221,0.139
49,0.6067881184390153,3.2677276209997217,6,0,0,6,3,3,0.227,0.141
