round,acc,t_round_s,n_malicious
0,0.30965494515840514,2.2789302000019234,0
1,0.3417125641387751,2.6056543000013335,0
2,0.3160570540884056,3.0206011999980547,0
3,0.41086475544885376,2.9067610999991302,0
4,0.4794520547945205,2.9429988999982015,0
5,0.5262910135103328,2.9584464999970805,0
6,0.5668690862872475,3.0151096999979927,0
7,0.5758602833874689,2.867013600000064,0
8,0.5894176905333521,3.0768347000012,0
9,0.5835804735677635,2.7760900000030233,0
10,0.5893235418726168,3.12245669999902,0
11,0.5929011909805583,2.748333299998194,0
12,0.6019394624111472,3.0858275999999023,0
13,0.6022689827237208,2.791771100000915,0
14,0.608435720001883,3.1088868000006187,0
15,0.5941251235701173,2.6367726999997103,0
16,0.6063644494657063,3.0825904000012088,0
17,0.611260179823942,2.9697861000022385,0
18,0.6085769429929859,2.3641100999993796,0
19,0.6070234900908534,2.623084899998503,0
20,0.5981735159817352,2.246451099999831,0
21,0.5957256508026173,2.4069509000000835,0
22,0.5993032999105588,3.089449800001603,0
23,0.5926658193287201,2.7403489999996964,0
24,0.6144141599585746,3.1846678000001702,0
25,0.6140375653156334,2.9915495999994164,0
26,0.6199218566115897,2.890739400001621,0
27,0.6230287624158546,3.0734885999991093,0
28,0.6151202749140894,2.8968260000001465,0
29,0.6062232264746034,2.875119200001791,0
30,0.6164383561643836,3.019524300001649,0
31,0.6049992938850445,2.9285358999986784,0
32,0.6137080450030599,2.9422303999999713,0
33,0.6058937061620299,3.042958499998349,0
34,0.613943416654898,3.030367799998203,0
35,0.6089535376359271,2.816294200001721,0
36,0.6154497952266629,2.833248499999172,0
37,0.6149319775926188,3.020843700000114,0
38,0.617050322459163,2.9726891000027535,0
39,0.6101303958951184,3.0206106000005093,0
40,0.6255707762557078,2.8428505000010773,0
41,0.6150732005837217,2.823741699998209,0
42,0.6215223838440899,3.113242400002491,0
43,0.6156851668785012,2.85431779999999,0
44,0.6202984512545309,2.864021400000638,0
45,0.6192628159864426,3.1184429000022647,0
46,0.6214282351833545,2.9403329999986454,0
47,0.6179447347361484,3.0091290999989724,0
48,0.6251941816127665,2.954844599997159,0
49,0.6193098903168103,2.2453280000008817,0
