round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.33691098244127476,2.1954045000020415,0,0,0,0,0,0,0.0,0.0
1,0.3798898460669397,2.24076100000093,0,0,0,0,0,0,0.0,0.0
2,0.4583627547898131,2.231154900000547,0,0,0,0,1,0,0.0,0.0
3,0.5260556418584945,2.2393287000013515,0,0,0,0,1,0,0.0,0.0
4,0.5813209057101163,2.27077890000146,0,0,0,0,6,0,0.0,0.0
5,0.5897942851762934,2.2459641999994346,0,0,0,0,6,0,0.0,0.0
6,0.5941251235701173,2.318568899998354,0,0,0,0,4,0,0.0,0.0
7,0.5931365626323966,2.2404095999991114,0,0,0,0,7,0,0.0,0.0
8,0.6074471590641624,2.238071100000525,0,0,0,0,4,0,0.0,0.0
9,0.6135668220119569,2.2324542999995174,0,0,0,0,4,0,0.0,0.0
10,0.5881466836134256,2.2634756000006746,0,0,0,0,17,0,0.0,0.006
11,0.6183213293790896,2.2050151000003098,0,0,0,0,7,0,0.0,0.006
12,0.6101774702254861,2.2291361999996298,0,0,0,0,13,0,0.0,0.005
13,0.6003860095090148,2.2477966000005836,0,0,0,0,11,0,0.0,0.005
14,0.61610883585181,2.3380068999977084,0,0,0,0,5,0,0.0,0.004
15,0.6228875394247517,2.2298331999991206,0,0,0,0,11,0,0.0,0.004
16,0.6015157934378383,2.2610913000025903,0,0,0,0,9,0,0.0,0.006
17,0.6197335592901191,2.2536264000009396,0,0,0,0,11,0,0.0,0.006
18,0.6263710398719579,2.281784399998287,0,0,0,0,10,0,0.0,0.005
19,0.608435720001883,2.2344216000019514,0,0,0,0,14,0,0.0,0.005
20,0.6283481617473992,2.2534100000011676,0,0,0,0,10,0,0.0,0.005
21,0.6228404650943841,2.333771400000842,0,0,0,0,12,0,0.0,0.006
22,0.6344678246951937,2.2326049999974202,0,0,0,0,17,0,0.0,0.006
23,0.6298074659887963,2.24223770000026,0,0,0,0,12,0,0.0,0.006
24,0.634561973355929,2.2554500000005646,0,0,0,0,10,0,0.0,0.005
25,0.639693075366003,2.2518098000000464,0,0,0,0,17,0,0.0,0.006
26,0.6496257590735772,2.182836199997837,0,0,0,0,16,0,0.0,0.006
27,0.6355034599632821,2.2427497999997286,0,0,0,0,21,0,0.0,0.012
28,0.6277832697829874,2.2558298999974795,0,0,0,0,19,0,0.0,0.014
29,0.6424233865273267,2.2303566000009596,0,0,0,0,7,0,0.0,0.013
30,0.6548039354140187,2.256345899997541,0,0,0,0,11,0,0.0,0.013
31,0.6395989267052676,2.2473396999994293,0,0,0,0,10,0,0.0,0.013
32,0.6401167443393118,2.2595193999986805,0,0,0,0,11,0,0.0,0.012
33,0.640493338982253,2.223786200000177,0,0,0,0,12,0,0.0,0.013
34,0.6458598126441651,2.368978899998183,0,0,0,0,19,0,0.0,0.016
35,0.6379983994727675,2.228617699998722,0,0,0,0,17,0,0.0,0.018
36,0.6274066751400461,2.247876500001439,0,0,0,0,17,0,0.0,0.02
37,0.6404462646518854,2.2312896999974328,0,0,0,0,21,0,0.0,0.022
38,0.6528738878689451,2.285731799998757,0,0,0,0,16,0,0.0,0.023
39,0.6371981358565174,2.263936700001068,0,0,0,0,17,0,0.0,0.023
40,0.6594642941204162,2.214978500000143,0,0,0,0,15,0,0.0,0.023
41,0.6487313467965918,2.2554405000009865,0,0,0,0,11,0,0.0,0.023
42,0.6368215412135763,2.2431123000023945,0,0,0,0,19,0,0.0,0.026
43,0.6518853269312244,2.2487933000011253,0,0,0,0,11,0,0.0,0.025
44,0.64035211599115,2.2403106999990996,0,0,0,0,10,0,0.0,0.024
45,0.6486842724662242,2.2093234000021766,0,0,0,0,18,0,0.0,0.025
46,0.6387515887586499,2.265079799999512,0,0,0,0,17,0,0.0,0.026
47,0.6498140563950477,2.2543741000008595,0,0,0,0,14,0,0.0,0.026
48,0.6471778938944593,2.370063200000004,0,0,0,0,13,0,0.0,0.026
49,0.6554629760391658,2.214975900002173,0,0,0,0,15,0,0.0,0.025
