round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.14560090382714305,2.030114000001049,6,0,0,5,5,5,0.0,0.0
1,0.2768441368921527,2.0573497000004863,6,0,0,5,5,5,0.0,0.0
2,0.45299628112790097,2.3008483000012347,6,0,0,5,5,5,0.0,0.0
3,0.42823518335451677,1.9934619000014209,6,0,0,6,6,6,0.25,0.01
4,0.5029421456479781,2.092087500001071,6,0,0,6,6,6,0.4,0.025
5,0.5582544838299676,1.9897275000002992,6,6,0,5,7,5,0.5,0.035
6,0.5969025090618086,1.7233010999989347,6,6,0,0,1,0,0.5,0.03
7,0.5877230146401168,1.6001689999975497,6,6,0,0,1,0,0.5,0.026
8,0.6245822153179871,1.6266023999996833,6,6,0,0,0,0,0.5,0.023
9,0.6038695099562209,1.833459599998605,6,6,0,0,1,0,0.5,0.021
10,0.6148378289318834,1.6266055999985838,6,6,0,0,0,0,0.5,0.019
11,0.6128136327260745,1.662515899999562,6,6,0,0,0,0,0.5,0.017
12,0.6056112601798239,1.8246978999995918,6,6,0,0,2,0,0.5,0.016
13,0.6199689309419574,1.7776152000005823,6,6,0,0,1,0,0.5,0.015
14,0.6091418349573977,1.6183645999990404,6,6,0,0,0,0,0.5,0.014
15,0.6037753612954856,1.8518234999974084,6,6,0,0,1,0,0.5,0.013
16,0.6188862213435014,1.6466513000013947,6,6,0,0,3,0,0.5,0.012
17,0.5995857458927647,1.7050770000023476,6,6,0,0,1,0,0.5,0.012
18,0.6216636068351927,1.8684729999986303,6,6,0,0,1,0,0.5,0.011
19,0.6156380925481335,1.7362437999981921,6,6,0,0,2,0,0.5,0.01
20,0.5961963941062939,1.7643524000013713,6,6,0,0,1,0,0.5,0.01
21,0.5930894883020289,1.757100899998477,6,6,0,0,3,0,0.5,0.009
22,0.6288659793814433,2.000478199999634,6,6,0,0,2,0,0.5,0.011
23,0.621757755495928,1.8591603999993822,6,6,0,0,0,0,0.5,0.01
24,0.6339970813915172,1.9468070000002626,6,6,0,0,0,0,0.5,0.01
25,0.6284423104081345,1.7638397999980953,6,6,0,0,0,0,0.5,0.01
26,0.6150732005837217,2.01062119999915,6,6,0,0,2,0,0.5,0.009
27,0.6034929153132796,1.7621199999994133,6,6,0,0,2,0,0.5,0.009
28,0.6440239137598268,1.854622599999857,6,6,0,0,1,0,0.5,0.009
29,0.6289130537118109,1.9773652000003494,6,6,0,0,0,0,0.5,0.008
30,0.6587111048345338,1.7370504999998957,6,6,0,0,0,0,0.5,0.008
31,0.6334321894271054,1.6598764000009396,6,6,0,0,0,0,0.5,0.008
32,0.6443063597420327,1.7910177999983716,6,6,0,0,2,0,0.5,0.008
33,0.626888857506002,1.9746788999982527,6,6,0,0,1,0,0.5,0.007
34,0.6484018264840182,1.6457925000031537,6,6,0,0,2,0,0.5,0.007
35,0.6507555430024008,1.8515116999988095,6,6,0,0,0,0,0.5,0.007
36,0.6506143200112978,1.640663799997128,6,6,0,0,2,0,0.5,0.007
37,0.6367744668832086,1.6286989000000176,6,6,0,0,0,0,0.5,0.007
38,0.6383749941157087,1.8463310999977693,6,6,0,0,1,0,0.5,0.006
39,0.6521677729134303,2.2166738999985682,6,6,0,0,2,0,0.5,0.006
40,0.6605470037188721,2.234312399999908,6,6,0,0,2,0,0.5,0.006
41,0.6220872758085016,2.393228500000987,6,6,0,0,1,0,0.5,0.006
42,0.6629477945676223,2.06105700000262,6,6,0,0,0,0,0.5,0.006
43,0.6229816880854869,2.2328759000010905,6,6,0,0,2,0,0.5,0.006
44,0.6551334557265923,1.8853853000000527,6,6,0,0,0,0,0.5,0.006
45,0.664736619121593,1.9856694000009156,6,6,0,0,0,0,0.5,0.005
46,0.6619592336299016,2.0683647000005294,6,6,0,0,1,0,0.5,0.005
47,0.659746740102622,1.9404065999988234,6,6,0,0,2,0,0.5,0.005
48,0.6363507979098997,2.076870799999597,6,6,0,0,3,0,0.5,0.005
49,0.6324436284893847,2.1152346000017133,6,6,0,0,2,0,0.5,0.005
