round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.07065856988184344,3.8125788449997344,9,0,0,5,2,0,0.0,0.0
1,0.04858070893941534,3.2915512629997465,9,0,0,6,5,1,0.0,0.0
2,0.0729652120698583,3.0988743179996163,9,0,0,6,4,0,0.0,0.0
3,0.07343595537353481,3.9606823270005407,9,0,0,7,3,0,0.0,0.012
4,0.07343595537353481,3.888161398000193,9,0,0,7,3,0,0.0,0.029
5,0.07343595537353481,3.883621877999758,9,0,0,6,4,0,0.0,0.04
6,0.07343595537353481,3.708510495000155,9,0,0,6,4,0,0.0,0.048
7,0.07343595537353481,3.4403771969991794,9,0,2,6,4,0,0.0,0.06
8,0.07277691474838771,3.371036567000374,9,0,2,6,0,0,0.0,0.058
9,0.07277691474838771,3.3139873760001137,9,0,2,7,0,0,0.0,0.056
10,0.07277691474838771,3.1322656660004213,9,0,2,4,0,0,0.0,0.055
11,0.07277691474838771,3.1899915250005506,9,0,2,7,0,0,0.0,0.054
12,0.07277691474838771,3.0790420849998554,9,0,2,7,0,0,0.0,0.053
13,0.07277691474838771,3.1919963390000703,9,0,2,7,0,0,0.0,0.052
14,0.07277691474838771,3.4361793699999907,9,0,2,7,0,0,0.0,0.051
15,0.07277691474838771,3.0654034449999017,9,0,2,8,0,0,0.0,0.051
16,0.07277691474838771,2.9851045610002984,9,0,2,6,0,0,0.0,0.05
17,0.07277691474838771,2.7386374259995137,9,0,2,7,0,0,0.0,0.05
18,0.07277691474838771,3.305396587999894,9,0,2,7,0,0,0.0,0.049
19,0.07277691474838771,3.490810280000005,9,0,2,7,0,0,0.0,0.049
20,0.07277691474838771,3.6913813660003143,9,0,2,7,0,0,0.0,0.048
21,0.07277691474838771,3.2994569389993558,9,0,2,6,0,0,0.0,0.048
22,0.07277691474838771,3.229146306000075,9,0,2,7,0,0,0.0,0.048
23,0.07277691474838771,3.424371412000255,9,0,2,7,0,0,0.0,0.048
24,0.07277691474838771,3.189676282000619,9,0,2,7,0,0,0.0,0.047
25,0.07277691474838771,3.312282984000376,9,0,2,6,0,0,0.0,0.047
26,0.07277691474838771,2.9668741860004957,9,0,2,5,0,0,0.0,0.047
27,0.07277691474838771,3.2897154220008815,9,0,2,6,0,0,0.0,0.047
28,0.07277691474838771,3.381999348000136,9,0,2,7,0,0,0.0,0.047
29,0.07277691474838771,2.7974007640004857,9,0,2,7,0,0,0.0,0.046
30,0.07277691474838771,3.212300576000416,9,0,2,6,0,0,0.0,0.046
31,0.07277691474838771,3.174165310000717,9,0,2,8,0,0,0.0,0.046
32,0.07277691474838771,3.288889933000064,9,0,2,8,0,0,0.0,0.046
33,0.07277691474838771,2.896573494000222,9,0,2,6,0,0,0.0,0.046
34,0.07277691474838771,3.4491638970002896,9,0,2,7,0,0,0.0,0.046
35,0.07277691474838771,3.21061241300049,9,0,2,6,0,0,0.0,0.046
36,0.07277691474838771,2.9231080460003795,9,0,2,6,0,0,0.0,0.046
37,0.07277691474838771,2.90427631700004,9,0,2,6,0,0,0.0,0.045
38,0.07277691474838771,3.394995267000013,9,0,2,7,0,0,0.0,0.045
39,0.07277691474838771,3.4007499339995775,9,0,2,6,0,0,0.0,0.045
40,0.07277691474838771,3.088709511000161,9,0,2,6,0,0,0.0,0.045
41,0.07277691474838771,3.4397215990002223,9,0,2,7,0,0,0.0,0.045
42,0.07277691474838771,2.9150930559999324,9,0,2,5,0,0,0.0,0.045
43,0.07277691474838771,2.8564430260003064,9,0,2,6,0,0,0.0,0.045
44,0.07277691474838771,3.492792168000051,9,0,2,7,0,0,0.0,0.045
45,0.07277691474838771,3.6482462419999138,9,0,2,6,0,0,0.0,0.045
46,0.07277691474838771,3.7303276200000255,9,0,2,5,0,0,0.0,0.045
47,0.07277691474838771,3.3564159959996687,9,0,2,7,0,0,0.0,0.045
48,0.07277691474838771,3.2366606770001454,9,0,2,7,0,0,0.0,0.045
49,0.07277691474838771,2.671580178000113,9,0,2,6,0,0,0.0,0.045
