round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2647,9,9,0
1,0.3246,9,9,0
2,0.4286,9,9,0
3,0.5109,9,9,0
4,0.5418,9,9,0
5,0.5646,9,9,0
6,0.5868,9,9,0
7,0.5822,9,9,0
8,0.5985,9,9,0
9,0.6022,9,9,0
10,0.6056,9,9,0
11,0.6048,9,9,0
12,0.6093,9,9,0
13,0.6091,9,9,0
14,0.6088,9,9,0
15,0.6065,9,9,0
16,0.6123,9,9,0
17,0.6117,9,9,0
18,0.6101,9,9,0
19,0.6128,9,9,0
20,0.625,9,9,0
21,0.6235,9,9,0
22,0.6248,9,9,0
23,0.6281,9,9,0
24,0.6253,9,9,0
25,0.628,9,9,0
26,0.6331,9,9,0
27,0.6337,9,9,0
28,0.6332,9,9,0
29,0.6323,9,9,0
30,0.6323,9,9,0
31,0.6333,9,9,0
32,0.6327,9,9,0
33,0.6333,9,9,0
34,0.642,9,9,0
35,0.6352,9,9,0
36,0.6462,9,9,0
37,0.6372,9,9,0
38,0.6541,9,9,0
39,0.6386,9,9,0
40,0.65,9,9,0
41,0.6463,9,9,0
42,0.6538,9,9,0
43,0.6451,9,9,0
44,0.653,9,9,0
45,0.657,9,9,0
46,0.6601,9,9,0
47,0.6512,9,9,0
48,0.6539,9,9,0
49,0.6534,9,9,0
