round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.29609753801252175,3.745310537000478,9,0,0,5,4,4,0.889,0.19
1,0.33418067127995105,2.9945558569997957,9,0,0,6,5,5,0.889,0.262
2,0.39970813915172054,3.4154517150000174,9,0,0,6,6,6,0.926,0.317
3,0.3686861554394389,3.838962150000043,9,0,0,7,7,7,0.944,0.381
4,0.4161841547803983,3.5928835239992623,9,9,2,7,7,7,0.956,0.419
5,0.4657063503271666,2.155013347000022,9,9,2,0,0,0,0.956,0.362
6,0.5194652356070235,2.513696471000003,9,9,2,0,0,0,0.956,0.321
7,0.5791554865132044,2.4104126040001574,9,9,2,0,0,0,0.956,0.29
8,0.5980793673209999,2.6052119799996944,9,9,2,0,0,0,0.956,0.267
9,0.5981735159817352,2.5841070520000358,9,9,2,0,0,0,0.956,0.248
10,0.6088123146448242,2.7056460760004484,9,9,2,0,1,0,0.956,0.245
11,0.6026926516970296,2.119887535000089,9,9,2,0,0,0,0.956,0.231
12,0.61610883585181,2.1087916320002478,9,9,2,0,1,0,0.956,0.23
13,0.6084827943322506,2.940676359000463,9,9,2,0,0,0,0.956,0.219
14,0.6049522195546768,2.5207104119999713,9,9,2,0,1,0,0.956,0.219
15,0.6166737278162218,2.5169759149994206,9,9,2,0,2,0,0.956,0.231
16,0.6251941816127665,2.3441482439993706,9,9,2,0,1,0,0.956,0.23
17,0.6291954996940169,2.431971789999807,9,9,2,0,1,0,0.956,0.23
18,0.6208633432189428,2.2177310510005555,9,9,2,0,1,0,0.956,0.229
19,0.6436943934472532,2.846741101999214,9,9,2,0,1,0,0.956,0.229
20,0.6218519041566634,2.551586378999673,9,9,2,0,0,0,0.956,0.221
21,0.6342795273737231,2.3483033889997387,9,9,2,0,0,0,0.956,0.215
22,0.6285835333992374,2.8062221209993368,9,9,2,0,1,0,0.956,0.215
23,0.6312196958998259,2.344359620000432,9,9,2,0,1,0,0.956,0.215
24,0.649107941439533,2.923187470000812,9,9,2,0,0,0,0.956,0.21
25,0.6410111566162972,2.5151237580003,9,9,2,0,1,0,0.956,0.21
26,0.6502847996987243,2.5798094600004333,9,9,2,0,0,0,0.956,0.205
27,0.6369156898743116,2.6282291420002366,9,9,2,0,1,0,0.956,0.205
28,0.624064397683943,2.4916838080007437,9,9,2,0,2,0,0.956,0.212
29,0.6304665066139434,2.883767219999754,9,9,2,0,1,0,0.956,0.213
30,0.6400225956785764,2.2824288849997174,9,9,2,0,1,0,0.956,0.213
31,0.6438356164383562,2.605889937000029,9,9,2,0,0,0,0.956,0.209
32,0.6282069387562962,3.0199279230000684,9,9,2,0,1,0,0.956,0.209
33,0.6506613943416655,2.767735131000336,9,9,2,0,0,0,0.956,0.205
34,0.652073624252695,2.287671041000067,9,9,2,0,0,0,0.956,0.201
35,0.6461893329567386,2.167270393999388,9,9,2,0,2,0,0.956,0.206
36,0.654756861083651,2.2091956900003424,9,9,2,0,0,0,0.956,0.202
37,0.6563573883161512,2.190443747000245,9,9,2,0,0,0,0.956,0.199
38,0.6342795273737231,2.2518087830003424,9,9,2,0,2,0,0.956,0.203
39,0.6455302923315915,2.535127840000314,9,9,2,0,3,0,0.956,0.212
40,0.6655368827378431,2.1341413079999256,9,9,2,0,1,0,0.956,0.212
41,0.6637951325142399,2.20552628599944,9,9,2,0,1,0,0.956,0.212
42,0.6616297133173281,2.3233719999998357,9,9,2,0,0,0,0.956,0.209
43,0.6560278680035776,2.379982671000107,9,9,2,0,1,0,0.956,0.209
44,0.6521677729134303,2.5178153659999225,9,9,2,0,1,0,0.956,0.21
45,0.6399755213482088,2.550484737000261,9,9,2,0,2,0,0.956,0.213
46,0.6485430494751212,2.429648981000355,9,9,2,0,3,0,0.956,0.22
47,0.668643788542108,2.583867051999732,9,9,2,0,0,0,0.956,0.217
48,0.6476486371981358,2.183166750000055,9,9,2,0,1,0,0.956,0.217
49,0.6686908628724756,2.0753251180003645,9,9,2,0,0,0,0.956,0.214
