round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.18801487548839618,3.1064869480005655,9,0,0,6,6,6,0.0,0.0
1,0.2777856234995057,3.1937104500002533,9,0,0,7,7,7,0.0,0.0
2,0.252695005413548,3.6400210050005626,9,0,0,7,6,6,0.0,0.0
3,0.3880807795509109,4.012000192999949,9,0,0,5,5,5,0.222,0.024
4,0.465518053005696,3.5895199160004267,9,0,0,6,7,6,0.356,0.029
5,0.4829826295720943,3.52978722700027,9,8,0,6,8,6,0.444,0.032
6,0.5036953349338605,2.7992180350001945,9,8,0,1,2,1,0.46,0.027
7,0.5932777856234995,2.591834019000089,9,8,0,1,1,1,0.472,0.03
8,0.5962905427670291,2.731561866999982,9,8,0,1,1,1,0.481,0.026
9,0.6079649766982065,2.456359569000597,9,9,0,1,1,1,0.489,0.024
10,0.6148378289318834,2.362902056999701,9,9,0,0,0,0,0.489,0.022
11,0.6166737278162218,2.5916655959999844,9,9,0,0,0,0,0.489,0.02
12,0.6180859577272513,2.858608207000543,9,9,0,0,0,0,0.489,0.018
13,0.6183213293790896,2.411482886000158,9,9,0,0,0,0,0.489,0.017
14,0.6189803700042367,2.598664617000395,9,9,0,0,0,0,0.489,0.016
15,0.6198747822812221,2.862930785999197,9,9,0,0,0,0,0.489,0.015
16,0.6189803700042367,2.486802137000268,9,9,0,0,0,0,0.489,0.014
17,0.6198277079508544,2.3377701170002183,9,9,0,0,2,0,0.489,0.013
18,0.6135668220119569,2.5213861540005382,9,9,0,0,2,0,0.489,0.013
19,0.6194511133079132,2.4966241370002535,9,9,0,0,0,0,0.489,0.012
20,0.6085298686626183,2.588843526000346,9,9,0,0,1,0,0.489,0.011
21,0.6100362472343831,2.329369795000275,9,9,0,0,2,0,0.489,0.011
22,0.6195452619686485,2.5014035459998922,9,9,0,0,0,0,0.489,0.01
23,0.6219460528173987,2.626209959999869,9,9,0,0,0,0,0.489,0.01
24,0.6201101539330603,2.7409557210003186,9,9,0,0,0,0,0.489,0.01
25,0.6223697217907075,3.1206449709998196,9,9,0,0,0,0,0.489,0.009
26,0.6228404650943841,2.875608702000136,9,9,0,0,0,0,0.489,0.009
27,0.6256178505860754,2.4488441590001457,9,9,0,0,1,0,0.489,0.009
28,0.6290072023725463,2.6674914160003027,9,9,0,0,0,0,0.489,0.008
29,0.6327260744715907,2.66626546399948,9,9,0,0,0,0,0.489,0.008
30,0.6329614461234289,2.2280328340002598,9,9,0,0,0,0,0.489,0.008
31,0.6443534340724003,2.599013207000098,9,9,0,0,2,0,0.489,0.007
32,0.6403991903215177,2.9339818690004904,9,9,0,0,0,0,0.489,0.007
33,0.6368686155439439,2.62445033899985,9,9,0,0,1,0,0.489,0.007
34,0.6369156898743116,2.4250326560004396,9,9,0,0,0,0,0.489,0.007
35,0.6438356164383562,2.3649282870001116,9,9,0,0,0,0,0.489,0.007
36,0.6437414677776209,2.8779381499998635,9,9,0,0,0,0,0.489,0.006
37,0.634420750364826,2.580892887000118,9,9,0,0,1,0,0.489,0.006
38,0.6427058325095325,2.554904767000153,9,9,0,0,0,0,0.489,0.006
39,0.6419997175540177,2.2814473799999178,9,9,0,0,0,0,0.489,0.006
40,0.6456244409923269,2.3195791269999972,9,9,0,0,0,0,0.489,0.006
41,0.6357859059454879,2.5685330699998303,9,9,0,0,1,0,0.489,0.006
42,0.6446358800546063,2.4844864959995903,9,9,0,0,1,0,0.489,0.006
43,0.6429882784917385,2.7500012569998944,9,9,0,0,0,0,0.489,0.005
44,0.6473191168855623,2.4018932950002636,9,9,0,0,0,0,0.489,0.005
45,0.6409170079555618,2.5758041449998927,9,9,0,0,1,0,0.489,0.005
46,0.6536741514851951,2.8425336370000878,9,9,0,0,0,0,0.489,0.005
47,0.6471778938944593,2.7259585140000127,9,9,0,0,0,0,0.489,0.005
48,0.6455773666619592,2.7374589689998174,9,9,0,0,3,0,0.489,0.005
49,0.650049428046886,2.3377322410005945,9,9,0,0,0,0,0.489,0.005
