round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.07065856988184344,3.8296615789995485,9,0,0,5,2,0,0.0,0.286
1,0.04858070893941534,3.256233591999262,9,0,0,6,5,1,0.056,0.476
2,0.0729652120698583,3.1825930389995847,9,0,0,6,4,0,0.037,0.508
3,0.07343595537353481,4.337435907999861,9,0,0,7,3,0,0.028,0.488
4,0.07343595537353481,3.65968601700024,9,0,4,7,3,0,0.022,0.476
5,0.07343595537353481,2.8407762560000265,9,0,4,5,3,0,0.019,0.494
6,0.07343595537353481,3.083532903999185,9,0,4,6,2,0,0.016,0.486
7,0.07343595537353481,2.9373277330005294,9,0,4,6,2,0,0.014,0.48
8,0.07343595537353481,3.0221725850005896,9,0,4,7,2,2,0.037,0.465
9,0.07277691474838771,3.5387879560003057,9,0,4,6,0,0,0.033,0.433
10,0.07277691474838771,3.126016578000417,9,0,4,6,0,0,0.03,0.408
11,0.07277691474838771,2.8232957660002285,9,0,4,7,0,0,0.028,0.387
12,0.07277691474838771,3.272891246000654,9,0,4,5,0,0,0.026,0.368
13,0.07277691474838771,2.958752984000057,9,0,4,6,0,0,0.024,0.353
14,0.07277691474838771,2.992293907000203,9,0,4,6,0,0,0.022,0.34
15,0.07277691474838771,3.245127992000562,9,0,4,7,0,0,0.021,0.328
16,0.07277691474838771,3.5801730650000536,9,0,4,5,0,0,0.02,0.318
17,0.07277691474838771,3.4905671330006953,9,0,4,6,0,0,0.019,0.308
18,0.07277691474838771,3.101248563999434,9,0,4,7,0,0,0.018,0.3
19,0.07277691474838771,2.852407251000841,9,0,4,4,0,0,0.017,0.293
20,0.07277691474838771,2.6406986909996704,9,0,4,6,0,0,0.016,0.286
21,0.07277691474838771,3.1609429769996495,9,0,4,5,0,0,0.015,0.28
22,0.07277691474838771,2.920978288999322,9,0,4,6,0,0,0.014,0.275
23,0.07277691474838771,3.5478931520001424,9,0,4,6,0,0,0.014,0.269
24,0.07277691474838771,3.225025031999394,9,0,4,6,0,0,0.013,0.265
25,0.07277691474838771,2.828821632000654,9,0,4,6,0,0,0.013,0.26
26,0.07277691474838771,2.6046701959994607,9,0,4,5,0,0,0.012,0.256
27,0.07277691474838771,2.874603844000376,9,0,4,6,0,0,0.012,0.253
28,0.07277691474838771,3.881865915000162,9,0,4,6,0,0,0.011,0.249
29,0.07277691474838771,3.1848700939999617,9,0,4,6,0,0,0.011,0.246
30,0.07277691474838771,2.726106125000115,9,0,4,6,0,0,0.011,0.243
31,0.07277691474838771,3.0818835569998555,9,0,4,5,0,0,0.01,0.24
32,0.07277691474838771,2.7666526160001013,9,0,4,6,0,0,0.01,0.238
33,0.07277691474838771,3.2980887749999965,9,0,4,7,0,0,0.01,0.235
34,0.07277691474838771,2.668770936999863,9,0,4,5,0,0,0.01,0.233
35,0.07277691474838771,3.0803141159994993,9,0,4,7,0,0,0.009,0.23
36,0.07277691474838771,3.032864122000319,9,0,4,6,0,0,0.009,0.228
37,0.07277691474838771,3.168966342999738,9,0,4,4,0,0,0.009,0.226
38,0.07277691474838771,3.043198701999245,9,0,4,5,0,0,0.009,0.224
39,0.07277691474838771,3.408574905000023,9,0,4,6,0,0,0.008,0.223
40,0.07277691474838771,2.7857989690000977,9,0,4,7,0,0,0.008,0.221
41,0.07277691474838771,2.7861891559996366,9,0,4,7,0,0,0.008,0.219
42,0.07277691474838771,3.282706603000406,9,0,4,7,0,0,0.008,0.218
43,0.07277691474838771,3.558981985000173,9,0,4,5,0,0,0.008,0.216
44,0.07277691474838771,3.0483896890000324,9,0,4,6,0,0,0.007,0.215
45,0.07277691474838771,3.2264261759992223,9,0,4,7,0,0,0.007,0.213
46,0.07277691474838771,2.984183184000358,9,0,4,7,0,0,0.007,0.212
47,0.07277691474838771,3.018208890999631,9,0,4,5,0,0,0.007,0.211
48,0.07277691474838771,3.0741674890005015,9,0,4,6,0,0,0.007,0.21
49,0.07277691474838771,2.6690318970004228,9,0,4,5,0,0,0.007,0.209
