round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.2099468085106383,9.538635,6,0,0,0.40875
1,0.5173404255319148,9.346839199999977,6,1,0,0.17722826086956522
2,0.6732978723404255,9.006095999999957,6,1,0,0.16853260869565218
3,0.7317553191489362,9.042536200000086,6,1,0,0.36978260869565216
4,0.7599468085106383,9.13492539999993,6,1,0,0.43967391304347825
5,0.7820744680851064,9.041843500000027,6,1,0,0.6897826086956522
6,0.7964361702127659,9.068410200000017,6,1,0,0.7804891304347826
7,0.8061170212765958,9.02471079999998,6,1,0,0.8603804347826087
8,0.8138829787234042,9.097013599999968,6,1,0,0.9406521739130435
9,0.818936170212766,9.03553020000004,6,1,0,0.9506521739130435
10,0.8243085106382979,9.058307000000013,6,1,0,0.9620652173913044
11,0.8290425531914893,9.03844950000007,6,1,0,0.9644565217391304
12,0.8294148936170213,9.068030799999974,6,1,0,0.9776630434782608
13,0.8352127659574468,9.107723999999962,6,1,0,0.9839130434782609
14,0.8336170212765958,9.067398099999991,6,1,0,0.9869565217391304
15,0.8425,9.16362950000007,6,1,0,0.988641304347826
16,0.843563829787234,9.04707360000009,6,1,0,0.990108695652174
17,0.8460106382978724,9.053455999999983,6,1,0,0.9942934782608696
18,0.8465425531914894,9.016985700000077,6,1,0,0.9955978260869566
19,0.849095744680851,9.007128600000101,6,1,0,0.9957608695652174
20,0.8504255319148936,5.631226200000015,6,1,0,0.9958695652173913
21,0.8520212765957447,4.66958980000004,6,1,0,0.9967391304347826
22,0.8527127659574468,4.4416757999999845,6,1,0,0.9984239130434782
23,0.852872340425532,5.639800500000092,6,1,0,0.9983695652173913
24,0.8554787234042553,9.033265400000005,6,1,0,0.9985869565217391
25,0.8532446808510639,9.15333899999996,6,1,0,0.9990217391304348
26,0.8557978723404255,9.312539900000047,6,1,0,0.9990217391304348
27,0.8565957446808511,9.176831999999877,6,1,0,0.9991847826086957
28,0.8577659574468085,9.129642699999977,6,1,0,0.9993478260869565
29,0.8595212765957447,9.152423999999883,6,1,0,0.9994565217391305
30,0.860531914893617,9.162647399999969,6,1,0,0.9994021739130434
31,0.8616489361702128,9.069060099999888,6,1,0,0.9994565217391305
32,0.8602127659574468,8.954405700000052,6,1,0,0.9996195652173913
33,0.8594148936170213,8.991333299999951,6,1,0,0.9996195652173913
34,0.8623936170212766,9.115760899999941,6,1,0,0.9997282608695652
35,0.8623404255319149,9.06940039999995,6,1,0,0.9996739130434783
36,0.8634574468085107,9.201623400000017,6,1,0,0.9998369565217391
37,0.864095744680851,9.177401200000077,6,1,0,0.9997826086956522
38,0.8646276595744681,9.194810299999972,6,1,0,0.9998369565217391
39,0.863563829787234,9.152938799999902,6,1,0,0.9998369565217391
40,0.8642553191489362,9.049353800000063,6,1,0,0.9998369565217391
41,0.8637765957446808,9.093082299999878,6,1,0,0.9998913043478261
42,0.8652659574468086,9.154650700000047,6,1,0,0.9998369565217391
43,0.865531914893617,9.131922000000031,6,1,0,0.9998913043478261
44,0.8665957446808511,9.18770910000012,6,1,0,1.0
45,0.8657978723404255,9.244487099999787,6,1,0,1.0
46,0.8665957446808511,9.168672799999968,6,1,0,1.0
47,0.8668085106382979,9.114547199999834,6,1,0,1.0
48,0.8697340425531915,9.128449000000046,6,1,0,0.9999456521739131
49,0.8667553191489362,9.18411489999994,6,1,0,1.0
