round,acc,t_round_s,n_malicious,asr
0,0.2584574468085106,6.7653816000092775,3,0.08864130434782609
1,0.5201063829787234,7.027968399997917,3,0.05157608695652174
2,0.6602659574468085,8.422094599998672,3,0.0808695652173913
3,0.7182446808510639,8.887549999999464,3,0.0920108695652174
4,0.750531914893617,8.917307700001402,3,0.13059782608695653
5,0.7734042553191489,8.842480399995111,3,0.23076086956521738
6,0.7834574468085106,8.870071000012103,3,0.328804347826087
7,0.7995744680851063,8.812437499989755,3,0.4495108695652174
8,0.8053191489361702,8.801233000005595,3,0.6113586956521739
9,0.8148404255319149,8.83659500000067,3,0.7086413043478261
10,0.818936170212766,8.861431600002106,3,0.7819021739130435
11,0.8246808510638298,8.98291189999145,3,0.837391304347826
12,0.8278723404255319,8.84278190000623,3,0.87
13,0.8297340425531915,8.78723099999479,3,0.8935326086956522
14,0.8342553191489361,8.864020199995139,3,0.9122282608695652
15,0.8367021276595744,8.7551678000018,3,0.9398369565217392
16,0.8386170212765958,8.774440699999104,3,0.9455434782608696
17,0.8390425531914893,8.71551239999826,3,0.9567934782608696
18,0.8418085106382979,8.757744200003799,3,0.9665760869565218
19,0.8441489361702128,8.812720600006287,3,0.9685326086956522
20,0.845,8.697756599998684,3,0.9728260869565217
21,0.8471808510638298,8.729046699998435,3,0.9748369565217392
22,0.8486170212765958,8.81943359998695,3,0.976304347826087
23,0.8495744680851064,8.8377601000102,3,0.9782065217391305
24,0.8511170212765957,8.801302899999428,3,0.9805434782608695
25,0.8531382978723404,8.782896099990467,3,0.9792391304347826
26,0.8523404255319149,8.770426499992027,3,0.9839130434782609
27,0.8545744680851064,8.80115859999205,3,0.9857608695652174
28,0.8556382978723405,8.72899590000452,3,0.9872826086956522
29,0.856436170212766,8.758362100008526,3,0.9873369565217391
30,0.8554255319148936,8.717869999993127,3,0.987554347826087
31,0.8574468085106383,8.73272060000454,3,0.9878804347826087
32,0.8577127659574468,8.741405900000245,3,0.9893478260869565
33,0.8597872340425532,8.762294499989366,3,0.9900543478260869
34,0.8602127659574468,8.66012369999953,3,0.9925
35,0.8583510638297872,8.733400600001914,3,0.992445652173913
36,0.8592553191489362,8.733290200005285,3,0.9928804347826087
37,0.8604255319148936,8.676016099998378,3,0.9933695652173913
38,0.862659574468085,8.727768700002343,3,0.9926086956521739
39,0.8618085106382979,8.828458100004354,3,0.9942391304347826
40,0.8628191489361702,8.717550300003495,3,0.9942934782608696
41,0.8632978723404255,8.764130199997453,3,0.9947826086956522
42,0.8632978723404255,8.78233650000766,3,0.9953260869565217
43,0.8638829787234042,8.800375400009216,3,0.9948369565217391
44,0.8653191489361702,8.8003602999961,3,0.995
45,0.8651063829787234,8.908761299986509,3,0.9952173913043478
46,0.8662765957446809,8.561744899998303,3,0.9949456521739131
47,0.8665957446808511,7.1199294999969425,3,0.9949456521739131
48,0.8651595744680851,7.0211997000005795,3,0.9970108695652173
49,0.8666489361702128,8.185775000005378,3,0.9964673913043478
