round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.26303191489361705,58.52963129999989,3,0,0,3,8,3,0.0,0.0,0.0
1,0.5637765957446809,58.155517999999574,3,0,0,3,4,3,0.0,0.0,0.004402173913043478
2,0.6897872340425532,57.96325849999994,3,0,0,3,4,3,0.0,0.0,0.002934782608695652
3,0.7410106382978724,57.990655000001425,3,0,0,3,4,3,0.25,0.009,0.01391304347826087
4,0.763563829787234,57.7752449000036,3,0,0,3,2,2,0.333,0.007,0.01956521739130435
5,0.7769148936170213,57.82309290000558,3,1,0,3,3,2,0.333,0.006,0.005326086956521739
6,0.7929787234042553,56.65409139999974,3,1,0,2,1,1,0.31,0.005,0.026684782608695654
7,0.8082978723404255,55.952821899998526,3,1,0,2,0,0,0.292,0.005,0.029565217391304348
8,0.8151595744680851,56.25255520000064,3,1,0,2,0,0,0.278,0.004,0.03152173913043478
9,0.8182978723404255,55.441973599998164,3,1,0,2,0,0,0.267,0.004,0.04923913043478261
10,0.8260106382978724,56.003956699998525,3,1,0,2,1,0,0.258,0.003,0.0683695652173913
11,0.8296808510638298,56.79029199999786,3,1,0,2,0,0,0.25,0.003,0.11467391304347826
12,0.828031914893617,56.89714909999748,3,1,0,2,1,0,0.244,0.003,0.17728260869565218
13,0.8351063829787234,56.000291399999696,3,1,0,2,0,0,0.238,0.003,0.20070652173913042
14,0.8392021276595745,56.61918909999804,3,1,0,2,0,0,0.233,0.002,0.2907608695652174
15,0.841436170212766,56.73072890000185,3,1,0,2,0,0,0.229,0.002,0.3720652173913043
16,0.8430851063829787,56.761951500004216,3,1,0,2,0,0,0.225,0.002,0.4142391304347826
17,0.8438829787234042,56.761937499999476,3,1,0,2,0,0,0.222,0.002,0.5270652173913043
18,0.8451063829787234,57.027338599997165,3,1,0,2,0,0,0.219,0.002,0.6254891304347826
19,0.8486702127659574,57.455270099999325,3,1,0,2,0,0,0.217,0.002,0.6665760869565217
20,0.847872340425532,56.52113549999922,3,1,0,2,1,0,0.214,0.002,0.76375
21,0.8509574468085106,58.144388299995626,3,1,0,2,0,0,0.212,0.002,0.7789130434782608
22,0.8511170212765957,56.21762649999437,3,1,0,2,0,0,0.21,0.002,0.8051630434782608
23,0.8548404255319149,56.30693910000264,3,1,0,2,0,0,0.208,0.002,0.8396195652173913
24,0.8546276595744681,56.45159240000066,3,1,0,2,0,0,0.207,0.001,0.8552717391304347
25,0.8545212765957447,56.03226149999682,3,1,0,2,0,0,0.205,0.001,0.8834782608695653
26,0.8565425531914893,56.6380857999975,3,1,0,2,0,0,0.204,0.001,0.8914130434782609
27,0.8568085106382979,55.25279530000262,3,1,0,2,0,0,0.202,0.001,0.9046739130434782
28,0.8589893617021277,55.21730039999966,3,1,0,2,0,0,0.201,0.001,0.9095652173913044
29,0.859468085106383,56.44396400000551,3,1,0,2,0,0,0.2,0.001,0.921304347826087
30,0.8591489361702128,56.358244600000035,3,1,0,2,0,0,0.199,0.001,0.9332608695652174
31,0.8601595744680851,56.259538400001475,3,1,0,2,0,0,0.198,0.001,0.9415760869565217
32,0.8616489361702128,56.22405339999386,3,1,0,2,0,0,0.197,0.001,0.9482065217391304
33,0.8619148936170212,56.441983799995796,3,1,0,2,0,0,0.196,0.001,0.9532608695652174
34,0.8627659574468085,57.03728630000114,3,1,0,2,0,0,0.195,0.001,0.9553260869565218
35,0.8634042553191489,57.439822500004084,3,1,0,2,0,0,0.194,0.001,0.9584239130434783
36,0.8643617021276596,57.84451779999654,3,1,0,2,0,0,0.194,0.001,0.957391304347826
37,0.8645744680851064,57.72361260000616,3,1,0,2,0,0,0.193,0.001,0.9640217391304348
38,0.8640425531914894,58.3222961000065,3,1,0,2,1,0,0.192,0.001,0.96625
39,0.8663297872340425,58.17492360000324,3,1,0,2,0,0,0.192,0.001,0.9696739130434783
40,0.8668085106382979,58.224007499993604,3,1,0,2,0,0,0.191,0.001,0.9701630434782609
41,0.866968085106383,58.08302759999788,3,1,0,2,0,0,0.19,0.001,0.9759239130434783
42,0.8665425531914893,57.81799970000429,3,1,0,2,0,0,0.19,0.001,0.9785869565217391
43,0.8682446808510639,57.39914729999873,3,1,0,1,0,0,0.189,0.001,0.9771195652173913
44,0.8684574468085107,56.85467290000088,3,1,0,2,0,0,0.189,0.001,0.9808695652173913
45,0.8688297872340426,56.372010399994906,3,1,0,2,0,0,0.188,0.001,0.9804891304347826
46,0.8690425531914894,56.65130379999755,3,1,0,2,0,0,0.188,0.001,0.9813586956521739
47,0.868563829787234,56.66656499999954,3,1,0,2,0,0,0.188,0.001,0.9830434782608696
48,0.8703191489361702,58.03750209999998,3,1,0,2,0,0,0.187,0.001,0.9826086956521739
49,0.8698404255319149,60.194270099993446,3,1,0,2,0,0,0.187,0.001,0.9828804347826087
