round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.2712765957446808,19.87799769999947,9,0,0,6,8,6,1.0,0.714,0.0
1,0.5338829787234043,19.197479399999793,9,0,0,7,6,6,0.944,0.595,0.04565217391304348
2,0.6864361702127659,18.95252299999993,9,0,0,7,4,4,0.852,0.492,0.045
3,0.7371808510638298,19.46748049999951,9,0,0,5,3,2,0.778,0.417,0.15347826086956523
4,0.7615957446808511,19.728739200001655,9,5,1,6,1,1,0.689,0.333,0.3975
5,0.7806914893617021,15.863440199998877,9,5,1,3,0,0,0.652,0.284,0.5206521739130435
6,0.791968085106383,15.759546600000249,9,5,1,4,0,0,0.625,0.249,0.6940217391304347
7,0.8067021276595745,15.486138700000083,9,5,1,4,1,0,0.606,0.24,0.8441304347826087
8,0.813031914893617,15.410913800000344,9,5,1,4,1,1,0.602,0.229,0.8622282608695652
9,0.8188829787234042,16.509522199999992,9,5,1,3,1,1,0.6,0.219,0.8863043478260869
10,0.8193085106382979,16.5364325999999,9,5,1,3,0,0,0.588,0.203,0.9044021739130435
11,0.8278191489361703,15.959592399998655,9,5,1,3,0,0,0.578,0.189,0.9258695652173913
12,0.8253723404255319,16.12162669999998,9,5,1,4,0,0,0.569,0.177,0.9343478260869565
13,0.8347340425531915,16.302451399998972,9,5,1,4,0,0,0.562,0.167,0.9583695652173913
14,0.8381914893617022,16.07785429999967,9,5,1,4,0,0,0.556,0.159,0.9655434782608696
15,0.8399468085106383,15.700611000000208,9,5,1,4,0,0,0.55,0.151,0.9673369565217391
16,0.8393085106382979,15.711347599999499,9,5,1,3,0,0,0.545,0.145,0.9705978260869565
17,0.8447872340425532,15.667057300001034,9,5,1,4,0,0,0.541,0.139,0.9803260869565218
18,0.8392021276595745,15.511924500000532,9,5,1,3,0,0,0.537,0.133,0.9820652173913044
19,0.8448936170212766,16.359355500000675,9,5,1,3,0,0,0.533,0.129,0.9852717391304348
20,0.846968085106383,16.64175720000094,9,5,1,4,0,0,0.53,0.124,0.9865217391304347
21,0.8473936170212766,16.56784560000051,9,5,1,4,0,0,0.527,0.12,0.9892934782608696
22,0.8470744680851063,16.022034699999494,9,5,1,3,1,1,0.529,0.121,0.987445652173913
23,0.8531914893617021,15.904085600001054,9,5,1,4,0,0,0.527,0.117,0.9916847826086956
24,0.8537234042553191,16.128158800000165,9,5,1,3,0,0,0.524,0.114,0.9926086956521739
25,0.8544148936170213,15.7319279000003,9,5,1,4,0,0,0.522,0.111,0.9938586956521739
26,0.8566489361702128,15.662237300000925,9,5,1,3,0,0,0.52,0.109,0.995
27,0.8570212765957447,15.800169599999208,9,5,1,3,0,0,0.518,0.106,0.9953260869565217
28,0.8581382978723404,16.171867900000507,9,5,1,4,0,0,0.516,0.104,0.9956521739130435
29,0.8577127659574468,16.809397900000477,9,5,1,3,0,0,0.515,0.102,0.9966304347826087
30,0.8581914893617021,16.427352200000314,9,5,1,3,0,0,0.513,0.1,0.9969565217391304
31,0.8604255319148936,15.957658100000117,9,5,1,4,0,0,0.512,0.098,0.9970652173913044
32,0.859468085106383,15.486031299999013,9,5,1,4,0,0,0.51,0.096,0.9972826086956522
33,0.8609042553191489,15.487671599999885,9,5,1,4,0,0,0.509,0.094,0.9975
34,0.8614893617021276,16.30014350000056,9,5,1,3,0,0,0.508,0.093,0.9977173913043478
35,0.8614893617021276,16.264667100000224,9,5,1,3,0,0,0.507,0.091,0.9977717391304348
36,0.8627127659574468,16.668263199999274,9,5,1,4,0,0,0.506,0.09,0.9977717391304348
37,0.8630851063829788,16.181927600000563,9,5,1,4,0,0,0.505,0.088,0.9983695652173913
38,0.8650531914893617,15.399670300001162,9,5,1,4,0,0,0.504,0.087,0.9977173913043478
39,0.864095744680851,15.709789900000033,9,5,1,3,0,0,0.503,0.086,0.9983695652173913
40,0.8632978723404255,15.733831200001077,9,5,1,4,0,0,0.502,0.085,0.9979347826086956
41,0.8642553191489362,16.214066900000034,9,5,1,4,0,0,0.501,0.083,0.998641304347826
42,0.8661170212765957,16.151440999999977,9,5,1,3,0,0,0.5,0.082,0.9984782608695653
43,0.8657446808510638,15.256253199999264,9,5,1,3,0,0,0.499,0.081,0.9985326086956522
44,0.8651063829787234,15.680711599999995,9,5,1,4,0,0,0.499,0.08,0.998641304347826
45,0.8657446808510638,15.947268199999598,9,5,1,3,0,0,0.498,0.08,0.9988586956521739
46,0.8652659574468086,15.516799000000901,9,5,1,3,0,0,0.497,0.079,0.9985869565217391
47,0.8672872340425531,15.714050000000498,9,5,1,4,0,0,0.497,0.078,0.9989673913043479
48,0.8665957446808511,15.690659699999742,9,5,1,3,0,0,0.496,0.077,0.9991847826086957
49,0.8681914893617021,15.473587800001042,9,5,1,4,0,0,0.496,0.076,0.9993478260869565
