round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.24765957446808512,42.888696199981496,3,0,0
1,0.5013829787234042,41.34271430000081,3,0,0
2,0.6609574468085107,39.829533600015566,3,2,0
3,0.7309574468085106,37.59986790001858,3,3,0
4,0.7658510638297872,36.28371319998405,3,3,0
5,0.7869148936170213,37.24999209999805,3,3,0
6,0.796063829787234,40.71228669999982,3,3,0
7,0.8088297872340425,38.073525099986,3,3,0
8,0.8146808510638298,39.486503499996616,3,3,0
9,0.8214361702127659,39.401302099984605,3,3,0
10,0.8265425531914894,42.649689700017916,3,3,0
11,0.8282446808510638,42.68399249998038,3,3,0
12,0.831968085106383,41.18461970001226,3,3,0
13,0.8377659574468085,38.66230719999294,3,3,0
14,0.8378191489361703,45.350258399994345,3,3,0
15,0.841968085106383,41.988003799982835,3,3,0
16,0.8445212765957447,43.16977490001591,3,3,0
17,0.8457978723404256,40.906642200017814,3,3,0
18,0.8495744680851064,39.67697400000179,3,3,0
19,0.8493085106382978,39.50027550000232,3,3,0
20,0.8494148936170213,38.87080480001168,3,3,0
21,0.8537234042553191,38.88972529998864,3,3,0
22,0.8523404255319149,39.57273549999809,3,3,0
23,0.8540425531914894,39.308116000000155,3,3,0
24,0.8516489361702128,37.92585619998863,3,3,0
25,0.8545212765957447,36.92038950001006,3,3,0
26,0.856063829787234,39.257683200004976,3,3,0
27,0.8581382978723404,41.0517150000087,3,3,0
28,0.8587765957446809,40.34108069998911,3,3,0
29,0.8571808510638298,39.6906826000195,3,3,0
