round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.2946808510638298,44.72691970001324,3,0,0,11,37,11,1.0,0.667
1,0.5215425531914893,43.443446599994786,3,0,0,10,34,10,1.0,0.611
2,0.6736702127659574,44.62413700000616,3,0,0,12,19,12,1.0,0.407
3,0.7351063829787234,44.977998099988326,3,0,0,11,14,11,1.0,0.306
4,0.7623936170212766,43.97664179999265,3,3,0,12,13,12,1.0,0.244
5,0.7801595744680851,38.15858370001661,3,3,0,0,2,0,1.0,0.204
6,0.7957446808510639,39.471686300006695,3,3,0,0,0,0,1.0,0.175
7,0.8046808510638298,42.83698459999869,3,3,0,0,2,0,1.0,0.153
8,0.8112234042553191,41.46018309998908,3,3,0,0,4,0,1.0,0.136
9,0.816063829787234,40.02628140000161,3,3,0,0,2,0,1.0,0.122
10,0.8243617021276596,39.01227710000239,3,3,0,0,2,0,1.0,0.111
11,0.826063829787234,38.769338000012795,3,3,0,0,0,0,1.0,0.102
12,0.8297340425531915,37.96624770000926,3,3,0,0,0,0,1.0,0.094
13,0.8332978723404255,37.81184879998909,3,3,0,0,1,0,1.0,0.087
14,0.8359574468085106,38.71564280000166,3,3,0,0,1,0,1.0,0.081
15,0.8365957446808511,37.29482830001507,3,3,0,0,5,0,1.0,0.076
16,0.8398936170212766,37.629702000005636,3,3,0,0,0,0,1.0,0.072
17,0.8422340425531915,37.4401310000103,3,3,0,0,1,0,1.0,0.068
18,0.8415425531914894,36.94860579998931,3,3,0,0,3,0,1.0,0.064
19,0.846968085106383,36.82342390000122,3,3,0,0,0,0,1.0,0.061
20,0.8477127659574468,36.664093900006264,3,3,0,0,1,0,1.0,0.058
21,0.8477659574468085,37.19465689998469,3,3,0,0,0,0,1.0,0.056
22,0.8489361702127659,38.052450899995165,3,3,0,0,0,0,1.0,0.053
23,0.8516489361702128,38.26483530001133,3,3,0,0,1,0,1.0,0.051
24,0.8525531914893617,37.44434519999777,3,3,0,0,0,0,1.0,0.049
25,0.8526063829787234,38.68053270000382,3,3,0,0,2,0,1.0,0.047
26,0.8529787234042553,37.291262299986556,3,3,0,0,1,0,1.0,0.045
27,0.8546808510638297,38.51450499999919,3,3,0,0,0,0,1.0,0.044
28,0.8561702127659574,37.9943695999973,3,3,0,0,0,0,1.0,0.042
29,0.8550531914893617,36.77021220000461,3,3,0,0,0,0,1.0,0.041
