round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.16542553191489362,18.17212540000037,6,0,0,5,0,0,0.0,0.0
1,0.4452127659574468,17.980761599999823,6,0,0,6,0,0,0.0,0.0
2,0.5820744680851064,17.77759490000244,6,0,0,5,0,0,0.0,0.0
3,0.6688297872340425,17.97702610000124,6,0,0,5,0,0,0.0,0.0
4,0.6909574468085107,18.200136399998883,6,0,0,4,0,0,0.0,0.0
5,0.7226595744680852,18.04884640000091,6,0,0,5,0,0,0.0,0.0
6,0.7330319148936171,18.093916300000274,6,0,0,5,0,0,0.0,0.0
7,0.7866489361702128,18.040791399998852,6,0,0,4,2,2,0.0,0.0
8,0.7097340425531915,18.23396270000012,6,0,0,5,0,0,0.0,0.0
9,0.788563829787234,18.088535599999886,6,0,0,6,0,0,0.0,0.0
10,0.8112234042553191,18.005784199998743,6,0,0,4,2,2,0.0,0.0
11,0.649468085106383,18.475469700002577,6,0,0,5,1,0,0.0,0.0
12,0.8180851063829787,18.19076800000039,6,0,0,5,1,1,0.0,0.0
13,0.6272872340425532,18.326203999997233,6,0,0,5,2,0,0.0,0.0
14,0.8213829787234043,18.4651460999994,6,0,0,4,2,2,0.0,0.0
15,0.7918617021276596,18.183350000002974,6,0,0,5,0,0,0.0,0.0
16,0.8140425531914893,18.286763200001587,6,0,0,6,0,0,0.0,0.0
17,0.8047340425531915,18.029658400002518,6,0,0,5,0,0,0.0,0.0
18,0.8144148936170212,18.13699650000126,6,0,0,6,0,0,0.0,0.0
19,0.8105851063829788,18.47098449999976,6,0,0,6,0,0,0.0,0.0
20,0.8174468085106383,18.21446559999822,6,0,0,6,0,0,0.0,0.0
21,0.8314893617021276,18.109758900001907,6,0,0,5,1,1,0.0,0.0
22,0.15175531914893617,18.218463600001996,6,0,0,5,5,0,0.0,0.0
23,0.8354787234042553,18.2621481999995,6,0,0,5,0,0,0.0,0.0
24,0.8052127659574468,18.35876339999959,6,0,0,5,0,0,0.0,0.0
25,0.8397340425531915,18.01692919999914,6,0,0,5,1,1,0.0,0.0
26,0.34585106382978725,18.040618499999255,6,0,0,6,4,0,0.0,0.0
27,0.8405851063829787,18.624174599997787,6,0,0,5,1,1,0.0,0.0
28,0.5846808510638298,18.198113499998726,6,0,0,5,3,0,0.0,0.0
29,0.8442553191489361,18.49886129999868,6,0,0,5,1,1,0.0,0.0
30,0.1576063829787234,18.01685030000226,6,0,0,5,5,0,0.0,0.0
31,0.8403723404255319,17.92194870000094,6,0,0,6,0,0,0.0,0.0
32,0.8225531914893617,18.560830800000986,6,0,0,6,0,0,0.0,0.0
33,0.8354255319148937,18.275459299999056,6,0,0,6,0,0,0.0,0.0
34,0.8434574468085106,18.457070599997678,6,0,0,5,1,1,0.0,0.0
35,0.1803191489361702,17.84393170000112,6,0,0,5,5,0,0.0,0.0
36,0.8437765957446809,17.91649320000215,6,0,0,5,0,0,0.0,0.0
37,0.8264893617021276,17.96128469999894,6,0,0,5,0,0,0.0,0.0
38,0.8479255319148936,17.978520599997864,6,0,0,5,1,1,0.0,0.0
39,0.15122340425531916,17.950358900001447,6,0,0,5,5,0,0.0,0.0
40,0.8504255319148936,18.461725399996794,6,0,0,5,0,0,0.0,0.0
41,0.8241489361702128,18.313481500001217,6,0,0,5,0,0,0.0,0.0
42,0.848563829787234,18.197894600001746,6,0,0,5,1,1,0.0,0.0
43,0.1623936170212766,18.277390899998863,6,0,0,5,5,0,0.0,0.0
44,0.8526595744680852,18.165657400000782,6,0,0,5,0,0,0.0,0.0
45,0.641436170212766,18.266761200000474,6,0,0,5,3,0,0.0,0.0
46,0.8547872340425532,17.99619000000166,6,0,0,4,2,2,0.0,0.0
47,0.33595744680851064,18.3477426999998,6,0,0,6,4,0,0.0,0.0
48,0.8556382978723405,18.194713899996714,6,0,0,5,1,1,0.0,0.0
49,0.07095744680851064,18.059750799999165,6,0,0,4,6,0,0.0,0.0
