round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.2522340425531915,39.75571630000195,6,0,0,5,8,4,0.833,0.792
1,0.5087234042553191,40.16171739999845,6,0,0,6,7,6,0.917,0.708
2,0.6737765957446809,39.41665509999439,6,0,0,5,7,5,0.944,0.681
3,0.7300531914893617,39.532516200008104,6,0,0,6,6,6,0.958,0.635
4,0.7570744680851064,39.65062270000635,6,6,6,5,5,5,0.967,0.583
5,0.7760106382978723,26.342578200012213,6,6,6,0,1,0,0.967,0.543
6,0.7925,26.155346800005645,6,6,6,0,0,0,0.967,0.496
7,0.795,26.221503499997198,6,6,6,0,0,0,0.967,0.461
8,0.8054255319148936,26.249357699998654,6,6,6,0,0,0,0.967,0.434
9,0.8081382978723404,26.12031769999885,6,6,6,0,0,0,0.967,0.413
10,0.8153723404255319,26.171149600006174,6,6,6,0,0,0,0.967,0.395
11,0.8207446808510638,26.014831499996944,6,6,6,0,0,0,0.967,0.38
12,0.8219148936170213,26.205688499991084,6,6,6,0,0,0,0.967,0.367
13,0.8269148936170213,25.950552399997832,6,6,6,0,0,0,0.967,0.357
14,0.8278723404255319,26.29277689999435,6,6,6,0,0,0,0.967,0.347
15,0.8323404255319149,25.971602099991287,6,6,6,0,0,0,0.967,0.339
16,0.8392021276595745,25.70239710000169,6,6,6,0,0,0,0.967,0.332
17,0.8377659574468085,26.05076339999505,6,6,6,0,0,0,0.967,0.325
18,0.8378191489361703,26.097197199997026,6,6,6,0,0,0,0.967,0.32
19,0.8411170212765957,26.095639799998025,6,6,6,0,0,0,0.967,0.315
20,0.8386170212765958,25.788293200006592,6,6,6,0,0,0,0.967,0.31
21,0.8398936170212766,26.70345049999014,6,6,6,0,1,0,0.967,0.311
22,0.846436170212766,25.907669899999746,6,6,6,0,0,0,0.967,0.307
23,0.8470212765957447,25.777324700000463,6,6,6,0,0,0,0.967,0.303
24,0.8459574468085106,26.231516500003636,6,6,6,0,0,0,0.967,0.3
25,0.846436170212766,26.1731468999933,6,6,6,0,0,0,0.967,0.297
26,0.8513297872340425,25.97206780000124,6,6,6,0,0,0,0.967,0.294
27,0.8508510638297873,25.778373199995258,6,6,6,0,0,0,0.967,0.291
28,0.8488829787234042,26.138457300010487,6,6,6,0,0,0,0.967,0.289
29,0.8485106382978723,25.997979000007035,6,6,6,0,0,0,0.967,0.286
