round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.27180851063829786,42.83676469999773,9,0,0,27,35,27,1.0,0.821
1,0.4965425531914894,43.23716699999932,9,0,0,29,35,29,1.0,0.821
2,0.6796808510638298,43.29231869999785,9,0,0,27,29,27,1.0,0.75
3,0.7361702127659574,43.072200000009616,9,0,0,27,30,27,1.0,0.723
4,0.7548404255319149,42.52310120000038,9,0,0,25,25,25,1.0,0.671
5,0.777127659574468,42.10341490000428,9,9,0,27,27,27,1.0,0.649
6,0.7930851063829787,31.817731299990555,9,9,0,0,0,0,1.0,0.556
7,0.8026063829787234,31.601120899998932,9,9,0,0,0,0,1.0,0.487
8,0.8120744680851064,31.856873500000802,9,9,0,0,1,0,1.0,0.437
9,0.8159574468085107,31.176677099996596,9,9,0,0,0,0,1.0,0.393
10,0.8218085106382979,33.18558330000087,9,9,0,0,1,0,1.0,0.36
11,0.8258510638297872,32.09338089999801,9,9,0,0,3,0,1.0,0.339
12,0.8294680851063829,30.188599000000977,9,9,0,0,0,0,1.0,0.313
13,0.8288829787234042,29.982306099991547,9,9,0,0,1,0,1.0,0.293
14,0.8327659574468085,30.196922699993593,9,9,0,0,0,0,1.0,0.274
15,0.8395212765957447,30.30455550001352,9,9,0,0,3,0,1.0,0.263
16,0.8387234042553191,30.948804600004223,9,9,0,0,0,0,1.0,0.248
17,0.841063829787234,30.59557579999091,9,9,0,0,1,0,1.0,0.236
18,0.8410106382978724,31.003026799997315,9,9,0,0,0,0,1.0,0.224
19,0.845531914893617,30.726215999995475,9,9,0,0,0,0,1.0,0.213
20,0.8470212765957447,30.79270410000754,9,9,0,0,1,0,1.0,0.204
21,0.8483510638297872,31.148552999991807,9,9,0,0,0,0,1.0,0.195
22,0.849095744680851,30.951796900000772,9,9,0,0,0,0,1.0,0.186
23,0.8487234042553191,31.25554870000633,9,9,0,0,2,0,1.0,0.182
24,0.8520212765957447,30.738828700006707,9,9,0,0,0,0,1.0,0.174
25,0.8520744680851063,31.18431430000055,9,9,0,0,1,0,1.0,0.169
26,0.8541489361702128,31.095975300006103,9,9,0,0,0,0,1.0,0.163
27,0.8575,30.932370200011064,9,9,0,0,0,0,1.0,0.157
28,0.8552659574468086,31.567593599989777,9,9,0,0,0,0,1.0,0.151
29,0.8579255319148936,31.60572809999576,9,9,0,0,1,0,1.0,0.148
