round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.25090425531914895,40.288911700001336,3,0,0,3,0,0,0.0,0.0
1,0.5120744680851064,40.240011500005494,3,0,0,3,0,0,0.0,0.0
2,0.6643085106382979,40.51227199999266,3,0,0,3,0,0,0.0,0.0
3,0.7232446808510639,40.052324099990074,3,0,0,3,0,0,0.0,0.0
4,0.7568085106382979,40.64090509999369,3,0,0,3,0,0,0.0,0.0
5,0.7711170212765958,40.23721320000186,3,0,0,3,0,0,0.0,0.0
6,0.7861702127659574,40.23443080000288,3,0,0,3,0,0,0.0,0.0
7,0.7934574468085106,40.8590308999992,3,0,0,3,0,0,0.0,0.0
8,0.8023404255319149,43.03177920001326,3,0,0,3,0,0,0.0,0.0
9,0.8079255319148936,43.06548339998699,3,0,0,3,0,0,0.0,0.0
10,0.814627659574468,41.44413039999199,3,0,0,3,0,0,0.0,0.0
11,0.8202659574468085,40.70741099999577,3,0,0,3,1,1,0.028,0.006
12,0.8151595744680851,40.88815389999945,3,0,0,3,0,0,0.026,0.006
13,0.8318617021276595,40.67604580000625,3,0,0,3,3,3,0.095,0.021
14,0.8192021276595745,40.89683810000133,3,0,0,3,0,0,0.089,0.02
15,0.8353723404255319,41.487687800006825,3,0,0,3,3,3,0.146,0.032
16,0.8320744680851064,42.497011800005566,3,0,0,2,0,0,0.137,0.031
17,0.8435106382978723,42.32352190000529,3,0,0,3,3,3,0.185,0.041
18,0.8351595744680851,40.85303670000576,3,0,0,3,0,0,0.175,0.039
19,0.8444680851063829,41.77899749999051,3,0,0,3,3,3,0.217,0.048
20,0.8411170212765957,41.174513399993884,3,0,0,2,0,0,0.206,0.046
21,0.8467553191489362,40.113372000007075,3,0,0,3,3,3,0.242,0.054
22,0.8426063829787234,40.7232997000101,3,0,0,3,0,0,0.232,0.052
23,0.848563829787234,40.77797169999394,3,0,0,3,3,3,0.264,0.059
24,0.8429787234042553,40.09381759999087,3,0,0,2,0,0,0.253,0.056
25,0.8520744680851063,40.142645200001425,3,0,0,3,3,3,0.282,0.063
26,0.8436702127659574,40.22390769999765,3,0,0,3,0,0,0.272,0.06
27,0.8538297872340426,40.206030500005,3,0,0,3,3,3,0.298,0.066
28,0.846968085106383,40.21954180000466,3,0,0,3,0,0,0.287,0.064
29,0.8575,40.44718170000124,3,0,0,3,3,3,0.311,0.069
