round,acc,t_round_s,n_malicious
0,0.17388297872340425,18.453137000000424,9
1,0.40643617021276596,19.192322899998544,9
2,0.5408510638297872,18.75639189999856,9
3,0.6186170212765958,18.61923569999999,9
4,0.6785638297872341,18.826688600001944,9
5,0.6904787234042553,18.758837100001983,9
6,0.7164893617021276,18.725238899998658,9
7,0.7176595744680851,18.384897299998556,9
8,0.7427659574468085,19.24489430000176,9
9,0.7361702127659574,18.848042200002965,9
10,0.7587765957446808,18.410340099999303,9
11,0.7464893617021277,18.773131699999794,9
12,0.7669680851063829,18.614335900001606,9
13,0.7626595744680851,18.606048799996643,9
14,0.7753191489361703,18.466134300000704,9
15,0.7738297872340425,18.995187000000442,9
16,0.7686702127659575,18.791720199998963,9
17,0.7826063829787234,18.416788800001086,9
18,0.7738297872340425,19.079434700001002,9
19,0.7877127659574468,18.59059459999844,9
20,0.7895744680851063,18.606370000001334,9
21,0.7795212765957447,18.62747610000224,9
22,0.7890425531914894,18.926565099998697,9
23,0.7877659574468086,18.82574129999921,9
24,0.7951063829787234,19.21620350000012,9
25,0.7992553191489362,19.322987600000488,9
26,0.7876063829787234,19.66276579999976,9
27,0.8054787234042553,19.56206849999944,9
28,0.785372340425532,19.82616490000146,9
29,0.8093617021276596,20.503532999999152,9
30,0.7836702127659575,19.457958499999222,9
31,0.8130851063829787,20.00431589999789,9
32,0.7978191489361702,20.180666400003247,9
33,0.8146808510638298,20.882489100000384,9
34,0.7964893617021277,20.172022599999764,9
35,0.8168617021276596,21.096458700001676,9
36,0.8021808510638297,20.88256249999904,9
37,0.8127659574468085,20.63207699999839,9
38,0.8020212765957446,20.69694679999884,9
39,0.8118617021276596,19.713798799999495,9
40,0.815531914893617,19.290229900001577,9
41,0.8108510638297872,20.42306760000065,9
42,0.8076063829787234,22.40958859999955,9
43,0.819468085106383,20.03101510000124,9
44,0.7994148936170212,19.25786860000153,9
45,0.8109042553191489,22.330755999999383,9
46,0.8034042553191489,20.469590199998493,9
47,0.811595744680851,19.366692800002056,9
48,0.8099468085106383,20.614361600000848,9
49,0.8076595744680851,19.735412799996993,9
