round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.274468085106383,17.71553899999708,0,0,1
1,0.5294148936170213,16.375457600021036,0,0,1
2,0.6740425531914893,16.601805100013735,0,0,1
3,0.7313297872340425,16.727171500009717,0,0,1
4,0.7657446808510638,18.196513500006404,0,0,1
5,0.783563829787234,18.34470549999969,0,0,1
6,0.7954787234042553,18.4475849000155,0,0,1
7,0.8047340425531915,18.523569299984956,0,0,1
8,0.8122340425531915,18.53042519997689,0,0,1
9,0.8187765957446809,18.38618050000514,0,0,1
10,0.8213829787234043,18.399283799983095,0,0,1
11,0.826063829787234,18.57009459999972,0,0,1
12,0.8279787234042553,18.57124499999918,0,0,1
13,0.8315957446808511,18.497572299995227,0,0,1
14,0.8370212765957447,18.34331480000401,0,0,1
15,0.8374468085106384,18.322561400011182,0,0,1
16,0.8401063829787234,18.570388499996625,0,0,1
17,0.8415957446808511,18.483966300002066,0,0,1
18,0.8459042553191489,17.997807499981718,0,0,1
19,0.8454787234042553,17.387545300007332,0,0,1
20,0.8467553191489362,18.467716300016036,0,0,1
21,0.8497872340425532,18.18678209997597,0,0,1
22,0.8480319148936171,18.18946190000861,0,0,1
23,0.8526063829787234,18.345510400016792,0,0,1
24,0.8504787234042553,17.87748370002373,0,0,1
25,0.8512765957446808,17.393730699986918,0,0,1
26,0.8518617021276595,16.609906900004717,0,0,1
27,0.8543085106382978,16.54018099998939,0,0,1
28,0.8556914893617021,13.491993599978741,0,0,1
29,0.8562234042553192,17.243167500011623,0,0,1
30,0.8561170212765957,17.454770399985136,0,0,1
31,0.8595212765957447,17.63637760002166,0,0,1
32,0.8563829787234043,17.608038200007286,0,0,1
33,0.8618085106382979,17.40722019999521,0,0,1
34,0.8609042553191489,17.395802999992156,0,0,1
35,0.8605851063829787,17.363400400005048,0,0,1
36,0.8615425531914893,17.579541700019035,0,0,1
37,0.861436170212766,17.43215040001087,0,0,1
38,0.8597872340425532,17.353960600012215,0,0,1
39,0.8627659574468085,17.395615600020392,0,0,1
40,0.8601595744680851,17.54734630000894,0,0,1
41,0.8642021276595745,17.31702220000443,0,0,1
42,0.8643617021276596,17.316549500013934,0,0,1
43,0.8639893617021277,17.39454989999649,0,0,1
44,0.8631382978723404,17.51404760000878,0,0,1
45,0.8663829787234043,17.35834559999057,0,0,1
46,0.8668085106382979,17.21925920000649,0,0,1
47,0.8659574468085106,15.383559599984437,0,0,1
48,0.8656382978723405,15.749139099993045,0,0,1
49,0.8651063829787234,17.901911399996607,0,0,1
