round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.285531914893617,18.405838100006804,0,0,0,0,35,0,0.0,0.633
1,0.5711702127659575,18.078886600007536,0,0,0,0,21,0,0.0,0.367
2,0.6772340425531915,18.169643300003372,0,0,0,0,8,0,0.0,0.244
3,0.7313297872340425,18.003246499982197,0,0,0,0,5,0,0.0,0.183
4,0.7604787234042554,18.098014199989848,0,0,0,0,2,0,0.0,0.147
5,0.7795212765957447,18.12005009999848,0,0,0,0,3,0,0.0,0.122
6,0.7921808510638297,17.95091610000236,0,0,0,0,1,0,0.0,0.105
7,0.801968085106383,17.94980279999436,0,0,0,0,2,0,0.0,0.092
8,0.8118085106382978,17.96382319999975,0,0,0,0,3,0,0.0,0.081
9,0.8153191489361702,18.025808100006543,0,0,0,0,3,0,0.0,0.073
10,0.8214361702127659,18.06926379998913,0,0,0,0,1,0,0.0,0.067
11,0.8266489361702127,18.107089900004212,0,0,0,0,0,0,0.0,0.061
12,0.8253723404255319,17.94433649998973,0,0,0,0,3,0,0.0,0.056
13,0.8327127659574468,18.01785929998732,0,0,0,0,1,0,0.0,0.052
14,0.835,18.04007190000266,0,0,0,0,0,0,0.0,0.049
15,0.8375531914893617,18.154467599990312,0,0,0,0,0,0,0.0,0.046
16,0.839627659574468,18.208976499998244,0,0,0,0,2,0,0.0,0.043
17,0.8415957446808511,16.399880100012524,0,0,0,0,1,0,0.0,0.041
18,0.844095744680851,15.429978200001642,0,0,0,0,1,0,0.0,0.039
19,0.8451595744680851,18.616912099998444,0,0,0,0,0,0,0.0,0.037
20,0.8480851063829787,17.0763134000008,0,0,0,0,0,0,0.0,0.035
21,0.8473404255319149,18.71649140000227,0,0,0,0,0,0,0.0,0.033
22,0.8509042553191489,18.968769500002963,0,0,0,0,1,0,0.0,0.032
23,0.8486170212765958,19.515857899998082,0,0,0,0,1,0,0.0,0.031
24,0.8504787234042553,19.47565740000573,0,0,0,0,1,0,0.0,0.029
25,0.8523404255319149,18.96470219999901,0,0,0,0,0,0,0.0,0.028
26,0.8537234042553191,21.238926499994704,0,0,0,0,0,0,0.0,0.027
27,0.8542021276595745,21.21632629999658,0,0,0,0,0,0,0.0,0.026
28,0.8545212765957447,21.28726660000393,0,0,0,0,1,0,0.0,0.025
29,0.8568617021276596,21.28720959997736,0,0,0,0,0,0,0.0,0.024
30,0.8570744680851063,21.31394939997699,0,0,0,0,0,0,0.0,0.024
31,0.8576595744680852,21.234780600003432,0,0,0,0,0,0,0.0,0.023
32,0.8588297872340426,21.238756600010674,0,0,0,0,1,0,0.0,0.022
33,0.8586702127659575,21.27006700000493,0,0,0,0,0,0,0.0,0.022
34,0.8606914893617021,21.26175209999201,0,0,0,0,0,0,0.0,0.021
35,0.8611170212765957,21.276956399990013,0,0,0,0,0,0,0.0,0.02
36,0.8611702127659574,21.207240500021726,0,0,0,0,0,0,0.0,0.02
37,0.8607446808510638,21.342444300011266,0,0,0,0,0,0,0.0,0.019
38,0.8609574468085106,19.94631820000359,0,0,0,0,0,0,0.0,0.019
39,0.8631382978723404,20.844056500005536,0,0,0,0,0,0,0.0,0.018
40,0.8622340425531915,19.5065450000111,0,0,0,0,0,0,0.0,0.018
41,0.8632446808510639,20.926835900027072,0,0,0,0,1,0,0.0,0.017
42,0.8624468085106383,19.646345800021663,0,0,0,0,2,0,0.0,0.017
43,0.8628191489361702,21.075944799988065,0,0,0,0,1,0,0.0,0.017
44,0.8643085106382978,19.554614299995592,0,0,0,0,0,0,0.0,0.016
45,0.8638297872340426,19.82140889999573,0,0,0,0,0,0,0.0,0.016
46,0.8672872340425531,20.89591809999547,0,0,0,0,1,0,0.0,0.016
47,0.8659042553191489,21.23961230000714,0,0,0,0,0,0,0.0,0.015
48,0.8655851063829787,21.369916399999056,0,0,0,0,0,0,0.0,0.015
49,0.8665957446808511,20.149941199983004,0,0,0,0,0,0,0.0,0.015
