round,acc,t_round_s,n_malicious
0,0.1952127659574468,15.843057799997041,0
1,0.44117021276595747,17.325071499974,0
2,0.620531914893617,17.443828799994662,0
3,0.7002127659574469,17.441500899993116,0
4,0.7383510638297872,16.326707300002454,0
5,0.7602127659574468,13.950328700011596,0
6,0.7752659574468085,15.003759699990042,0
7,0.7902659574468085,18.79873090001638,0
8,0.7965425531914894,18.925452700001188,0
9,0.8031382978723405,18.67972600000212,0
10,0.8073404255319149,18.818425500008743,0
11,0.816063829787234,18.688613299978897,0
12,0.8191489361702128,18.835536200000206,0
13,0.8229787234042554,18.779794600006426,0
14,0.8269148936170213,18.79426340002101,0
15,0.8300531914893617,18.790710500004934,0
16,0.8303191489361702,18.747372799989535,0
17,0.8340425531914893,18.73853629999212,0
18,0.8361170212765957,18.735222400020575,0
19,0.8372340425531914,18.692047799995635,0
20,0.8393085106382979,18.727518800005782,0
21,0.8411702127659575,18.864356599980965,0
22,0.8393085106382979,18.328097200021148,0
23,0.8434574468085106,17.963581299991347,0
24,0.8447340425531915,18.734400599991204,0
25,0.8471276595744681,17.447432099987054,0
26,0.8470744680851063,18.396564099995885,0
27,0.8476595744680852,17.05773160001263,0
28,0.8492553191489361,14.142454699991504,0
29,0.8476595744680852,15.621823599998606,0
30,0.8507978723404256,17.414830300025642,0
31,0.8517021276595744,17.381044599984307,0
32,0.8534574468085107,17.3353312999825,0
33,0.8507446808510638,17.381611499993596,0
34,0.8512234042553192,17.442451600014465,0
35,0.8526063829787234,17.429493800009368,0
36,0.8553191489361702,17.420563599996967,0
37,0.8537765957446809,17.361140199995134,0
38,0.8543617021276596,17.431902300013462,0
39,0.8556914893617021,17.4556450000091,0
40,0.855,17.433291699999245,0
41,0.856436170212766,17.45076410000911,0
42,0.8568617021276596,17.528732300008414,0
43,0.8551063829787234,17.524372400017455,0
44,0.8570212765957447,17.43359979998786,0
45,0.8577659574468085,17.39477759998408,0
46,0.8572340425531915,17.304729399998905,0
47,0.8585106382978723,17.347969499998726,0
48,0.8570212765957447,17.414833999995608,0
49,0.8569148936170212,17.04226899999776,0
