round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.10154255319148936,48.239245800010394,6,2,0
1,0.4152659574468085,45.667122699989704,6,6,0
2,0.6167021276595744,39.525475499991444,6,6,0
3,0.7059574468085107,39.92422529999749,6,6,0
4,0.7403191489361702,39.6524580999976,6,6,0
5,0.7695212765957447,39.76434320000408,6,6,0
6,0.7863829787234042,40.1540079999977,6,6,0
7,0.793936170212766,39.927883099997416,6,6,0
8,0.8085638297872341,41.087020799997845,6,6,0
9,0.8109042553191489,40.08040810000966,6,6,0
10,0.8226595744680851,40.480249600004754,6,6,0
11,0.8213297872340426,39.94403230000171,6,6,0
12,0.8291489361702128,40.165652800002135,6,6,0
13,0.8335638297872341,39.68279310000071,6,6,0
14,0.8351595744680851,40.945066000000224,6,6,0
15,0.8381914893617022,47.26424110001244,6,6,0
16,0.8398404255319148,45.31692749999638,6,6,0
17,0.8377659574468085,42.54930129999411,6,6,0
18,0.8451063829787234,39.987682600010885,6,6,0
19,0.8451595744680851,39.464466100005666,6,6,0
20,0.8479787234042553,40.21110440000484,6,6,1
21,0.8496808510638297,38.677892599996994,6,6,1
22,0.8481914893617021,38.70243240000855,6,6,1
23,0.8493085106382978,38.837220999994315,6,6,1
24,0.8522872340425532,38.29245949999313,6,6,1
25,0.8540425531914894,38.451041199994506,6,6,1
26,0.8542021276595745,38.67451450000226,6,6,1
27,0.8554255319148936,39.184432399997604,6,6,1
28,0.8581914893617021,38.521418899996206,6,6,1
29,0.8568085106382979,38.58467159999418,6,6,1
