round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.31132978723404253,51.19911900000443,3,0,0,12,32,12,1.0,0.481
1,0.5601063829787234,50.69925610000064,3,0,0,12,27,12,1.0,0.333
2,0.6902659574468085,55.52754090000235,3,0,0,11,26,11,1.0,0.284
3,0.7492553191489362,58.09546749999572,3,0,0,11,19,11,1.0,0.213
4,0.7702659574468085,56.52385800000047,3,3,0,10,12,10,1.0,0.17
5,0.7883510638297873,54.75475010000082,3,3,0,0,4,0,1.0,0.142
6,0.800531914893617,51.61147289999644,3,3,0,0,3,0,1.0,0.122
7,0.8102127659574468,48.74025909999909,3,3,0,0,0,0,1.0,0.106
8,0.8146808510638298,52.25011800000357,3,3,0,0,0,0,1.0,0.095
9,0.8248936170212766,50.952068300000974,3,3,0,0,1,0,1.0,0.085
10,0.8288829787234042,51.01078470000357,3,3,0,0,1,0,1.0,0.077
11,0.8303191489361702,50.4611264999985,3,3,0,0,5,0,1.0,0.071
12,0.836063829787234,53.09775389999413,3,3,0,0,0,0,1.0,0.066
13,0.8385638297872341,50.82292730000336,3,3,0,0,0,0,1.0,0.061
14,0.8381382978723404,48.89528689999861,3,3,0,0,0,0,1.0,0.057
15,0.8397340425531915,49.69227220000175,3,3,0,0,1,0,1.0,0.053
16,0.8436170212765958,50.30025160000514,3,3,0,0,0,0,1.0,0.05
17,0.8460106382978724,49.85189849999733,3,3,0,0,1,0,1.0,0.047
18,0.8472872340425532,49.375770899998315,3,3,0,0,1,0,1.0,0.045
19,0.8511170212765957,50.22026179999375,3,3,0,0,0,0,1.0,0.043
20,0.8495212765957447,50.35142629999609,3,3,0,0,2,0,1.0,0.041
21,0.8502659574468086,50.687989299993205,3,3,0,0,3,0,1.0,0.039
22,0.8520744680851063,53.948668400000315,3,3,0,0,1,0,1.0,0.037
23,0.8565425531914893,45.45550400000502,3,3,0,0,0,0,1.0,0.035
24,0.8557446808510638,45.20845510000072,3,3,0,0,0,0,1.0,0.034
25,0.855531914893617,44.79233980000572,3,3,0,0,0,0,1.0,0.033
26,0.859468085106383,45.48065819999465,3,3,0,0,0,0,1.0,0.032
27,0.8582446808510639,44.657412199994724,3,3,0,0,1,0,1.0,0.03
28,0.8597340425531915,44.457269099999394,3,3,0,0,0,0,1.0,0.029
29,0.86,44.312501400003384,3,3,0,0,0,0,1.0,0.028
