round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.02127659574468085,18.00571839999975,9,0,0,7,4,1,0.0,0.0
1,0.02127659574468085,18.116081599997415,9,0,0,8,2,0,0.0,0.0
2,0.02127659574468085,18.081372499997087,9,0,0,6,1,0,0.0,0.0
3,0.02127659574468085,18.044160099998408,9,0,0,7,3,0,0.0,0.0
4,0.02127659574468085,17.8977902000006,9,0,0,7,3,0,0.0,0.0
5,0.02127659574468085,17.93058999999994,9,0,0,7,0,0,0.0,0.0
6,0.02127659574468085,17.979706799997075,9,0,0,7,0,0,0.0,0.0
7,0.02127659574468085,17.921927999999753,9,0,0,5,0,0,0.0,0.0
8,0.02127659574468085,17.802120899999863,9,0,0,7,0,0,0.0,0.0
9,0.02127659574468085,17.884248500002286,9,0,0,8,0,0,0.0,0.0
10,0.02127659574468085,18.088297399997828,9,0,0,5,0,0,0.0,0.0
11,0.02127659574468085,17.832177699998283,9,0,0,9,0,0,0.0,0.0
12,0.02127659574468085,17.792573800001264,9,0,0,7,0,0,0.0,0.0
13,0.02127659574468085,17.735371000002488,9,0,0,7,0,0,0.0,0.0
14,0.02127659574468085,17.783675700000458,9,0,0,7,0,0,0.0,0.0
15,0.02127659574468085,18.137255099998583,9,0,0,7,0,0,0.0,0.0
16,0.02127659574468085,18.090692699999636,9,0,0,8,0,0,0.0,0.0
17,0.02127659574468085,17.876017800001136,9,0,0,5,0,0,0.0,0.0
18,0.02127659574468085,17.89601919999768,9,0,0,7,0,0,0.0,0.0
19,0.02127659574468085,17.802824200000032,9,0,0,6,0,0,0.0,0.0
20,0.02127659574468085,18.121792199999618,9,0,0,7,0,0,0.0,0.0
21,0.02127659574468085,18.381395899999916,9,0,0,6,0,0,0.0,0.0
22,0.02127659574468085,18.216250400000717,9,0,0,5,0,0,0.0,0.0
23,0.02127659574468085,17.851252500000555,9,0,0,5,0,0,0.0,0.0
24,0.02127659574468085,17.734744299999875,9,0,0,8,0,0,0.0,0.0
25,0.02127659574468085,18.200282900001184,9,0,0,8,0,0,0.0,0.0
26,0.02127659574468085,17.999475700002222,9,0,0,7,0,0,0.0,0.0
27,0.02127659574468085,17.84841139999844,9,0,0,6,0,0,0.0,0.0
28,0.02127659574468085,17.82756529999824,9,0,0,8,0,0,0.0,0.0
29,0.02127659574468085,17.820975700000417,9,0,0,8,0,0,0.0,0.0
30,0.02127659574468085,18.067631800000527,9,0,0,7,0,0,0.0,0.0
31,0.02127659574468085,18.11853930000143,9,0,0,6,0,0,0.0,0.0
32,0.02127659574468085,17.929665299998305,9,0,0,8,0,0,0.0,0.0
33,0.02127659574468085,17.89346989999831,9,0,0,7,0,0,0.0,0.0
34,0.02127659574468085,17.92868599999929,9,0,0,5,0,0,0.0,0.0
35,0.02127659574468085,17.921347600000445,9,0,0,7,0,0,0.0,0.0
36,0.02127659574468085,18.498197299999447,9,0,0,7,0,0,0.0,0.0
37,0.02127659574468085,17.885315100000298,9,0,0,7,0,0,0.0,0.0
38,0.02127659574468085,18.157913799997914,9,0,0,6,0,0,0.0,0.0
39,0.02127659574468085,17.857258600000932,9,0,0,7,0,0,0.0,0.0
40,0.02127659574468085,18.06299450000006,9,0,0,7,0,0,0.0,0.0
41,0.02127659574468085,18.056222700000944,9,0,0,7,0,0,0.0,0.0
42,0.02127659574468085,17.9335082999969,9,0,0,7,0,0,0.0,0.0
43,0.02127659574468085,18.167496999998548,9,0,0,6,0,0,0.0,0.0
44,0.02127659574468085,18.223664699999063,9,0,0,8,0,0,0.0,0.0
45,0.02127659574468085,18.108109100001457,9,0,0,7,0,0,0.0,0.0
46,0.02127659574468085,17.92444500000056,9,0,0,9,0,0,0.0,0.0
47,0.02127659574468085,18.44468980000238,9,0,0,7,0,0,0.0,0.0
48,0.02127659574468085,18.191457199998695,9,0,0,8,0,0,0.0,0.0
49,0.02127659574468085,18.03024550000191,9,0,0,6,0,0,0.0,0.0
