round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2753,3,3,0
1,0.5559,3,3,0
2,0.6834,3,3,0
3,0.7382,3,3,0
4,0.766,3,3,0
5,0.7861,3,3,0
6,0.7982,3,3,0
7,0.8076,3,3,0
8,0.8164,3,3,0
9,0.8233,3,3,0
10,0.8265,3,3,0
11,0.832,3,3,0
12,0.8335,3,3,0
13,0.839,3,3,0
14,0.8362,3,3,0
15,0.842,3,3,0
16,0.8446,3,3,0
17,0.848,3,3,0
18,0.8471,3,3,0
19,0.8509,3,3,0
20,0.8494,3,3,0
21,0.853,3,3,0
22,0.8525,3,3,0
23,0.8543,3,3,0
24,0.8524,3,3,0
25,0.8585,3,3,0
26,0.8582,3,3,0
27,0.857,3,3,0
28,0.8589,3,3,0
29,0.8603,3,3,0
30,0.8619,3,3,0
31,0.8635,3,3,0
32,0.8619,3,3,0
33,0.8632,3,3,0
34,0.8654,3,3,0
35,0.8644,3,3,0
36,0.8654,3,3,0
37,0.8651,3,3,0
38,0.8668,3,3,0
39,0.8662,3,3,0
40,0.8667,3,3,0
41,0.8667,3,3,0
42,0.8684,3,3,0
43,0.8671,3,3,0
44,0.8672,3,3,0
45,0.8684,3,3,0
46,0.8688,3,3,0
47,0.8684,3,3,0
48,0.869,3,3,0
49,0.8694,3,3,0
