round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.2521808510638298,18.188717900000483,6,0,0,5,7,5,1.0,0.625
1,0.40037234042553194,18.639589099999284,6,0,0,5,9,5,1.0,0.75
2,0.6213829787234042,18.098609200000283,6,0,0,5,7,5,1.0,0.708
3,0.6981914893617022,18.614235799999733,6,0,0,6,6,6,1.0,0.656
4,0.7319148936170212,18.094702899999902,6,6,6,6,6,6,1.0,0.625
5,0.7638297872340426,11.506758999999875,6,6,6,0,0,0,1.0,0.557
6,0.7791489361702127,11.891354299999875,6,6,6,0,0,0,1.0,0.508
7,0.793936170212766,11.040087100000164,6,6,6,0,0,0,1.0,0.472
8,0.8001063829787234,11.115397499999744,6,6,6,0,0,0,1.0,0.444
9,0.8072340425531915,11.615891699999338,6,6,6,0,0,0,1.0,0.421
10,0.8104787234042553,11.205152200000157,6,6,6,0,0,0,1.0,0.402
11,0.8197872340425532,11.028919200000018,6,6,6,0,0,0,1.0,0.387
12,0.8183510638297873,11.56188370000018,6,6,6,0,0,0,1.0,0.374
13,0.8213297872340426,11.167761500000779,6,6,6,0,0,0,1.0,0.362
14,0.8257446808510638,11.219722399999227,6,6,6,0,0,0,1.0,0.353
15,0.8317553191489362,11.576197700000193,6,6,6,0,0,0,1.0,0.344
16,0.8288297872340425,11.440891099999135,6,6,6,0,0,0,1.0,0.337
17,0.8321276595744681,11.269240300000092,6,6,6,0,0,0,1.0,0.33
18,0.8295744680851064,11.084016999999221,6,6,6,0,1,0,1.0,0.331
19,0.8363829787234043,11.356117400000585,6,6,6,0,0,0,1.0,0.325
20,0.8370744680851064,11.120100199999797,6,6,6,0,0,0,1.0,0.32
21,0.8387765957446809,11.409829499998523,6,6,6,0,0,0,1.0,0.315
22,0.8377127659574468,12.015117000000828,6,6,6,0,0,0,1.0,0.311
23,0.839627659574468,11.49985740000011,6,6,6,0,0,0,1.0,0.307
24,0.840531914893617,11.63490660000025,6,6,6,0,0,0,1.0,0.303
25,0.8428723404255319,11.615969499998755,6,6,6,0,0,0,1.0,0.3
26,0.8436702127659574,11.098808299999291,6,6,6,0,0,0,1.0,0.297
27,0.8467553191489362,11.762061500001437,6,6,6,0,0,0,1.0,0.294
28,0.8458510638297873,11.65069609999955,6,6,6,0,0,0,1.0,0.291
29,0.8465425531914894,11.256657500000074,6,6,6,0,0,0,1.0,0.289
30,0.8473404255319149,11.718442800000048,6,6,6,0,0,0,1.0,0.287
31,0.8468617021276595,11.14174069999899,6,6,6,0,0,0,1.0,0.284
32,0.8496276595744681,11.074906300000293,6,6,6,0,0,0,1.0,0.282
33,0.8494680851063829,11.445856299998923,6,6,6,0,0,0,1.0,0.28
34,0.8479255319148936,11.216807500000868,6,6,6,0,0,0,1.0,0.279
35,0.8518617021276595,11.60796769999979,6,6,6,0,0,0,1.0,0.277
36,0.8516489361702128,11.650956700001188,6,6,6,0,0,0,1.0,0.275
37,0.8530319148936171,11.659333899999183,6,6,6,0,0,0,1.0,0.274
38,0.8530319148936171,11.633195000000342,6,6,6,0,0,0,1.0,0.272
39,0.8519148936170213,11.625703300000168,6,6,6,0,0,0,1.0,0.271
40,0.854095744680851,11.59233359999962,6,6,6,0,0,0,1.0,0.27
41,0.8514893617021276,11.40994640000099,6,6,6,0,0,0,1.0,0.268
42,0.853404255319149,11.040367000001424,6,6,6,0,0,0,1.0,0.267
43,0.8537765957446809,11.138282300000355,6,6,6,0,0,0,1.0,0.266
44,0.856063829787234,11.166530100001182,6,6,6,0,0,0,1.0,0.265
45,0.8561170212765957,11.281982299999072,6,6,6,0,0,0,1.0,0.264
46,0.8571808510638298,11.314456500000233,6,6,6,0,0,0,1.0,0.263
47,0.8571808510638298,11.474203600000692,6,6,6,0,0,0,1.0,0.262
48,0.8571276595744681,11.690495500000907,6,6,6,0,0,0,1.0,0.261
49,0.856968085106383,11.884939499999746,6,6,6,0,0,0,1.0,0.26
