round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.29723404255319147,48.80735659999482,3,0,0,12,33,12,1.0,0.806
1,0.5615425531914894,49.49362670000119,3,0,0,12,27,12,1.0,0.722
2,0.689627659574468,49.422416599991266,3,0,0,11,26,11,1.0,0.685
3,0.7497872340425532,49.78602070000488,3,0,0,11,18,11,1.0,0.611
4,0.7715425531914893,49.34612760000164,3,3,0,10,12,10,1.0,0.533
5,0.785372340425532,45.153339600001345,3,3,0,0,5,0,1.0,0.468
6,0.8004255319148936,46.10024990000238,3,3,0,0,4,0,1.0,0.417
7,0.8093085106382979,45.29639630000747,3,3,0,0,1,0,1.0,0.368
8,0.8157978723404256,44.85974819998955,3,3,0,0,0,0,1.0,0.327
9,0.8237765957446809,45.34248040000966,3,3,0,0,1,0,1.0,0.297
10,0.8298404255319148,45.72963270000764,3,3,0,0,1,0,1.0,0.273
11,0.8297340425531915,45.03527209999447,3,3,0,0,4,0,1.0,0.259
12,0.8357978723404256,44.94192270000349,3,3,0,0,0,0,1.0,0.239
13,0.8388829787234042,44.79571730000316,3,3,0,0,0,0,1.0,0.222
14,0.8392021276595745,45.02037869999185,3,3,0,0,0,0,1.0,0.207
15,0.841436170212766,45.40994420000061,3,3,0,0,0,0,1.0,0.194
16,0.8453191489361702,45.16541729999881,3,3,0,0,1,0,1.0,0.185
17,0.846968085106383,45.48431430000346,3,3,0,0,1,0,1.0,0.176
18,0.8483510638297872,45.523618099992746,3,3,0,0,2,0,1.0,0.17
19,0.8501063829787234,45.50583709999046,3,3,0,0,0,0,1.0,0.161
20,0.8505851063829787,45.58555260000867,3,3,0,0,2,0,1.0,0.156
21,0.8511170212765957,45.71598029999586,3,3,0,0,3,0,1.0,0.153
22,0.8523404255319149,45.96436650000396,3,3,0,0,1,0,1.0,0.147
23,0.8557978723404255,45.29606989999593,3,3,0,0,0,0,1.0,0.141
24,0.8557978723404255,45.50272759998916,3,3,0,0,0,0,1.0,0.136
25,0.8556382978723405,45.64651089999825,3,3,0,0,0,0,1.0,0.13
26,0.8594148936170213,45.9874179999897,3,3,0,0,1,0,1.0,0.127
27,0.8578191489361702,45.56664469999669,3,3,0,0,1,0,1.0,0.123
28,0.8600531914893617,45.34376319999865,3,3,0,0,0,0,1.0,0.119
29,0.8608510638297873,45.09645939999609,3,3,0,0,0,0,1.0,0.115
