round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.02127659574468085,17.11730929999976,9,0,0,5,5,0,0.0,0.714
1,0.02127659574468085,17.272032599998056,9,0,0,6,4,0,0.0,0.643
2,0.02127659574468085,17.593437899999117,9,0,0,6,1,0,0.0,0.476
3,0.02127659574468085,17.225130300001183,9,0,0,7,3,0,0.0,0.464
4,0.02127659574468085,16.76679309999963,9,0,1,7,3,0,0.0,0.457
5,0.02127659574468085,16.246580999999424,9,0,1,6,3,0,0.0,0.459
6,0.02127659574468085,16.411663400002,9,0,1,6,0,0,0.0,0.399
7,0.02127659574468085,16.436749699998472,9,0,1,6,0,0,0.0,0.354
8,0.02127659574468085,16.23736319999807,9,0,1,6,0,0,0.0,0.319
9,0.02127659574468085,16.17992239999876,9,0,1,6,0,0,0.0,0.29
10,0.02127659574468085,16.309448700001667,9,0,1,6,0,0,0.0,0.268
11,0.02127659574468085,16.239732499998354,9,0,1,6,0,0,0.0,0.248
12,0.02127659574468085,16.363155600000027,9,0,1,7,0,0,0.0,0.232
13,0.02127659574468085,16.57092080000075,9,0,1,6,0,0,0.0,0.218
14,0.02127659574468085,16.588326600001892,9,0,1,7,0,0,0.0,0.206
15,0.02127659574468085,16.244940799999313,9,0,1,7,0,0,0.0,0.196
16,0.02127659574468085,16.448344200001884,9,0,1,6,0,0,0.0,0.187
17,0.02127659574468085,16.369823000000906,9,0,1,8,0,0,0.0,0.178
18,0.02127659574468085,16.464060999998765,9,0,1,6,0,0,0.0,0.171
19,0.02127659574468085,16.490666900001088,9,0,1,6,0,0,0.0,0.164
20,0.02127659574468085,16.4545403000011,9,0,1,6,0,0,0.0,0.158
21,0.02127659574468085,16.445979300002364,9,0,1,6,0,0,0.0,0.153
22,0.02127659574468085,16.3896528999976,9,0,1,6,0,0,0.0,0.148
23,0.02127659574468085,15.99796029999925,9,0,1,6,0,0,0.0,0.143
24,0.02127659574468085,16.50554999999804,9,0,1,7,0,0,0.0,0.139
25,0.02127659574468085,16.429790700000012,9,0,1,6,0,0,0.0,0.135
26,0.02127659574468085,16.65303969999877,9,0,1,7,0,0,0.0,0.132
27,0.02127659574468085,16.190935999999056,9,0,1,7,0,0,0.0,0.128
28,0.02127659574468085,16.35163040000043,9,0,1,7,0,0,0.0,0.125
29,0.02127659574468085,16.808041899999807,9,0,1,6,0,0,0.0,0.122
30,0.02127659574468085,16.827395900003467,9,0,1,7,0,0,0.0,0.12
31,0.02127659574468085,16.38160159999825,9,0,1,7,0,0,0.0,0.117
32,0.02127659574468085,16.394438100000116,9,0,1,5,0,0,0.0,0.115
33,0.02127659574468085,16.450355399996624,9,0,1,8,0,0,0.0,0.112
34,0.02127659574468085,16.16475679999712,9,0,1,8,0,0,0.0,0.11
35,0.02127659574468085,16.23668379999799,9,0,1,6,0,0,0.0,0.108
36,0.02127659574468085,16.234201600000233,9,0,1,6,0,0,0.0,0.106
37,0.02127659574468085,16.280120100000204,9,0,1,6,0,0,0.0,0.105
38,0.02127659574468085,16.348160199999256,9,0,1,7,0,0,0.0,0.103
39,0.02127659574468085,16.042710400000942,9,0,1,6,0,0,0.0,0.101
40,0.02127659574468085,16.03311560000293,9,0,1,5,0,0,0.0,0.1
41,0.02127659574468085,16.34054549999928,9,0,1,6,0,0,0.0,0.098
42,0.02127659574468085,16.14196819999779,9,0,1,5,0,0,0.0,0.097
43,0.02127659574468085,16.24451770000087,9,0,1,7,0,0,0.0,0.095
44,0.02127659574468085,16.471070599996892,9,0,1,6,0,0,0.0,0.094
45,0.02127659574468085,16.50913700000092,9,0,1,6,0,0,0.0,0.093
46,0.02127659574468085,16.727872200001002,9,0,1,6,0,0,0.0,0.092
47,0.02127659574468085,16.231607300000178,9,0,1,7,0,0,0.0,0.091
48,0.02127659574468085,16.186390499999106,9,0,1,8,0,0,0.0,0.09
49,0.02127659574468085,16.484076799999457,9,0,1,5,0,0,0.0,0.089
