round,acc,t_round_s,n_malicious,asr
0,0.1565,7.3804989000054775,6,0.6567777777777778
1,0.2082,7.005099500005599,6,0.2843333333333333
2,0.2335,7.090690800003358,6,0.471
3,0.2675,6.876055600005202,6,0.27044444444444443
4,0.27,6.944669000004069,6,0.3863333333333333
5,0.3285,7.082540300005348,6,0.37622222222222224
6,0.336,7.095790000006673,6,0.43233333333333335
7,0.3634,7.0700139999971725,6,0.6395555555555555
8,0.3827,7.098646899990854,6,0.7488888888888889
9,0.3985,7.072580899999593,6,0.7188888888888889
10,0.4096,7.0269840999972075,6,0.8208888888888889
11,0.4203,7.0730765999906,6,0.9334444444444444
12,0.4381,7.066695200002869,6,0.9024444444444445
13,0.4467,7.009901400000672,6,0.9287777777777778
14,0.4444,7.093690000008792,6,0.9082222222222223
15,0.4529,7.225490299999365,6,0.8846666666666667
16,0.4636,6.988891100001638,6,0.9182222222222223
17,0.4685,7.102300599988666,6,0.9145555555555556
18,0.4878,7.046223600002122,6,0.93
19,0.4827,7.010931500000879,6,0.9207777777777778
20,0.492,7.210184299998218,6,0.9258888888888889
21,0.4957,7.0628104000061285,6,0.9341111111111111
22,0.5007,7.019784500007518,6,0.9337777777777778
23,0.5055,7.033271100008278,6,0.9132222222222223
24,0.5088,7.0813127999863354,6,0.9152222222222223
25,0.5095,7.023007100011455,6,0.934
26,0.5184,7.083410300008836,6,0.9267777777777778
27,0.5272,7.067881099996157,6,0.9114444444444444
28,0.5285,7.21707859999151,6,0.9246666666666666
29,0.5332,7.019123000005493,6,0.9233333333333333
30,0.5385,7.058271699992474,6,0.928
31,0.5424,7.122107400005916,6,0.9243333333333333
32,0.5478,7.102180800007773,6,0.9217777777777778
33,0.5515,7.1104567000002135,6,0.9282222222222222
34,0.5489,7.11773969999922,6,0.9355555555555556
35,0.5556,7.131370000002789,6,0.9196666666666666
36,0.5626,7.00691939999524,6,0.9118888888888889
37,0.56,7.07635059999302,6,0.9256666666666666
38,0.5676,7.131569799996214,6,0.9413333333333334
39,0.5703,7.140649099994334,6,0.9304444444444444
40,0.5738,7.115313999995124,6,0.9411111111111111
41,0.5845,7.16683310001099,6,0.9401111111111111
42,0.5824,7.126844600003096,6,0.928
43,0.5876,7.118331300007412,6,0.9307777777777778
44,0.5892,7.120372200006386,6,0.9175555555555556
45,0.5944,7.157472699997015,6,0.9305555555555556
46,0.5947,7.117916799994418,6,0.9308888888888889
47,0.6033,7.117195699989679,6,0.9452222222222222
48,0.5989,6.943450899998425,6,0.933
49,0.6072,6.633144700012053,6,0.9356666666666666
