round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.126,5.717556000003242,3,0,0,0.8847777777777778
1,0.2061,5.3124988000054145,3,0,0,0.32466666666666666
2,0.2588,5.445892700008699,3,0,0,0.18066666666666667
3,0.2825,4.424551399992197,3,0,0,0.2068888888888889
4,0.3074,4.408041900009266,3,0,0,0.16722222222222222
5,0.3314,4.329767100003664,3,0,0,0.18288888888888888
6,0.3719,5.159855200006859,3,0,0,0.14888888888888888
7,0.4004,5.317762999999104,3,0,0,0.12433333333333334
8,0.4102,5.283853799992357,3,0,0,0.12555555555555556
9,0.428,5.2690525999933016,3,0,0,0.1298888888888889
10,0.4344,5.3507555999967735,3,0,0,0.15544444444444444
11,0.4497,5.307733999987249,3,0,0,0.17122222222222222
12,0.4544,5.375891000003321,3,0,0,0.17055555555555554
13,0.4649,5.278162999995402,3,0,0,0.16955555555555554
14,0.4783,5.341159800009336,3,0,0,0.20444444444444446
15,0.4774,5.344262399987201,3,0,0,0.21866666666666668
16,0.4877,5.238159100001212,3,0,0,0.29
17,0.4982,5.434849700002815,3,0,0,0.2808888888888889
18,0.5039,5.353371299992432,3,0,0,0.317
19,0.5041,5.22544690000359,3,0,0,0.3506666666666667
20,0.5155,5.285855800000718,3,0,0,0.4041111111111111
21,0.5255,5.30276479999884,3,0,0,0.4192222222222222
22,0.5241,5.418901899989578,3,0,0,0.5158888888888888
23,0.5291,5.228538299998036,3,0,0,0.5245555555555556
24,0.5381,5.24731459999748,3,0,0,0.5231111111111111
25,0.5396,5.261714000007487,3,0,0,0.5874444444444444
26,0.5459,5.304933699997491,3,0,0,0.5743333333333334
27,0.5474,5.279770799999824,3,0,1,0.6683333333333333
28,0.5502,4.997451199989882,3,0,1,0.6374444444444445
29,0.5515,5.1479411000036635,3,0,1,0.7161111111111111
30,0.5588,5.231753800006118,3,0,1,0.7478888888888889
31,0.5638,5.050925500006997,3,0,1,0.7528888888888889
32,0.5708,5.139247500002966,3,0,1,0.7598888888888888
33,0.5733,5.080843299991102,3,0,1,0.7623333333333333
34,0.5738,5.241404500004137,3,0,1,0.7974444444444444
35,0.5763,5.1723476000042865,3,0,1,0.7841111111111111
36,0.5887,5.105770699999994,3,0,1,0.8036666666666666
37,0.5833,5.108368699991843,3,0,1,0.7927777777777778
38,0.5921,5.231897399993613,3,0,1,0.8222222222222222
39,0.5935,5.212139800001751,3,0,1,0.8234444444444444
40,0.6006,5.117637800009106,3,0,1,0.8428888888888889
41,0.5985,5.17494959999749,3,0,1,0.8372222222222222
42,0.604,5.194764200001373,3,0,1,0.8518888888888889
43,0.6064,5.1760998999961885,3,0,1,0.8381111111111111
44,0.6097,4.993025499992655,3,0,1,0.8486666666666667
45,0.6083,5.1607787999964785,3,0,1,0.8366666666666667
46,0.6175,5.010523699995247,3,0,1,0.854
47,0.6214,4.517018600003212,3,0,1,0.8466666666666667
48,0.6136,4.1895746999944095,3,0,1,0.8574444444444445
49,0.6195,4.233478900001501,3,0,1,0.8531111111111112
