round,acc,t_round_s,n_malicious,asr
0,0.114,5.633268899997347,9,0.5367777777777778
1,0.1515,5.039840700002969,9,0.9761111111111112
2,0.25,5.018412999997963,9,0.3728888888888889
3,0.2647,4.994267800007947,9,0.4092222222222222
4,0.2869,4.996945599996252,9,0.41255555555555556
5,0.3198,5.006807099998696,9,0.4885555555555556
6,0.3003,4.948452800002997,9,0.8427777777777777
7,0.3357,4.07998470000166,9,0.7756666666666666
8,0.2967,3.4877725999976974,9,0.9816666666666667
9,0.3581,3.4782137000001967,9,0.7986666666666666
10,0.2912,3.65172180000809,9,0.9924444444444445
11,0.3531,4.0691617999982554,9,0.8027777777777778
12,0.3211,4.045698800007813,9,0.9831111111111112
13,0.3464,4.077566699997988,9,0.8585555555555555
14,0.3494,4.039256899995962,9,0.9864444444444445
15,0.3469,4.4655775999999605,9,0.8925555555555555
16,0.3508,4.791056299989577,9,0.9917777777777778
17,0.3618,4.756645200002822,9,0.8533333333333334
18,0.3771,4.8644671000074595,9,0.9894444444444445
19,0.3928,4.808476099991822,9,0.8957777777777778
20,0.3738,4.854407099992386,9,0.9868888888888889
21,0.4102,4.805989900007262,9,0.9345555555555556
22,0.3612,4.982640600006562,9,0.982
23,0.4329,4.796628799987957,9,0.9535555555555556
24,0.3633,4.78654749999987,9,0.9713333333333334
25,0.434,4.793626600003336,9,0.9626666666666667
26,0.3802,4.789162200002465,9,0.9226666666666666
27,0.4596,4.816633800001,9,0.985
28,0.3728,4.809799599999678,9,0.9091111111111111
29,0.4538,4.813579299996491,9,0.9863333333333333
30,0.3683,4.836859200004255,9,0.908
31,0.4689,4.8480733999895165,9,0.9855555555555555
32,0.3448,4.870748000001186,9,0.8932222222222223
33,0.4834,4.792009800003143,9,0.9907777777777778
34,0.3331,4.854163299998618,9,0.8178888888888889
35,0.4566,4.912187600013567,9,0.9892222222222222
36,0.3848,4.824849099997664,9,0.8358888888888889
37,0.4407,4.8855933000013465,9,0.9816666666666667
38,0.453,4.823171999989427,9,0.941
39,0.4358,4.861492500000168,9,0.9892222222222222
40,0.4276,4.9097165999992285,9,0.9334444444444444
41,0.4465,4.842954299994744,9,0.9821111111111112
42,0.4827,4.897343299991917,9,0.9746666666666667
43,0.4363,4.868767600011779,9,0.9785555555555555
44,0.4658,4.82379610001226,9,0.9816666666666667
45,0.5042,4.82386889999907,9,0.9776666666666667
46,0.4281,4.7944793999922695,9,0.9743333333333334
47,0.4864,4.794918800005689,9,0.9876666666666667
48,0.4666,4.984567599996808,9,0.9634444444444444
49,0.5,4.793445299990708,9,0.986
