round,acc,t_round_s,n_malicious,asr
0,0.1,4.9988556999887805,9,1.0
1,0.1541,4.88967999999295,9,0.8716666666666667
2,0.1922,4.910889599996153,9,0.7184444444444444
3,0.2593,4.944285199992009,9,0.67
4,0.3246,4.951303199995891,9,0.8598888888888889
5,0.3178,4.958280499995453,9,0.8993333333333333
6,0.3613,4.9850835999968695,9,0.9613333333333334
7,0.377,4.8236470999981975,9,0.9707777777777777
8,0.4048,4.97162969999772,9,0.9826666666666667
9,0.4089,4.827990800011321,9,0.9681111111111111
10,0.4319,4.7966544999944745,9,0.9724444444444444
11,0.4376,4.8276500000065425,9,0.9746666666666667
12,0.4519,4.928355800002464,9,0.9708888888888889
13,0.4592,4.8062860000063665,9,0.9692222222222222
14,0.466,4.8087068000022555,9,0.9725555555555555
15,0.4708,4.810284999999567,9,0.9727777777777777
16,0.4786,4.884430799997062,9,0.972
17,0.4843,4.817335400002776,9,0.97
18,0.4941,4.758672700001625,9,0.9725555555555555
19,0.4999,4.812716000000364,9,0.9695555555555555
20,0.5031,4.769615699988208,9,0.9707777777777777
21,0.5116,4.804004099991289,9,0.9701111111111111
22,0.5145,4.837572400007048,9,0.9705555555555555
23,0.52,4.910083700000541,9,0.9686666666666667
24,0.5281,4.926555900005042,9,0.9712222222222222
25,0.5321,4.820661999998265,9,0.9684444444444444
26,0.5354,4.826984300001641,9,0.9716666666666667
27,0.5399,4.829130300000543,9,0.9678888888888889
28,0.543,4.913158999988809,9,0.9711111111111111
29,0.5482,4.89067230001092,9,0.9686666666666667
30,0.5518,4.9121165000105975,9,0.9718888888888889
31,0.5553,4.925047500000801,9,0.9714444444444444
32,0.5612,4.875813599996036,9,0.9708888888888889
33,0.566,4.85580070001015,9,0.9744444444444444
34,0.5678,4.865241100007552,9,0.9706666666666667
35,0.5749,4.99230460000399,9,0.9698888888888889
36,0.5759,4.88456090001273,9,0.9702222222222222
37,0.5757,4.90791850000096,9,0.9713333333333334
38,0.584,4.900093400006881,9,0.9732222222222222
39,0.584,4.910631100006867,9,0.9703333333333334
40,0.5906,4.855568500002846,9,0.9695555555555555
41,0.5941,4.799952899993514,9,0.9737777777777777
42,0.5962,4.8887332000012975,9,0.9698888888888889
43,0.5998,4.36289369998849,9,0.972
44,0.6035,3.877886899994337,9,0.9684444444444444
45,0.608,3.9163329000002705,9,0.9722222222222222
46,0.6092,3.987609899995732,9,0.9708888888888889
47,0.6116,4.589748499987763,9,0.9723333333333334
48,0.6135,4.345140299992636,9,0.9696666666666667
49,0.6159,3.774435800005449,9,0.9762222222222222
