round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1,70.14104280000174,9,0,0,5,4,4,0.0,0.0,0.0
1,0.1581,68.2455673000004,9,0,0,6,2,2,0.0,0.0,0.6766666666666666
2,0.2471,68.63788149999891,9,0,0,6,6,3,0.0,0.0,0.15155555555555555
3,0.2003,68.11528960000214,9,0,0,7,2,1,0.0,0.0,0.7503333333333333
4,0.3141,69.84560580000107,9,0,0,7,1,0,0.0,0.0,0.5163333333333333
5,0.3129,69.56884519999949,9,0,0,6,5,4,0.0,0.008,0.4171111111111111
6,0.3015,63.26656269999876,9,0,0,6,7,4,0.0,0.014,0.7971111111111111
7,0.347,64.37043139999878,9,0,1,6,5,3,0.0,0.024,0.9936666666666667
8,0.3431,68.64410959999805,9,0,1,6,4,3,0.012,0.028,0.7002222222222222
9,0.3829,71.46310129999983,9,0,1,6,5,3,0.044,0.042,0.9834444444444445
10,0.4162,59.0279741000013,9,0,1,6,3,1,0.051,0.048,0.9743333333333334
11,0.4249,69.44452859999728,9,0,1,6,1,1,0.046,0.046,0.9723333333333334
12,0.4026,71.35743989999901,9,0,1,7,6,5,0.043,0.043,0.9362222222222222
13,0.4345,72.2113004999992,9,0,1,6,3,2,0.04,0.042,0.9662222222222222
14,0.4616,72.64180979999946,9,0,1,7,3,2,0.044,0.04,0.9746666666666667
15,0.4755,68.71311290000085,9,0,1,7,1,1,0.042,0.039,0.9641111111111111
16,0.4595,73.03906289999941,9,0,1,6,5,4,0.039,0.037,0.9634444444444444
17,0.467,66.41052260000288,9,0,1,8,3,3,0.037,0.039,0.9673333333333334
18,0.4971,65.11225659999764,9,0,1,6,1,0,0.035,0.038,0.9705555555555555
19,0.4798,70.0968176000024,9,0,1,6,3,3,0.033,0.037,0.9514444444444444
20,0.4873,66.5417469999993,9,0,1,6,5,4,0.032,0.036,0.963
21,0.506,64.24642669999957,9,0,1,6,1,0,0.03,0.035,0.975
22,0.4975,72.77614289999838,9,0,1,6,4,3,0.029,0.034,0.9572222222222222
23,0.5019,72.07187709999926,9,0,1,6,6,3,0.028,0.036,0.9843333333333333
24,0.4915,72.68862909999734,9,0,1,7,3,1,0.027,0.037,0.9744444444444444
25,0.5206,67.25736809999944,9,0,1,6,2,1,0.026,0.038,0.9727777777777777
26,0.531,71.25859839999976,9,0,1,7,2,2,0.025,0.037,0.9616666666666667
27,0.5329,68.95519280000008,9,0,1,7,5,4,0.024,0.038,0.9788888888888889
28,0.5233,71.56852999999683,9,0,1,7,2,0,0.023,0.039,0.9766666666666667
29,0.5161,69.08991360000073,9,0,1,6,4,3,0.022,0.04,0.956
30,0.5496,73.43019990000175,9,0,1,7,3,2,0.022,0.041,0.9687777777777777
31,0.5435,54.810258699999395,9,0,1,7,1,1,0.021,0.04,0.9684444444444444
32,0.5542,37.573476699999446,9,0,1,5,1,1,0.024,0.04,0.9655555555555555
33,0.5537,37.9354714000001,9,0,1,8,1,1,0.026,0.039,0.9734444444444444
34,0.5515,38.21140689999811,9,0,1,8,3,3,0.025,0.038,0.9591111111111111
35,0.562,38.29579329999979,9,0,1,6,3,2,0.025,0.038,0.9685555555555555
36,0.5672,38.435424799998145,9,0,1,6,1,1,0.024,0.037,0.9691111111111111
37,0.5593,37.48632350000116,9,0,1,6,4,2,0.023,0.038,0.9657777777777777
38,0.5644,37.53548079999746,9,0,1,7,2,2,0.026,0.037,0.9704444444444444
39,0.5736,37.16181239999787,9,0,1,6,2,2,0.028,0.037,0.9702222222222222
40,0.5792,37.24195199999667,9,0,1,5,3,3,0.033,0.036,0.9674444444444444
41,0.5724,36.69758180000281,9,0,1,6,4,2,0.037,0.036,0.9764444444444444
42,0.5906,37.62534669999877,9,0,1,5,1,1,0.039,0.036,0.9655555555555555
43,0.5895,37.14286390000052,9,0,1,7,3,2,0.04,0.035,0.9693333333333334
44,0.6025,37.225575800002844,9,0,1,6,1,0,0.04,0.035,0.9752222222222222
45,0.604,36.76910869999847,9,0,1,6,2,1,0.039,0.034,0.974
46,0.6099,37.69269609999901,9,0,1,6,3,2,0.038,0.034,0.9761111111111112
47,0.6133,37.74728590000086,9,0,1,7,1,1,0.037,0.034,0.9711111111111111
48,0.5983,40.44330719999925,9,0,1,8,5,4,0.039,0.033,0.9726666666666667
49,0.5968,36.89299519999986,9,0,1,5,5,2,0.04,0.034,0.9823333333333333
