round,acc,t_round_s,n_malicious,asr
0,0.1,31.828279100000145,9,1.0
1,0.1013,32.579182699999365,9,1.0
2,0.2249,33.564945199999784,9,0.6498888888888888
3,0.233,31.14358110000103,9,0.6886666666666666
4,0.2706,32.88785850000022,9,0.7973333333333333
5,0.2704,31.854838900000686,9,0.9445555555555556
6,0.3256,27.704959699998653,9,0.9647777777777777
7,0.3422,27.841450099998838,9,0.98
8,0.3802,31.514018099998793,9,0.9876666666666667
9,0.3731,33.7901296,9,0.9743333333333334
10,0.4117,32.59960820000015,9,0.976
11,0.4108,32.80338600000141,9,0.9851111111111112
12,0.4131,32.61910820000048,9,0.9802222222222222
13,0.4301,34.46918899999946,9,0.9727777777777777
14,0.4251,33.74979710000116,9,0.9831111111111112
15,0.4484,34.34934409999914,9,0.9817777777777777
16,0.4604,32.492142299999614,9,0.9727777777777777
17,0.4628,32.80719880000106,9,0.9763333333333334
18,0.4725,34.34872320000068,9,0.979
19,0.4756,33.94480140000087,9,0.9741111111111111
20,0.4812,34.83104839999942,9,0.9767777777777777
21,0.4887,27.77133109999886,9,0.975
22,0.496,27.742557800000213,9,0.9777777777777777
23,0.4965,28.054947900000116,9,0.972
24,0.5073,27.795126200000595,9,0.9762222222222222
25,0.5121,28.042129600000408,9,0.9744444444444444
26,0.5124,28.181246699999974,9,0.9744444444444444
27,0.5216,27.993851799999902,9,0.972
28,0.5236,28.329282699998657,9,0.9748888888888889
29,0.5286,34.34625860000051,9,0.977
30,0.5323,29.927181400000336,9,0.9778888888888889
31,0.5337,36.28063629999997,9,0.9773333333333334
32,0.5387,36.19424919999983,9,0.9748888888888889
33,0.5425,34.652676800000336,9,0.9767777777777777
34,0.5418,34.725224900001194,9,0.975
35,0.5393,34.77577730000121,9,0.967
36,0.5461,34.05557229999977,9,0.9682222222222222
37,0.5517,34.04760090000127,9,0.976
38,0.5551,33.75863990000107,9,0.9778888888888889
39,0.5606,33.82784790000005,9,0.9745555555555555
40,0.5629,34.484726700000465,9,0.9736666666666667
41,0.5678,33.850833200000125,9,0.976
42,0.5683,34.76880919999894,9,0.9737777777777777
43,0.5703,34.39580299999943,9,0.9777777777777777
44,0.5779,33.72522930000014,9,0.973
45,0.5799,34.430825299999924,9,0.9734444444444444
46,0.582,34.56538569999975,9,0.9733333333333334
47,0.5814,35.55970139999954,9,0.9736666666666667
48,0.584,36.81161520000023,9,0.9765555555555555
49,0.5889,36.005148199999894,9,0.9792222222222222
