round,acc,t_round_s,n_malicious,asr
0,0.1,9.928482000002987,6,1.0
1,0.2588,9.946298000009847,6,0.30577777777777776
2,0.2612,9.97465230000671,6,0.7596666666666667
3,0.3105,9.918065999998362,6,0.3471111111111111
4,0.3203,10.025106899993261,6,0.85
5,0.3542,10.406081599998288,6,0.743
6,0.365,10.06428859999869,6,0.9282222222222222
7,0.3875,10.034163499993156,6,0.906
8,0.408,9.983873400007724,6,0.9407777777777778
9,0.4202,9.979533299992909,6,0.9283333333333333
10,0.4337,9.814855100004934,6,0.9317777777777778
11,0.4445,9.967486599998665,6,0.9324444444444444
12,0.4554,9.870318299988867,6,0.9392222222222222
13,0.4644,9.979827400005888,6,0.9348888888888889
14,0.4746,9.959616499996628,6,0.9234444444444444
15,0.4793,9.826694900009898,6,0.9365555555555556
16,0.4893,9.944980300002499,6,0.9311111111111111
17,0.4895,9.954936000009184,6,0.9376666666666666
18,0.5041,10.061929100003908,6,0.9416666666666667
19,0.5093,9.933178399995086,6,0.941
20,0.5121,10.004335999998148,6,0.9364444444444444
21,0.5223,9.91296259999217,6,0.9354444444444444
22,0.5239,10.038882199994987,6,0.9421111111111111
23,0.5287,9.996450199992978,6,0.9418888888888889
24,0.5276,10.088157699996373,6,0.9388888888888889
25,0.5354,9.99169380000967,6,0.9477777777777778
26,0.5426,9.822825900002499,6,0.9453333333333334
27,0.5432,9.952703000002657,6,0.9435555555555556
28,0.5509,9.965416899998672,6,0.9435555555555556
29,0.5535,10.110304200003156,6,0.9441111111111111
30,0.5559,10.202953900006833,6,0.945
31,0.5617,10.148947699999553,6,0.9466666666666667
32,0.5646,10.001768799993442,6,0.9444444444444444
33,0.5669,10.142729600003804,6,0.9444444444444444
34,0.5722,10.81512169999769,6,0.9472222222222222
35,0.5758,11.145219999991241,6,0.946
36,0.5815,10.303006100002676,6,0.9418888888888889
37,0.5816,9.803934800002025,6,0.945
38,0.5856,9.8705556000059,6,0.9473333333333334
39,0.5879,10.01914870001201,6,0.9442222222222222
40,0.591,9.988286000007065,6,0.9485555555555556
41,0.5956,10.014464699997916,6,0.9488888888888889
42,0.597,9.910323299991433,6,0.947
43,0.5996,9.852700199990068,6,0.9478888888888889
44,0.603,9.799721500006854,6,0.9488888888888889
45,0.6026,9.941098700001021,6,0.9502222222222222
46,0.6102,9.99723819999781,6,0.9488888888888889
47,0.6138,10.058738500010804,6,0.9454444444444444
48,0.6149,10.299538899998879,6,0.952
49,0.6165,10.296634199999971,6,0.9476666666666667
