round,acc,t_round_s,n_malicious,asr
0,0.1391,10.797882600000321,3,0.8275555555555556
1,0.1932,10.530901099999937,3,0.46655555555555556
2,0.2442,10.366312799999832,3,0.30955555555555553
3,0.2945,10.03329450000001,3,0.20966666666666667
4,0.3316,10.15906219999988,3,0.1827777777777778
5,0.3435,10.046425400000317,3,0.15566666666666668
6,0.3703,10.036389899999904,3,0.14888888888888888
7,0.3911,10.139898999999787,3,0.08966666666666667
8,0.4039,10.094638800000212,3,0.15988888888888889
9,0.4169,10.358013699999901,3,0.06366666666666666
10,0.4311,10.085869399999865,3,0.14266666666666666
11,0.4454,10.581647200000134,3,0.09155555555555556
12,0.4473,10.457690999999613,3,0.11477777777777778
13,0.4624,9.889121899999736,3,0.08755555555555555
14,0.4629,9.751994500000364,3,0.10955555555555556
15,0.4727,9.768403699999908,3,0.09922222222222223
16,0.4772,9.90659310000001,3,0.11122222222222222
17,0.4829,9.636455400000159,3,0.12033333333333333
18,0.488,9.72781120000036,3,0.12144444444444444
19,0.4955,9.82261890000018,3,0.12788888888888889
20,0.4983,9.77935320000006,3,0.149
21,0.5117,9.669426600000406,3,0.1537777777777778
22,0.5146,10.035454999999729,3,0.19722222222222222
23,0.5183,9.671560900000259,3,0.17477777777777778
24,0.5284,9.909240400000272,3,0.21322222222222223
25,0.5338,9.739066900000125,3,0.22088888888888888
26,0.5364,9.719228599999951,3,0.25533333333333336
27,0.545,9.855007499999829,3,0.24355555555555555
28,0.5482,9.911067800000183,3,0.30866666666666664
29,0.5499,9.742585999999847,3,0.276
30,0.5573,9.726928900000075,3,0.336
31,0.5616,9.793259300000045,3,0.3615555555555556
32,0.5689,9.710942500000328,3,0.3791111111111111
33,0.5676,10.130855399999746,3,0.4414444444444444
34,0.5692,9.829944599999635,3,0.43077777777777776
35,0.5789,9.820903399999679,3,0.43644444444444447
36,0.5785,9.788251300000411,3,0.4612222222222222
37,0.5832,9.855117399999926,3,0.5352222222222223
38,0.5883,10.355419800000163,3,0.5462222222222223
39,0.5896,10.275169900000037,3,0.5404444444444444
40,0.5959,9.817253900000196,3,0.581
41,0.6001,9.730437599999732,3,0.6062222222222222
42,0.601,9.678417099999933,3,0.6213333333333333
43,0.6047,9.730964200000017,3,0.6282222222222222
44,0.6047,9.836944700000004,3,0.6162222222222222
45,0.6102,9.810847199999898,3,0.6886666666666666
46,0.6122,9.768537500000093,3,0.6696666666666666
47,0.6141,9.641059699999914,3,0.681
48,0.6196,9.668692799999917,3,0.6797777777777778
49,0.6188,9.663223300000027,3,0.7185555555555555
