round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1273,11.876183799999126,6,0,0,5,3,2,0.5,0.25,0.9881111111111112
1,0.1464,11.976247200000216,6,0,0,6,5,4,0.583,0.354,0.8651111111111112
2,0.2435,11.805344300002616,6,0,0,5,0,0,0.389,0.236,0.42033333333333334
3,0.2462,11.905840599996736,6,0,0,6,4,4,0.458,0.26,0.4338888888888889
4,0.3073,11.641458400001284,6,1,0,5,4,3,0.5,0.275,0.31455555555555553
5,0.3175,11.389583199998015,6,1,0,5,2,2,0.494,0.257,0.3612222222222222
6,0.3347,11.177195599993865,6,1,0,4,2,1,0.467,0.25,0.5627777777777778
7,0.3387,11.131919100000232,6,1,0,5,3,1,0.446,0.26,0.5817777777777777
8,0.3913,11.230529000000388,6,1,0,5,3,2,0.448,0.264,0.6343333333333333
9,0.3847,11.186128600005759,6,1,0,4,7,2,0.45,0.317,0.9797777777777777
10,0.4008,11.512039899993397,6,1,0,5,6,2,0.452,0.348,0.9466666666666667
11,0.4153,11.600237400001788,6,1,0,5,4,2,0.453,0.354,0.8908888888888888
12,0.4443,11.710270999996283,6,1,0,4,2,0,0.428,0.346,0.936
13,0.4574,10.885370900003181,6,1,0,5,1,1,0.419,0.327,0.9266666666666666
14,0.4417,11.065669199997501,6,1,0,5,3,0,0.4,0.331,0.9468888888888889
15,0.4611,11.187028799999098,6,1,0,3,1,0,0.383,0.318,0.9237777777777778
16,0.4578,11.143907700003183,6,1,0,4,4,2,0.388,0.324,0.9003333333333333
17,0.4757,11.066443899995647,6,1,0,5,3,2,0.393,0.322,0.9327777777777778
18,0.4826,11.00271729999804,6,1,0,5,3,2,0.396,0.32,0.92
19,0.4732,11.024248699999589,6,1,0,5,4,3,0.408,0.323,0.9085555555555556
20,0.5033,11.005615499998385,6,1,0,4,1,0,0.395,0.313,0.9328888888888889
21,0.4958,10.985106000000087,6,1,0,2,4,1,0.406,0.316,0.93
22,0.4968,10.889409600000363,6,1,0,4,3,1,0.409,0.315,0.9138888888888889
23,0.4878,10.817525400001614,6,1,0,3,4,2,0.425,0.316,0.9245555555555556
24,0.5209,11.202475999998569,6,1,0,4,1,0,0.413,0.308,0.9307777777777778
25,0.5357,11.070587800000794,6,1,0,5,1,0,0.403,0.301,0.9405555555555556
26,0.5236,11.302118500003417,6,1,0,4,3,0,0.393,0.304,0.9534444444444444
27,0.5364,11.211906099997577,6,1,0,5,3,3,0.401,0.302,0.9081111111111111
28,0.5342,11.09354849999363,6,1,0,5,5,3,0.409,0.309,0.9311111111111111
29,0.5317,11.343451900000218,6,1,0,4,1,0,0.4,0.303,0.942
30,0.5486,11.142252700003155,6,1,0,4,3,2,0.402,0.302,0.9345555555555556
31,0.5459,11.115561799997522,6,1,0,5,3,2,0.404,0.302,0.9306666666666666
32,0.5507,11.138434400003462,6,1,0,4,2,1,0.401,0.299,0.9397777777777778
33,0.5636,11.159825000002456,6,1,0,4,4,2,0.408,0.301,0.9328888888888889
34,0.5661,11.021831300000485,6,1,0,4,2,2,0.414,0.296,0.9255555555555556
35,0.561,11.302569500003301,6,1,0,5,3,0,0.406,0.299,0.9454444444444444
36,0.5707,11.143325799996092,6,1,0,4,2,1,0.408,0.295,0.9333333333333333
37,0.5871,11.176814600003127,6,1,0,4,2,1,0.405,0.293,0.9503333333333334
38,0.5824,11.01833230000193,6,1,0,5,1,0,0.398,0.288,0.948
39,0.5899,11.175518399999419,6,1,0,5,2,1,0.396,0.286,0.9463333333333334
40,0.591,11.631628800001636,6,1,0,5,1,1,0.393,0.282,0.938
41,0.5816,11.474921900000481,6,1,0,5,3,2,0.395,0.282,0.9342222222222222
42,0.5955,11.525583599999663,6,1,2,4,2,0,0.389,0.281,0.9415555555555556
43,0.6012,10.955132900002354,6,1,2,4,1,1,0.387,0.278,0.9411111111111111
44,0.5988,10.959178200006136,6,1,2,4,1,0,0.381,0.275,0.9538888888888889
45,0.5978,10.883984499996586,6,1,2,4,3,1,0.38,0.278,0.9527777777777777
46,0.613,10.8152740000005,6,1,2,4,0,0,0.374,0.273,0.9541111111111111
47,0.6098,10.642062500002794,6,1,2,4,1,0,0.369,0.271,0.9476666666666667
48,0.6139,10.475571700000728,6,1,2,5,2,1,0.368,0.271,0.9514444444444444
49,0.6104,10.37457490000088,6,1,2,5,2,1,0.367,0.271,0.9476666666666667
