round,acc,t_round_s,n_malicious,asr
0,0.1396,10.420283800001926,3,0.8232222222222222
1,0.1931,10.68386129999999,3,0.4438888888888889
2,0.2447,11.292962200001057,3,0.31255555555555553
3,0.294,10.485467999998946,3,0.23622222222222222
4,0.333,10.741276699998707,3,0.18755555555555556
5,0.3421,10.400978199999372,3,0.17166666666666666
6,0.374,10.718078199999582,3,0.1622222222222222
7,0.3959,10.730351700000028,3,0.10377777777777777
8,0.4056,11.144728100000066,3,0.17577777777777778
9,0.4227,10.909047299999656,3,0.09022222222222222
10,0.4303,10.478086899998743,3,0.16944444444444445
11,0.4477,10.865926700000273,3,0.12911111111111112
12,0.4494,10.593693099999655,3,0.16044444444444445
13,0.4649,11.381599799999094,3,0.167
14,0.4665,10.737603900000977,3,0.20666666666666667
15,0.4741,10.673821000000316,3,0.21444444444444444
16,0.4788,10.753534900002705,3,0.24866666666666667
17,0.4852,10.535725099998672,3,0.29533333333333334
18,0.4906,11.448364799998672,3,0.3288888888888889
19,0.4981,10.938864700001432,3,0.3834444444444444
20,0.5021,10.800189199999295,3,0.43033333333333335
21,0.5121,10.821981600001891,3,0.4667777777777778
22,0.5164,10.58564380000098,3,0.5685555555555556
23,0.5179,11.146740100000898,3,0.5722222222222222
24,0.5294,10.752244400002382,3,0.6485555555555556
25,0.5307,10.889472300001216,3,0.6557777777777778
26,0.5411,10.748118499999691,3,0.7214444444444444
27,0.5454,10.498515600000246,3,0.7165555555555555
28,0.5499,10.843654799999058,3,0.7664444444444445
29,0.5557,11.044791899999836,3,0.7606666666666667
30,0.5577,10.523587800002133,3,0.7815555555555556
31,0.5637,10.662973200000124,3,0.8133333333333334
32,0.5719,10.443810000000667,3,0.8078888888888889
33,0.5722,10.877055100001598,3,0.8381111111111111
34,0.5769,10.843238100002054,3,0.8268888888888889
35,0.5849,10.541826799999399,3,0.8188888888888889
36,0.5854,10.66708590000053,3,0.8244444444444444
37,0.5877,10.379015300000901,3,0.852
38,0.5917,10.927224399998522,3,0.8545555555555555
39,0.5938,10.975813999997627,3,0.8416666666666667
40,0.6002,10.94158790000074,3,0.8558888888888889
41,0.6063,10.837705599999026,3,0.8584444444444445
42,0.6047,10.917352200001915,3,0.8628888888888889
43,0.6065,11.109426099999837,3,0.8574444444444445
44,0.6118,11.05507050000233,3,0.8566666666666667
45,0.6158,11.344613000001118,3,0.8746666666666667
46,0.6194,11.250573900000745,3,0.8658888888888889
47,0.62,11.55583470000056,3,0.8664444444444445
48,0.6248,11.401183300000412,3,0.86
49,0.6262,11.125740299998142,3,0.8778888888888889
