round,acc,t_round_s,n_malicious
0,0.1393,28.0809001000016,3
1,0.2507,27.98603860000003,3
2,0.2169,28.521844499999133,3
3,0.276,29.389291300001787,3
4,0.3067,29.361891099993954,3
5,0.3202,31.233646300002874,3
6,0.3443,31.392746099998476,3
7,0.3651,29.99705520000134,3
8,0.3846,30.113537500001257,3
9,0.3988,30.719329599996854,3
10,0.4077,30.003211800001736,3
11,0.4228,30.11627330000192,3
12,0.4189,34.62877860000299,3
13,0.4399,31.35877320000145,3
14,0.4474,32.53714729999774,3
15,0.4695,30.76701039999898,3
16,0.4697,31.17434990000038,3
17,0.4803,32.98098440000467,3
18,0.4725,31.49118340000132,3
19,0.4876,30.81660149999516,3
20,0.4781,31.816134999993665,3
21,0.5029,32.31979510000383,3
22,0.5017,33.94724280000082,3
23,0.5131,31.052176899996994,3
24,0.5033,33.29177889999846,3
25,0.5172,30.985880400003225,3
26,0.5238,33.19133679999504,3
27,0.5275,31.69906130000163,3
28,0.5239,30.787759099999676,3
29,0.528,30.448667299999215,3
30,0.5423,30.948743499997363,3
31,0.5438,38.13525800000207,3
32,0.5481,38.126377200002025,3
33,0.5523,33.267925399995875,3
34,0.5588,32.088517299998784,3
35,0.5614,33.592927300000156,3
36,0.5546,33.38745209999615,3
37,0.563,34.025746100000106,3
38,0.5698,32.94142049999937,3
39,0.5669,33.420697599998675,3
40,0.5741,34.171645599999465,3
41,0.5772,34.81049779999739,3
42,0.5843,35.366029799995886,3
43,0.5812,33.44174760000169,3
44,0.5785,32.48487179999938,3
45,0.588,32.02956609999819,3
46,0.59,31.734882099997776,3
47,0.5876,31.763183000002755,3
48,0.5953,34.04002780000155,3
49,0.6004,31.281249699997716,3
