round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1295,34.69905799999833,3,0,0
1,0.2193,33.718689599991194,3,0,1
2,0.261,31.183240600003046,3,0,1
3,0.2883,29.890383500009193,3,0,1
4,0.3071,29.701262700007646,3,0,1
5,0.3504,28.901023200000054,3,0,1
6,0.3522,30.09216519999609,3,0,1
7,0.3933,30.6381093999953,3,0,1
8,0.4127,32.23754729999928,3,0,2
9,0.4189,32.61334149999311,3,0,2
10,0.4327,31.04632369999308,3,0,2
11,0.4431,31.174983200005954,3,0,2
12,0.4462,32.53583969999454,3,0,2
13,0.4524,30.509958700000425,3,1,2
14,0.4625,28.976734099996975,3,1,2
15,0.4734,28.55766059999587,3,1,2
16,0.4808,30.709709199989447,3,1,2
17,0.4878,29.78160050000588,3,1,2
18,0.4906,29.20945359999314,3,1,2
19,0.5007,30.182617400001618,3,1,2
20,0.5005,29.84742260001076,3,1,2
21,0.5158,31.357084300005226,3,1,2
22,0.5137,31.995426900000894,3,1,2
23,0.521,30.051659300006577,3,1,3
24,0.5252,30.336662500005332,3,1,3
25,0.5267,31.12973639999109,3,1,3
26,0.5352,27.94850069998938,3,1,3
27,0.5353,27.29798230000597,3,1,3
28,0.5447,29.577768699993612,3,1,3
29,0.5479,29.19356770000013,3,1,3
