round,acc,t_round_s,n_malicious
0,0.1171,5.146137500007171,6
1,0.1792,5.506995200004894,6
2,0.2258,6.521146999992197,6
3,0.2446,7.66777010000078,6
4,0.275,9.105185499996878,6
5,0.2861,9.217012100009015,6
6,0.2141,9.279002200026298,6
7,0.2837,9.221825100015849,6
8,0.2814,9.268082200025674,6
9,0.2753,9.276749299984658,6
10,0.3179,9.17932589998236,6
11,0.2656,9.218288300005952,6
12,0.3323,9.210442400013562,6
13,0.3216,9.254516899993178,6
14,0.363,9.209837000002153,6
15,0.3403,9.315045000024838,6
16,0.3876,9.280515199992806,6
17,0.3868,9.251230299996678,6
18,0.405,9.25934329998563,6
19,0.4009,9.294111399998656,6
20,0.4239,9.266548999992665,6
21,0.3947,9.297859099984635,6
22,0.4127,9.202788700000383,6
23,0.3526,9.22183120000409,6
24,0.403,9.299748199991882,6
25,0.425,9.192073399986839,6
26,0.401,9.303257000021404,6
27,0.3876,9.281223500001943,6
28,0.4546,9.268318499991437,6
29,0.4247,9.209621900023194,6
30,0.4238,9.235874200006947,6
31,0.453,9.272071799990954,6
32,0.3911,9.315030800004024,6
33,0.4469,9.336589499987895,6
34,0.4377,9.203618200001074,6
35,0.3998,9.255195300007472,6
36,0.4488,9.272545999992872,6
37,0.4538,9.251832099980675,6
38,0.4179,9.206990199978463,6
39,0.4919,9.2740393000131,6
40,0.3858,9.192744500003755,6
41,0.4829,9.248833200021181,6
42,0.4129,8.527066500013461,6
43,0.4883,8.334989299997687,6
44,0.4796,9.231663599988678,6
45,0.5295,8.710028200002853,6
46,0.5101,8.27367610001238,6
47,0.5182,9.256942799984245,6
48,0.4957,8.064110400009668,6
49,0.526,8.679939200024819,6
