round,acc,t_round_s,n_malicious
0,0.1215,8.669519099988975,6
1,0.1871,9.334749800007557,6
2,0.2462,8.815830499996082,6
3,0.2815,8.718854899998405,6
4,0.3098,8.948595299996668,6
5,0.3386,8.883445800005575,6
6,0.3485,8.82311509999272,6
7,0.3898,9.010121699990123,6
8,0.3807,8.980588699996588,6
9,0.4159,8.636491400000523,6
10,0.4175,8.623210799996741,6
11,0.4293,8.80071080000198,6
12,0.4341,8.781134699995164,6
13,0.4472,8.697793700004695,6
14,0.4492,8.766227200001595,6
15,0.4568,8.813265599994338,6
16,0.4635,8.837641000005533,6
17,0.4656,8.60846250000759,6
18,0.4793,8.586731800009147,6
19,0.4837,8.653520699997898,6
20,0.4872,8.633284800002002,6
21,0.4912,8.801150800005416,6
22,0.4972,8.734436300001107,6
23,0.504,8.951489500002936,6
24,0.512,8.642525800009025,6
25,0.5144,8.654437599994708,6
26,0.5152,8.819422799992026,6
27,0.5225,8.668035599999712,6
28,0.523,8.731568300005165,6
29,0.5296,8.606881800005795,6
30,0.5286,9.084409400005825,6
31,0.5383,9.21332419999817,6
32,0.5334,8.801070400004392,6
33,0.5411,8.686174000002211,6
34,0.544,8.792324699999881,6
35,0.5442,8.819859400013229,6
36,0.5506,8.734040099996491,6
37,0.5527,9.101680100007798,6
38,0.5599,8.80744119999872,6
39,0.5616,8.821492200004286,6
40,0.565,8.759502700006124,6
41,0.5668,8.712227399999392,6
42,0.5726,8.813652199998614,6
43,0.5728,8.637301499999012,6
44,0.5801,9.216648800007533,6
45,0.573,8.73525779999909,6
46,0.584,8.983912199997576,6
47,0.5819,8.884355100002722,6
48,0.5889,9.513226800001576,6
49,0.591,9.255171299999347,6
