round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1218,27.726070200000322,9,0,0,6,2,0,0.0,0.0
1,0.1916,27.678437999999005,9,0,0,7,5,4,0.0,0.0
2,0.2135,27.69457930000135,9,0,0,7,3,3,0.0,0.0
3,0.2405,27.688555999999153,9,0,0,5,3,1,0.0,0.0
4,0.2699,27.202693300001556,9,0,0,6,2,2,0.0,0.0
5,0.2861,28.30143440000029,9,0,0,6,3,3,0.0,0.0
6,0.3235,28.144662300001073,9,0,0,7,4,3,0.016,0.0
7,0.2999,26.99049120000018,9,0,0,6,3,2,0.028,0.0
8,0.3237,26.29994430000079,9,0,0,7,3,2,0.049,0.005
9,0.3144,26.60944449999988,9,0,0,7,3,2,0.056,0.01
10,0.3302,26.269521000000168,9,0,0,7,5,3,0.051,0.013
11,0.3256,26.420630399999936,9,0,0,8,3,3,0.056,0.012
12,0.3871,26.306599300000016,9,0,0,7,5,5,0.06,0.015
13,0.3623,26.220754300000408,9,0,0,7,3,3,0.063,0.014
14,0.3995,26.378634499998952,9,0,0,8,5,4,0.067,0.016
15,0.3703,26.562276599999677,9,1,0,7,6,5,0.083,0.021
16,0.3668,25.165800599999784,9,1,0,6,1,1,0.081,0.02
17,0.4355,25.14231429999927,9,1,0,6,4,4,0.079,0.021
18,0.4034,25.37405790000048,9,1,0,7,4,4,0.077,0.02
19,0.4257,25.50567039999987,9,1,0,5,3,2,0.075,0.019
20,0.4164,25.88063179999881,9,1,0,7,1,1,0.073,0.018
21,0.4403,25.549427200001446,9,1,0,5,2,1,0.072,0.017
22,0.4511,25.864355399999113,9,1,0,6,4,4,0.071,0.017
23,0.4432,25.46051350000016,9,1,0,7,4,3,0.074,0.016
24,0.4704,25.629768000000695,9,1,0,7,5,4,0.077,0.017
25,0.4803,25.31060129999969,9,1,0,4,2,2,0.084,0.018
26,0.45,25.704318300000523,9,1,0,6,1,0,0.083,0.019
27,0.4758,25.592726499999117,9,1,0,5,6,4,0.081,0.02
28,0.4664,25.3455914999995,9,1,0,6,2,2,0.08,0.021
29,0.5037,25.678946899999573,9,1,0,7,5,5,0.079,0.022
30,0.4866,25.69437300000027,9,1,0,6,4,3,0.081,0.023
31,0.4982,25.241596599998957,9,1,0,6,2,2,0.083,0.024
32,0.5343,26.353009000000384,9,1,0,5,3,3,0.082,0.023
33,0.5325,25.577964599999177,9,1,0,5,3,3,0.081,0.022
34,0.5084,25.737833999999566,9,1,0,6,3,3,0.08,0.022
35,0.5358,25.41488440000103,9,1,0,7,2,2,0.082,0.021
36,0.5262,25.262050599998474,9,1,0,6,3,2,0.084,0.021
37,0.4768,25.103316099999574,9,1,0,5,8,5,0.086,0.02
38,0.4902,25.528996299999562,9,1,0,7,7,7,0.087,0.022
39,0.518,25.972230500001388,9,1,0,5,5,4,0.097,0.025
40,0.5315,26.39356780000162,9,1,0,6,6,5,0.115,0.029
41,0.5397,25.605342400000154,9,1,0,5,5,4,0.129,0.031
42,0.4986,25.530697099999088,9,1,0,5,6,5,0.142,0.032
43,0.5411,25.43163629999981,9,1,0,5,5,3,0.15,0.034
44,0.5395,25.761161300000822,9,1,0,5,3,2,0.15,0.035
45,0.5648,25.57949169999847,9,1,0,5,2,2,0.15,0.034
46,0.5578,24.915251500000522,9,1,0,6,6,6,0.15,0.033
47,0.5338,25.309908799999903,9,1,0,6,7,6,0.153,0.033
48,0.5567,25.333943100000397,9,1,0,6,4,4,0.157,0.032
49,0.5263,24.882845800000723,9,1,0,6,7,5,0.166,0.034
