round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1219,8.584646899995278,6,0,0,5,0,0,0.0,0.0
1,0.2017,8.639041400005226,6,0,0,6,0,0,0.0,0.0
2,0.255,8.47629820000293,6,0,0,5,0,0,0.0,0.0
3,0.2755,8.714343399995414,6,0,0,6,0,0,0.0,0.0
4,0.3154,8.605521800003771,6,0,0,5,0,0,0.0,0.0
5,0.3381,8.49442750000162,6,0,0,4,0,0,0.0,0.0
6,0.3543,8.489160500001162,6,0,0,4,0,0,0.0,0.0
7,0.3927,8.412278999996488,6,0,0,5,0,0,0.0,0.0
8,0.391,8.56622839999909,6,0,0,5,0,0,0.0,0.0
9,0.4147,8.48962020000181,6,0,0,5,0,0,0.0,0.0
10,0.402,8.509479999993346,6,0,0,5,1,1,0.0,0.0
11,0.4166,8.416375200002221,6,0,0,5,1,1,0.0,0.0
12,0.4198,8.50738409999758,6,0,0,5,0,0,0.0,0.0
13,0.4478,8.433701399997517,6,0,0,5,0,0,0.0,0.0
14,0.4506,8.381810600003519,6,0,0,5,0,0,0.0,0.0
15,0.457,8.474593999999342,6,0,0,4,2,2,0.0,0.0
16,0.4505,8.385882599999604,6,0,0,5,0,0,0.0,0.0
17,0.4756,8.404224400001112,6,0,0,6,0,0,0.0,0.0
18,0.4713,8.715228900000511,6,0,0,4,1,1,0.0,0.0
19,0.4835,8.40685559999838,6,0,0,6,0,0,0.0,0.0
20,0.4727,8.452908999999636,6,0,0,4,2,2,0.0,0.0
21,0.488,8.415326900001673,6,0,0,3,1,1,0.0,0.0
22,0.4906,8.438388200003828,6,0,0,4,1,1,0.0,0.0
23,0.4873,8.518874300003517,6,0,0,5,1,1,0.0,0.0
24,0.4987,8.42294010000478,6,0,0,4,1,1,0.0,0.0
25,0.5075,8.52388890000293,6,0,0,6,0,0,0.0,0.0
26,0.5081,8.52083319999656,6,0,0,5,1,1,0.0,0.0
27,0.5221,8.367608200001996,6,0,0,5,0,0,0.0,0.0
28,0.4968,8.400872999998683,6,0,0,5,2,2,0.0,0.0
29,0.5323,8.390908200002741,6,0,0,5,0,0,0.0,0.0
30,0.5197,8.674397599999793,6,0,0,5,1,1,0.0,0.0
31,0.5227,8.476518600000418,6,0,0,5,1,0,0.0,0.0
32,0.5267,8.525312899997516,6,0,0,5,1,1,0.0,0.0
33,0.5383,8.487610299998778,6,0,0,4,0,0,0.0,0.0
34,0.5432,8.472923599998467,6,0,0,4,3,3,0.0,0.0
35,0.514,8.406266199999664,6,0,0,5,0,0,0.0,0.0
36,0.5459,8.454446700001427,6,0,0,4,1,1,0.0,0.0
37,0.5066,8.482402900001034,6,0,0,6,1,0,0.0,0.0
38,0.5514,8.430900499995914,6,0,0,6,1,1,0.0,0.0
39,0.5383,8.554361599999538,6,0,0,5,1,1,0.0,0.0
40,0.5724,8.36658560000069,6,0,0,4,1,1,0.0,0.0
41,0.5382,8.52282009999908,6,0,0,5,1,1,0.0,0.0
42,0.5766,8.518376599997282,6,0,0,6,1,1,0.0,0.0
43,0.5455,8.482245699997293,6,0,0,5,1,1,0.0,0.0
44,0.5839,8.547242699998606,6,0,0,6,0,0,0.0,0.0
45,0.5612,8.33209280000301,6,0,0,5,1,1,0.0,0.0
46,0.5803,8.502176800000598,6,0,0,6,0,0,0.0,0.0
47,0.5617,8.367609599998104,6,0,0,6,1,1,0.0,0.0
48,0.5694,8.39818290000403,6,0,0,5,3,1,0.0,0.0
49,0.5702,8.487149100001261,6,0,0,6,0,0,0.0,0.0
