round,acc,t_round_s,n_malicious
0,0.1,26.090892799999892,3
1,0.158,25.96630449999975,3
2,0.2294,25.964423800000077,3
3,0.2736,25.93118289999984,3
4,0.2943,25.88536120000026,3
5,0.3229,26.10246929999994,3
6,0.3444,25.963880499999505,3
7,0.3715,26.17929600000025,3
8,0.3624,25.95488899999964,3
9,0.3988,25.996119500000532,3
10,0.4004,25.86618549999912,3
11,0.4161,25.999359999999797,3
12,0.4165,26.23130609999953,3
13,0.4332,25.923954599999888,3
14,0.4326,26.00796889999947,3
15,0.447,26.00787599999967,3
16,0.4479,26.31500689999939,3
17,0.458,25.916231199999856,3
18,0.458,26.219771300000502,3
19,0.4721,26.11431320000065,3
20,0.4722,26.062604000000647,3
21,0.4803,26.255029800000557,3
22,0.4841,25.853391599999668,3
23,0.4834,26.207504799999697,3
24,0.4951,25.896412699999928,3
25,0.4944,25.97689850000006,3
26,0.5004,26.04897819999951,3
27,0.5066,26.00797120000061,3
28,0.5112,26.00278729999991,3
29,0.5096,26.128451599999607,3
30,0.5224,25.956791800000246,3
31,0.5216,25.91763919999994,3
32,0.5328,25.99279579999984,3
33,0.5311,25.997019999999793,3
34,0.5394,26.107025299999805,3
35,0.5361,25.94520730000022,3
36,0.5436,26.018135600000278,3
37,0.5676,25.860626199999388,3
38,0.5701,26.076490399999784,3
39,0.5743,26.070668500000465,3
40,0.5733,25.977952999999616,3
41,0.5815,26.15887919999932,3
42,0.5782,25.8480413999996,3
43,0.5903,26.25923479999983,3
44,0.5893,25.955646699999306,3
45,0.5957,26.466754899999614,3
46,0.5934,25.878645400000096,3
47,0.6024,26.10949629999959,3
48,0.5989,26.011615999999776,3
49,0.6067,25.88938109999981,3
