round,acc,t_round_s,n_malicious
0,0.1922,8.31898860000365,9
1,0.2538,8.329574800001865,9
2,0.2711,8.392924600004335,9
3,0.2996,8.355459300000803,9
4,0.3196,8.402611400000751,9
5,0.3391,8.429286999999022,9
6,0.3573,8.485403300001053,9
7,0.3657,8.31411030000163,9
8,0.3762,8.396863800000574,9
9,0.3996,8.647010699998646,9
10,0.4088,8.769699699994817,9
11,0.4127,8.779614299994137,9
12,0.4222,8.494200499997532,9
13,0.4286,8.465564700003597,9
14,0.4361,8.364905499998713,9
15,0.4375,8.401902300000074,9
16,0.4525,8.367435899999691,9
17,0.4519,8.360784600001352,9
18,0.4612,8.536574999998265,9
19,0.4608,8.384296999996877,9
20,0.4693,8.370779000004404,9
21,0.4676,8.529054999999062,9
22,0.4755,8.43852440000046,9
23,0.4801,8.413787099998444,9
24,0.4832,8.396224800002528,9
25,0.4875,8.37323959999776,9
26,0.4888,8.306715499995335,9
27,0.4926,8.64189130000159,9
28,0.5018,8.521114299997862,9
29,0.4954,8.744196100000408,9
30,0.5066,8.458115800000087,9
31,0.5067,8.346619700001611,9
32,0.5118,8.400165499995637,9
33,0.5061,8.424820500003989,9
34,0.5156,8.343130199995358,9
35,0.5225,8.332888999997522,9
36,0.5153,8.391190800000913,9
37,0.5311,8.446287899998424,9
38,0.5199,8.41798800000106,9
39,0.5362,8.364005299998098,9
40,0.5262,8.465931000006094,9
41,0.5389,8.376610899998923,9
42,0.5374,8.312406099998043,9
43,0.5411,8.397251000002143,9
44,0.5486,8.352899600002274,9
45,0.5447,8.431989500000782,9
46,0.545,8.478488999993715,9
47,0.557,8.498615399999835,9
48,0.5579,8.309991099995386,9
49,0.5572,8.305368599998474,9
