round,acc,t_round_s,n_malicious
0,0.1005,8.804257700001472,9
1,0.1906,8.754904000001261,9
2,0.2472,8.783313400010229,9
3,0.2751,8.97090109999408,9
4,0.2946,8.829937199989217,9
5,0.3273,9.003162399996654,9
6,0.3432,8.822907800000394,9
7,0.3545,8.765509899996687,9
8,0.3732,8.821113300000434,9
9,0.3805,8.822863299996243,9
10,0.3895,9.099726800006465,9
11,0.4024,8.877468199993018,9
12,0.4163,9.15055079999729,9
13,0.4151,8.837814099999378,9
14,0.4308,8.792503300006501,9
15,0.4262,9.17725849999988,9
16,0.4417,9.287884999997914,9
17,0.4466,9.466389000008348,9
18,0.4559,9.038069400005043,9
19,0.462,9.011319299999741,9
20,0.4662,8.84991259999515,9
21,0.4744,8.761671800006297,9
22,0.4686,8.83248040000035,9
23,0.4786,8.929904700009502,9
24,0.4841,8.7892581000051,9
25,0.4813,8.911778400011826,9
26,0.496,9.081409799997346,9
27,0.4966,8.82054159999825,9
28,0.4932,8.792744600010337,9
29,0.4946,9.032126200007042,9
30,0.5061,9.300812899993616,9
31,0.504,8.906471700000111,9
32,0.5123,9.300643900001887,9
33,0.5104,9.290159299998777,9
34,0.5211,8.941472099992097,9
35,0.5157,8.80446880000818,9
36,0.5271,8.878406900010305,9
37,0.5236,8.936475700000301,9
38,0.5291,8.85371729999315,9
39,0.5261,8.948522899998352,9
40,0.5353,9.23592780000763,9
41,0.5325,8.887597100008861,9
42,0.5339,8.87223670000094,9
43,0.536,8.86321969999699,9
44,0.542,9.016066500000306,9
45,0.544,8.81469699999434,9
46,0.5422,8.804082899994683,9
47,0.5408,9.215899100003298,9
48,0.548,8.81769820000045,9
49,0.5444,8.96488820000377,9
